# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
9460,11274,-2202,12354,-13803,-9888,16386,-4184,-4306,-1184,-126,-989
9790,11932,-3968,10461,-14172,-9560,16406,-4428,-4182,-1036,-180,-1042
9420,11774,-5470,9308,-14076,-9910,16434,-4200,-4186,-1003,-145,-1062
8832,12562,-5502,8609,-12748,-10161,16370,-4010,-4204,-787,-174,-997
8582,13154,-6546,8110,-12095,-10242,16386,-4276,-4508,-354,-272,-914
7376,13986,-7046,7140,-12031,-10351,16546,-4130,-4142,-270,-354,-886
8366,14320,-8202,5337,-11589,-9798,16532,-3980,-4216,-141,-378,-857
9008,13526,-10254,5522,-9702,-9681,16508,-3946,-4472,-65,-229,-886
8434,15242,-10474,5990,-7696,-9634,16540,-3672,-4226,123,-224,-986
9656,17304,-10270,1369,-5945,-8375,16542,-3650,-4260,166,-265,-1005
10044,16162,-11284,-1508,-3549,-7422,16700,-3642,-4364,-42,-196,-960
9410,17358,-10634,185,-737,-7053,16664,-3548,-4098,228,-7,-810
8944,19744,-9078,1318,216,-5732,16698,-3890,-4370,209,116,-575
9288,21234,-8472,-560,-339,-3546,16704,-3954,-4384,286,6,-394
9334,20134,-8950,-1368,118,-1491,16532,-3742,-4298,402,35,-143
9554,19862,-9108,-673,1317,80,16614,-3742,-4156,472,43,6
9764,20868,-9190,-578,2746,1807,16762,-3548,-4448,159,-45,132
9468,23528,-7716,-5661,3914,5196,16668,-3346,-4236,-55,-24,202
9404,20564,-8158,-12275,5550,8433,16398,-3524,-3888,-6,20,306
9794,17800,-8556,-11140,7227,8989,16344,-3658,-4204,-174,-76,379
9678,19080,-7156,-9666,9289,9954,16442,-3436,-4278,-235,-153,479
9402,19006,-6052,-13551,11252,11704,16530,-3518,-3942,125,-130,693
9300,15890,-5902,-16114,12412,12947,16490,-3954,-4004,421,-32,1013
9168,14082,-5474,-13387,13575,12796,16644,-3934,-4340,55,-88,1159
8510,15200,-3976,-13279,14695,12777,16502,-3714,-4234,-119,-276,1180
8072,14500,-3180,-17076,13322,13622,16150,-3944,-4112,200,-301,1179
8378,12316,-2792,-18396,13345,13590,16198,-4408,-4474,164,-218,1171
8892,11264,-1818,-18066,14686,13873,16504,-4398,-4550,318,-506,1092
8760,9880,-788,-18015,16629,13785,16366,-4310,-3930,872,-580,1007
7106,8994,1140,-18341,17029,13704,16146,-4454,-4120,1240,-256,1055
7564,7684,1892,-18367,14959,13414,16430,-4498,-4458,1144,-294,1101
8606,6464,2586,-17828,14850,13013,16422,-4284,-4606,981,-582,1036
8104,5036,3946,-16737,16218,12488,16196,-4172,-3782,1300,-680,846
8078,4408,4802,-14933,15422,11883,16172,-4606,-4074,1443,-601,805
8502,3688,6708,-14306,15187,11519,16274,-4766,-4580,1260,-600,721
7936,2382,8818,-14218,16142,11185,16520,-4554,-4302,1341,-762,676
7422,772,9722,-13185,14844,9962,16450,-4672,-4188,1774,-639,741
7472,1018,10452,-10665,12341,8907,16378,-4694,-4412,1526,-467,791
7258,1310,11590,-10745,11677,8800,16376,-4522,-4388,1775,-356,800
6972,76,12310,-11058,11755,8513,16198,-4760,-4402,1869,-279,847
6530,-838,13374,-9727,10563,7662,16360,-4928,-4390,1839,-161,804
