# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-17706,2078,6402,-2224,1228,-8739,18368,-1484,1940,-3896,-1312,920
-16252,3626,6766,-3852,3250,-5892,16728,-790,2258,-3864,-1400,1080
-15442,3396,8118,-5706,5066,-1786,16292,-630,3126,-4320,62,737
-15430,2022,9122,-5389,4796,1653,17364,-816,3778,-4938,1378,109
-16444,300,9732,-2542,1937,3420,18350,-1398,3240,-4646,2495,-387
-17160,-1316,9422,2010,-2371,3883,17492,-2036,3436,-3733,3230,-668
-17032,-2016,7908,7650,-5600,3802,16378,-1864,3578,-3132,3320,-807
-15886,-1638,6120,11797,-6802,4336,15576,-1750,3850,-2856,2912,-511
-14482,-1460,4510,13931,-6041,4779,14798,-2012,3990,-2450,2141,45
-13470,-1272,3514,14002,-4161,4736,14618,-2362,4278,-1811,1441,452
-13182,-1004,3136,11637,-2310,4503,14732,-2390,4452,-1195,1159,687
-13158,-596,3176,7081,-953,3996,14712,-2588,4570,-689,694,945
-13412,-206,3566,1158,-374,3526,14798,-2886,4680,-147,-130,1245
-13628,-608,4274,-3934,-361,3280,15042,-3080,4422,338,-1059,1408
-14120,-674,5038,-6325,-166,3040,15484,-3022,4012,827,-1727,1348
-14372,-772,5552,-7709,-154,2915,16042,-2910,3734,1277,-2239,1142
-14534,-1002,5894,-7833,-259,2780,16392,-2654,3548,1610,-2581,920
-14610,-1282,6234,-6835,-62,2562,16314,-2328,3548,1812,-2778,588
-14434,-1288,6418,-5245,261,2277,16104,-2004,3488,1947,-2902,191
-14378,-1262,6546,-3463,482,2031,15892,-1992,3464,2062,-3013,-116
-14300,-978,6506,-1962,287,1904,15682,-2136,3560,2025,-3156,-294
-14258,-816,6344,-1338,-174,1955,15412,-2164,3500,1935,-3251,-376
-14222,-758,6210,-1015,-635,2120,15430,-2042,3374,1868,-3307,-417
-14206,-902,5952,-645,-862,2265,15736,-2080,3246,1826,-3274,-493
-14254,-872,5690,-98,-838,2404,16004,-2058,3134,1795,-3104,-596
-14330,-780,5510,124,-687,2558,16156,-1918,2958,1777,-2801,-708
-14366,-774,5358,-10,-592,2784,16246,-1804,2766,1758,-2447,-838
-14304,-860,5214,-145,-506,2849,16228,-1834,2708,1673,-2122,-942
-14374,-888,5100,-208,-444,2816,16462,-1846,2678,1585,-1843,-963
-14430,-856,4938,-530,-367,2718,16804,-1532,2586,1433,-1465,-875
-14494,-830,4858,-1204,-193,2564,17268,-1206,2688,1228,-929,-787
-14734,-912,4870,-1966,6,2320,18358,-850,2606,1077,-245,-748
-15082,-1016,5064,-2967,248,1924,19060,-346,2092,1082,718,-758
-15356,-1228,5338,-4133,553,1285,19094,-256,1382,1159,1812,-927
-15462,-1592,5828,-4829,1028,287,18888,-400,766,1200,2579,-989
-15462,-1726,6256,-4583,1514,-985,18638,-276,100,932,2793,-595
-15610,-1658,6634,-3500,1708,-2410,18402,164,-430,430,2453,99
-15530,-1496,6832,-2515,1688,-3815,18144,628,-936,119,1783,572
-15436,-1296,7050,-1535,1845,-5057,18402,850,-976,136,1097,432
-15842,-1348,7182,-371,1896,-6315,20012,960,-632,105,675,15
-17360,-1668,7468,866,1766,-7901,22560,784,-486,15,819,-282
-19108,-1566,7650,1064,1531,-9581,22796,684,-1178,318,1817,-554
-18698,-582,7182,319,1630,-10836,19202,204,-1172,541,2527,-716
-16538,1022,6418,-104,2507,-11363,16684,-440,-1386,476,1602,-498
-14590,2566,6052,45,3565,-10963,15224,-816,-1458,776,-44,-127
-13512,3442,6320,-297,4319,-9281,14572,-666,-690,1211,-601,101
-12814,3610,6748,-1409,4277,-7161,14374,-144,-122,1454,-99,-5
-12816,3202,7292,-3014,3228,-5785,14496,290,336,1490,877,-383
-13214,2748,7400,-4225,1171,-5191,15072,764,756,1478,1671,-852
-13884,2386,7098,-4455,-874,-4676,15406,1124,1382,1354,1996,-1218
-14554,1776,6684,-3451,-1843,-4083,15370,1428,1980,1006,1715,-1521
-15134,1364,6318,-1149,-1861,-3709,15358,1652,2334,605,1144,-1764
-15738,1426,5874,1579,-1797,-3353,15558,1682,2644,159,430,-1768
-16168,1446,5484,4323,-1849,-2953,15736,1504,2468,-268,-286,-1549
-16522,1754,5058,6723,-1880,-2271,16188,1414,2216,-562,-799,-1220
-16688,1952,4540,8453,-1800,-1075,16610,1220,1956,-693,-1030,-934
-16392,2016,4104,9518,-1384,599,16492,1020,1964,-803,-1031,-646
-15904,1908,3716,9755,-567,2432,16254,1004,1988,-944,-899,-392
-15588,1504,3684,9179,171,4062,16122,1102,1982,-956,-707,-253
-15316,1090,3734,7767,454,5323,15970,1150,2152,-905,-429,-225
-15170,484,3850,5937,342,6164,16104,988,2408,-731,-144,-159
-15070,-52,3672,4192,57,6504,16124,882,2524,-507,246,55
-14776,-244,3584,2634,58,6700,15974,868,2250,-211,869,360
-14490,-604,3832,1209,597,6928,16752,862,2104,91,1632,716
-15054,-1408,4528,945,985,6792,18416,548,2162,143,2459,1247
-16324,-2008,5584,1460,578,6196,19822,248,1034,-115,3574,1967
-17062,-2146,6386,2034,-245,5374,20144,108,-98,-367,4570,2516
-16252,-1450,6648,2612,-1114,4405,18850,-384,-1000,-580,5006,2802
-13936,40,6694,2213,-796,3500,17722,-1352,-1324,-457,4494,2885
-12228,1258,7378,426,360,2728,18560,-2750,-1346,154,3936,2815
-12114,1816,8618,-1854,1386,1915,20376,-3142,-1524,1031,3787,2551
-12702,2074,9888,-4710,2136,744,20588,-2198,-366,1409,3837,2219
-13098,2202,10862,-8037,2304,-932,19346,-1058,670,1109,3842,1544
-13136,2770,11620,-10376,1801,-2865,17716,-464,924,998,3186,568
-13324,3244,12026,-11282,299,-4554,16916,-656,1120,954,2178,-33
-14204,2734,11724,-8624,660,-6075,17406,-1190,1246,917,1369,56
-16012,3828,11400,-4413,-227,-7178,18500,-1930,1114,1001,872,514
-16720,4132,10044,-3653,-1398,-6669,18172,-2162,430,1481,643,965
-15088,4736,8706,-3487,-1483,-5881,16184,-1850,232,2074,353,1034
-13194,4894,7328,-2535,-461,-4170,14836,-1402,572,2556,-19,872
-12016,4496,6438,-1245,712,-2107,14268,-1322,932,2891,-200,596
-11886,3380,6308,-94,1504,-606,14528,-1180,1466,3089,-321,339
-12402,2634,6254,-399,1280,-108,15092,-1002,1694,3198,-537,293
-13222,2224,6152,-2393,104,-319,15606,-1030,1440,3353,-778,459
-13902,1394,6082,-4405,-890,-1042,16180,-1154,984,3401,-1103,788
-14462,688,6036,-3694,-1015,-1978,17344,-1182,858,3246,-1340,1195
-14814,446,5784,-1276,-573,-2673,18276,-890,1144,2651,-1138,1598
