# ===========================================
# timeslice=1, slack=1, packetLoss=0 STREAM
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-7906, -2044, 13590, 3091, -7592, -2459, 16448, -2836, -1158, 1447, -945, 31
-7912, -1700, 13392, 1966, -6517, -1744, 16342, -2854, -1008, 1348, -893, 103
-7692, -1930, 12964, 826, -4833, -1137, 16018, -3158, -980, 1290, -1019, 188
-7964, -2092, 12522, 331, -2617, -531, 16236, -3422, -954, 1168, -1165, 301
-8638, -2242, 12404, -290, -821, 401, 17230, -3794, -844, 1128, -1287, 536
-9558, -3098, 12262, -1122, 465, 1266, 18740, -4482, -1030, 1128, -1203, 960
-11120, -4030, 12566, -1943, 1261, 1621, 19566, -4906, -1002, 1539, -871, 1450
-13286, -4368, 14158, -3461, -26, 2128, 20674, -4856, -1650, 2372, -412, 1958
-13682, -4392, 15228, -5084, -4059, 3234, 21954, -3010, -1016, 3199, 627, 2560
-11866, -6546, 12634, -4244, -5322, 3611, 23400, 2194, 1014, 3244, 1455, 3226
-13108, -8408, 8908, -558, 104, 886, 23530, 7058, 1950, 2855, 1624, 3439
-16250, -7252, 7646, 948, 4605, -3081, 19166, 7886, 1368, 1658, 1487, 2587
-18744, -3738, 8082, -3107, 3870, -3033, 17556, 7492, 890, 648, 695, 868
-19054, -3634, 7934, -7723, -209, -743, 19976, 6564, 534, 743, 257, -410
-18728, -4878, 6888, -5844, -3055, -585, 20230, 5060, 198, 1611, 1009, -1461
-17830, -4440, 4962, -1347, -3471, -896, 17348, 4990, -18, 2297, 1659, -2166
-15860, -2786, 2992, 515, -1408, -1316, 14396, 5456, -184, 2520, 1521, -2573
-14048, -1320, 2128, 565, 1749, -1308, 12538, 5430, -406, 2356, 1005, -2733
-12868, -902, 2666, 551, 4110, -886, 11570, 5160, -336, 2295, 203, -2587
-11990, -790, 3714, 911, 5027, -628, 11966, 5452, 254, 2204, -81, -2167
-11584, -524, 4954, 213, 5136, -129, 13344, 5560, 598, 2014, -160, -1662
-12292, -1234, 6432, -1474, 4408, 587, 15108, 5310, 796, 1928, -31, -1450
-13336, -2786, 7528, -2093, 3020, 359, 16834, 5426, 870, 2067, 15, -1387
-14454, -3848, 8328, -996, 2027, -881, 17768, 5226, 518, 2060, 13, -1341
-15490, -3878, 8584, 323, 1387, -1973, 17666, 5020, 190, 2050, 64, -1223
-15812, -3404, 8218, 944, 1083, -2101, 17404, 4850, 360, 2083, -138, -1028
-15570, -2968, 8008, 988, 1269, -1433, 17174, 4568, 58, 2108, -383, -807
-15478, -2670, 8136, 105, 1365, 44, 16642, 4302, -252, 2301, -514, -620
-15016, -2986, 8420, -1337, 958, 1743, 16938, 4062, -524, 2584, -536, -355
-14178, -3648, 8344, -2177, 382, 2624, 17178, 3898, -386, 2930, -341, 13
-13416, -3784, 7968, -2241, -34, 2548, 16414, 4106, 28, 2635, 106, 663
-12848, -3714, 7546, -2008, -303, 2290, 16182, 4026, -92, 2099, 324, 1119
-12658, -3824, 7100, -1620, -449, 1887, 15948, 4342, 142, 2038, 278, 1137
