# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
2686,4460,3080,4102,4560,3147,-1156,3956,2048,7265,9328,10893
3690,2624,2876,634,3627,4454,-2624,-956,2116,2321,7653,11649
2646,566,2604,-1281,2167,4135,-5556,1604,1616,6889,8882,7459
648,-84,2100,-98,-674,1617,-1168,-52,-1416,-681,2085,-881
-708,926,1050,1659,-4203,-351,752,-1216,-628,-1413,-1559,-5256
-180,1604,352,2512,-6214,-324,1868,-1136,764,470,-4102,-444
672,2084,438,2060,-5181,1306,3972,-2632,-1104,-256,-9903,-4061
-1402,2602,1400,277,-2015,3242,2532,-296,556,-1802,-2515,196
-8364,4220,3472,-1591,58,3283,10308,-1836,-620,-2975,-6655,-3529
-17018,8022,5962,-4777,2,1009,19752,-1388,5424,-5730,-8057,-6804
-27296,11362,7672,-8216,-923,-2079,32767,-14844,-10416,-5158,-4326,-17084
-32768,14070,8540,-6360,-3967,-4694,32767,17764,-2156,-14841,-11665,-21779
-32768,16958,9776,908,-4492,-5100,32767,-4508,-1440,2625,13630,2586
-32768,19970,10130,8505,-1253,-3840,32767,-4836,-3268,2849,2572,1190
-32768,20822,9086,12501,534,-2909,32767,-8688,120,3555,-773,2647
-25870,19356,6690,11087,1271,-1470,30752,-7260,-240,1956,1148,3723
-18230,15558,4786,7303,1888,263,24364,-4812,-772,1160,1196,242
-10042,10708,3296,5101,1649,1122,16280,-1644,-8,2047,3571,544
-1712,6664,1958,3982,1808,1566,7712,3548,-2012,4658,6215,5806
3320,4186,1470,1768,2477,2397,-2368,4092,-4220,4294,9292,9584
4762,2138,1814,-2338,3787,3536,-4324,-540,1800,5193,8689,13792
3530,-928,2048,-5178,4309,3450,-10468,2952,3720,5231,11459,13994
1172,-1972,1598,-3860,2539,205,-3868,1608,-600,3841,6832,6865
-726,-576,912,-1109,-478,-3016,516,-1720,-860,-1425,3906,-4830
-576,1350,504,-209,-2889,-3530,3744,-868,-164,-1701,-6952,-4364
386,2026,540,-1142,-2736,-1977,2432,-900,624,-6,-9579,-721
730,1658,1452,-2787,-85,350,2664,-544,-3312,-1506,-8452,-187
-2730,2616,3278,-5511,2858,1940,5636,144,2900,-3848,-7631,-5952
-11734,6010,5922,-9787,4017,1130,11668,-2860,748,-2668,-1750,-379
-22382,9876,7838,-14540,3002,-1773,20180,-17528,6376,-7170,-9885,-10850
-32768,13566,9166,-14964,278,-5385,32767,-20164,-1248,-9840,-10378,-21588
-32768,16806,10966,-9097,-2358,-7989,32767,-3912,3844,4739,-6707,-15112
-32768,19386,12200,-678,-2186,-9654,32767,-3384,13532,1494,4032,1576
-32768,20134,11212,5308,-1299,-9364,32767,-6112,1672,3517,693,-273
-32260,18982,8496,8551,-1025,-7300,30980,-1536,-2040,-3359,-1759,6264
-20690,16326,6928,8062,1554,-4441,28432,-4760,-748,1551,2206,4556
-11136,12198,5042,6775,4157,-1833,19548,-3892,-2504,1898,4675,3436
-1804,8104,3424,5586,5855,1052,10300,940,-1612,3122,5824,5879
2072,4776,3630,3085,7063,4529,-244,4348,-84,4135,8118,10322
3268,1848,5090,-2830,3259,5527,-4984,3600,-4112,-695,11736,17398
3268,-1720,3478,-6027,-338,5260,-15424,2936,-5320,6135,13321,14748
