# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-24498,-32286,8580,32328,-21757,28236,1122,234,-5432,-5401,-1962,455
-12526,-27404,1564,32390,-22908,22544,2396,-1030,-5174,-2245,-1608,1702
-4160,-31694,-10918,21723,-27204,24110,3978,-2080,-6382,1373,-2403,4595
-7616,-32768,-22632,-11255,-29238,22383,5788,-5152,-9068,8100,-2792,7379
5946,-32768,-32768,-20078,-22773,11944,9822,-5454,-4102,13021,-1696,7801
20970,-32768,-32768,-10360,-12427,11150,23226,-5152,2208,7461,601,6807
30224,-30262,-32768,-20177,-7882,18605,32767,-13206,-25958,6670,13071,-5139
23510,-32768,-32768,-32768,8872,19483,32767,-3136,-10096,3619,-5032,-2629
2872,-32768,-28614,-32768,31863,3218,32767,7112,-16422,6704,-11113,423
-23568,-25098,6928,-25545,32767,-18318,22490,3830,-9236,7147,-7532,-221
-32768,-7420,26586,-24041,32767,-27013,10742,2778,-2666,3379,29,493
-32768,-8258,28594,-32768,27371,-19111,3092,2034,-4540,2052,6619,1798
-32768,-13362,20578,-27315,27967,-23596,20,-28,-652,2918,11011,2173
-32768,-11210,14734,-13528,31163,-28900,-1726,-952,-252,1770,12941,1519
-32768,-7724,11334,-18877,32767,-23491,-1614,-960,-492,1162,14401,-57
-32768,-8008,7714,-32768,32767,-17083,-1684,-834,-1002,447,15650,-1159
-32768,-9406,8468,-32768,32767,-15313,-1784,-582,-1252,-1086,17292,-1933
-32768,-12698,13458,-32768,32767,-11199,-2726,-446,-1088,-2118,19286,-2747
-32768,-18758,20056,-32768,32767,-5394,-3920,-232,-1872,-2989,21170,-3938
-32768,-17456,32767,-32768,32767,-11124,-5430,12,-3578,-2305,22178,-4806
-32768,-15502,32767,-25027,32767,-24074,-10140,936,2988,-2782,15878,-3138
-29492,4850,32767,1621,32767,-32768,-10096,10,-3804,-2411,4650,-2607
-28578,19056,32767,7998,28414,-25907,-9644,-542,-7108,3221,-2861,-742
-24140,25218,32767,-10568,15588,-12275,24,-654,7762,-3303,-14563,2417
-20342,8152,32767,-21206,10001,-4786,16640,1932,8904,-12627,-15430,4788
-19152,-4930,32767,-4851,9423,-8282,23496,750,8086,3438,-23145,-751
-32768,-7378,32767,17899,6798,-8580,32767,-4130,-14960,-45,-23900,-1437
-32768,-13118,32767,12441,-2211,3341,32767,-784,-15742,4391,-27328,-5163
-32768,-19590,32767,18131,-9169,8756,32767,-1216,-3966,-2366,-9081,640
-32768,-12802,32767,32767,-10324,-1098,32767,664,-5570,-5118,710,613
-32668,-430,32767,32767,-12286,1460,19402,2102,-4474,-4911,-5644,-977
-29448,4576,32767,32767,-13137,5814,17766,-224,-1848,-1179,-9994,-2408
-32768,16226,32767,32767,-20099,15668,18402,-3032,-2780,776,-11206,-1435
-32768,14778,28454,32767,-27287,32767,11770,-2506,-1178,347,-9740,1172
-32768,754,25970,32767,-26702,32767,4176,-622,1156,30,-6434,1192
-32768,-8258,27090,32767,-19384,32767,90,672,2082,-546,-3937,-577
-32768,-8764,23682,32767,-18038,32767,-358,1584,-598,-2502,-2923,-1744
-32768,-3394,17012,32767,-21709,32767,-444,1716,-142,-3043,-2369,-1990
-32768,-5204,19632,20836,-20307,32767,-410,1182,160,-6324,-2862,-2517
-32768,-16904,27048,8888,-19374,32767,384,182,-2784,-8661,-2668,-3462
-32768,-29928,32767,11659,-24126,30908,1640,-430,-6418,-7347,-2747,-3462
-32768,-32768,32767,24657,-31031,28744,2906,-390,-5110,-4113,-1608,-2891
-32768,-32768,19408,32767,-32506,23635,3198,228,-2452,-2960,171,-1109
-28194,-32768,1636,32767,-26430,17820,2966,276,-3534,-2604,1390,1575
-9572,-32582,-10576,32767,-15794,18432,3244,962,-4034,-764,1908,3935
-10456,-32768,-19210,32767,-3914,19556,4656,-942,-8116,880,-186,6738
3738,-32768,-26628,32767,-4062,19941,8462,-2338,-8030,4419,-575,7176
18812,-32768,-32768,23189,-8288,21460,14374,148,-1374,731,-578,5021
32767,-32768,-32768,16617,-5264,12199,24432,1100,-3956,-7700,597,530
32767,-32258,-32768,1672,1653,5457,32767,530,-16850,-8610,7298,-6022
31030,-25796,-32768,-21661,5613,5658,32767,2538,-16924,-282,17843,-7471
14644,-20114,-31696,-32768,9137,3842,32767,6020,7058,-3958,-2690,2024
1300,-12950,-15954,-32768,15779,5292,32767,2126,-12966,8175,-13277,2583
-18030,-11524,-418,-31699,24752,8096,30224,10,-11412,5856,-2181,-2037
-32768,-7338,10146,-32768,28185,6825,18898,1138,-13266,4096,1140,-4243
