# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-11780,6988,-2596,20035,13801,31490,16420,3496,-3324,8472,-5810,108
-10592,5388,-5032,21931,18880,28299,17008,3868,-3392,6579,-4549,130
-10476,5300,-4904,22070,21369,23556,18008,3712,-3776,5224,-3168,218
-10020,5604,-6652,22776,26218,18923,18320,1588,-4356,4338,-1577,194
-8064,4080,-7136,21378,30499,14715,17840,212,-3888,3825,-311,314
-8144,5032,-9124,19741,32767,7973,17312,228,-3228,3566,37,610
-2940,2728,-7128,16313,32767,1991,16532,1088,-1224,2033,-637,1024
32767,-32768,32767,-12564,2551,-5403,16760,1844,-220,1002,-2262,858
26208,18864,-18020,17330,32767,20521,15948,2348,-11564,-378,4343,598
-16024,24968,-3636,-20201,-16770,-8639,17540,2496,5112,-3152,312,67
7248,748,3144,-6735,1028,1763,15688,1024,-1428,-4718,72,355
19256,13740,1820,-2639,5444,4320,17056,-592,-3448,-5047,-1346,481
12488,13620,10312,-9737,1446,-2943,17832,-1976,-3768,-4900,576,731
12164,10528,8308,-9220,-6320,-2168,18480,-1528,-2376,-4835,1297,1044
10328,10200,9088,-6585,-9857,-1688,16892,-648,-1992,-4745,793,1048
9776,8972,9428,-9577,-12376,-1398,17472,-244,-2340,-4841,512,650
8584,7224,7856,-14904,-13017,-2649,17732,28,-2620,-5600,731,367
6972,5540,7480,-17897,-12541,-7364,17348,776,-2324,-6564,887,386
5412,5016,6884,-16925,-11873,-12940,17356,792,-1976,-7333,824,321
3288,6420,6504,-19358,-11990,-16220,16980,364,-2468,-8697,1173,155
1536,7328,5136,-26557,-12946,-16649,16408,364,-2292,-10342,1781,331
-472,6100,6148,-31909,-11755,-17853,15876,560,-2336,-11391,1804,427
-2896,6164,6416,-32768,-9934,-22202,15912,952,-1848,-12458,1622,414
-5688,6792,7548,-31377,-6709,-28887,15696,764,-2608,-14204,1865,301
-9084,7252,10220,-26806,-3208,-32768,15592,1292,-1576,-17184,2076,474
-12056,9736,9456,-22157,-5123,-32768,16224,2856,-1048,-21513,2195,1110
-13788,13476,9524,-21086,-6108,-32768,17292,4240,-1260,-25587,2039,1169
-13792,12832,8992,-23081,-5875,-32768,20552,5832,-2260,-29479,2718,433
-15480,11288,10336,-23333,-8343,-32768,20380,7696,-2460,-32768,3176,526
-17996,12028,14560,-17593,-9699,-32768,16768,6224,-4224,-32768,3881,114
-20872,13488,15964,-9982,-9507,-32768,15324,3524,-5212,-32768,3331,-1341
-22268,13968,13700,-7604,-10667,-32768,15756,1676,-5868,-32768,2251,-2496
-22804,11804,12296,-4094,-9740,-32768,17328,2252,-6284,-32768,915,-2445
-26780,11640,11188,3803,-7270,-32768,17656,4192,-5528,-32768,-373,-1551
-30264,13888,8820,7626,-10281,-32768,16684,5176,-5640,-32768,-987,-1467
-31244,14744,6028,7736,-11876,-32768,17300,4636,-5468,-32768,-1056,-1890
-30584,13212,4796,8865,-12353,-32768,18036,3800,-7608,-32768,-900,-1967
-30524,11692,2256,12268,-9837,-32768,17960,3080,-7564,-32768,-1066,-1656
-30716,12144,956,16086,-7747,-32768,17828,2924,-7016,-32768,-1186,-1253
-28456,11776,376,18413,-5538,-32768,17960,3480,-6916,-32768,-777,-434
-27688,9760,84,20418,-3750,-32768,16892,3764,-6808,-32768,545,144
-26372,6912,316,23812,-2810,-32768,15576,3616,-6100,-32768,1958,-202
-25500,5152,-760,28331,-1463,-32768,15536,2912,-5780,-32768,2751,-617
-25984,4948,-332,31389,-1159,-32768,16036,2260,-5920,-32768,2887,-435
-26432,3012,588,31613,-1438,-32768,17308,900,-7780,-32768,2443,-330
-26496,1088,1528,31654,-1721,-32768,17608,-1232,-8272,-32768,1640,-982
-27464,1756,604,32767,-1688,-32768,18316,-1544,-7176,-32768,1385,-1726
-26840,4516,20,31496,-3455,-32768,20232,604,-5988,-32768,2024,-1590
-25572,3660,244,26831,-4756,-32768,21404,1644,-5724,-32768,3300,-2224
-25948,2612,-452,25800,-3575,-32768,19964,1280,-5000,-32768,3748,-3890
-26748,4116,-412,26817,-925,-32768,18716,1316,-3668,-32768,3173,-4505
