# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-7590, 7632, 14890, 15279, 32767, 32767, 16704, -732, -4268, -233, -1464, -104
-4040, -704, 21900, 21706, 32767, 32767, 17044, -1098, -4060, 168, -1436, -247
-1568, -5626, 26960, 30017, 29846, 32767, 17176, -1110, -5286, 872, -1045, -275
-842, -10604, 26726, 22021, 18405, 32767, 17674, -980, -6230, 1897, -385, -361
768, -25620, 21228, 3275, -358, 32767, 17916, -598, -5472, 2338, -289, -289
20212, -32768, 12302, -4736, -13847, 32767, 17464, -58, -5686, 1614, 17, 200
26748, -32768, 2820, 10035, -5385, 13809, 16572, 128, -6534, 959, 530, 521
17846, -32768, 8176, 17159, -1500, -23671, 15774, -190, -6986, 759, 907, 598
12732, -24976, 7996, 1207, -8647, -29276, 15528, 426, -5648, 696, 1058, 377
9912, -18800, 7502, -17660, -14769, -28860, 15792, 548, -4864, -286, 1032, 126
7336, -16428, 8416, -26722, -17106, -32132, 16316, 30, -5208, -1258, 1017, 5
5276, -14180, 9718, -30216, -19312, -32768, 16604, -494, -5234, -1666, 978, 22
3558, -11814, 10692, -29772, -21323, -32768, 16584, -882, -5590, -1354, 928, 80
1704, -8902, 10278, -24494, -21266, -32768, 16794, -1330, -5220, -497, 809, -1
-2216, -3652, 9732, -19372, -21925, -32768, 17194, -1262, -4810, 162, 775, -23
-7198, 2242, 7596, -14149, -23917, -32768, 17468, -1070, -4814, 384, 712, 2
-13230, 7010, 2694, -4945, -23221, -32768, 17372, -894, -4630, 773, 783, 39
-21362, 17818, -6056, 3744, -20522, -32768, 17154, -754, -3904, 890, 801, 103
-26260, 32672, -15326, 62, -20539, -32768, 16564, -184, -3722, 713, 553, 159
-28976, 32767, -21714, -8599, -22671, -20249, 15768, 384, -3632, 319, 289, 54
-27226, 32767, -27936, -9968, -18418, 4566, 15456, 272, -3996, -429, 388, -292
-19594, 32026, -29764, -4626, -1285, 17605, 15976, -606, -4322, -844, 709, -806
-14338, 27360, -23716, 1382, 19076, 23881, 17410, -968, -4316, -603, 337, -1187
-12762, 24406, -14964, 4085, 29732, 29452, 17764, -524, -4522, -234, -466, -976
-12094, 21296, -7236, 5558, 32767, 32767, 17108, 190, -4090, -246, -1081, -516
-9172, 18018, -642, 6131, 32767, 32767, 16268, 250, -4014, -797, -1052, -179
-6710, 12936, 5976, 7704, 32767, 32767, 16268, -158, -4484, -1147, -892, -126
-5074, 6812, 12770, 10567, 32767, 32767, 16940, -516, -4490, -977, -1073, -227
-2416, 24, 17644, 13781, 32767, 32767, 17096, -690, -4430, -915, -1444, -124
28, -7034, 20346, 13161, 27234, 32767, 17190, -676, -4548, -246, -1550, -251
5062, -18908, 19320, 9684, 15901, 32767, 17262, -352, -5286, 508, -1288, -613
15112, -32768, 15220, 12402, 7982, 32767, 17490, -106, -4682, 971, -1051, -781
23408, -32768, 9932, 17224, 4835, 26755, 17422, 264, -5096, 715, -616, -702
22038, -32768, 9622, 19251, 3555, -2355, 16716, 160, -6150, 367, -85, -507
20446, -27162, 9126, 5018, -856, -7468, 16436, -294, -5880, 413, 367, -332
19014, -25730, 7672, -15889, -7824, -9551, 16360, -44, -5284, 416, 747, 106
16592, -25610, 7792, -23714, -9806, -20479, 16482, 414, -4658, -456, 632, 581
12506, -21086, 9370, -24439, -13325, -32768, 16552, 144, -5006, -931, 398, 706
9398, -15530, 10182, -24576, -15022, -32768, 16906, -60, -5276, -983, 584, 583
5848, -10666, 11076, -25102, -17146, -32768, 17176, 16, -5286, -893, 923, 426
3136, -6754, 11236, -24998, -20472, -32768, 17138, 98, -5316, -613, 1221, 333
-976, -2986, 10630, -19484, -21333, -32768, 17402, -184, -4928, -269, 1087, 553
-6098, 2178, 8868, -11146, -20598, -32768, 17806, -752, -4288, 612, 726, 705
-11862, 8030, 3502, -3381, -20194, -32768, 17500, -1250, -4028, 1702, 375, 686
-15532, 16124, -4132, 1100, -18028, -32768, 16862, -1112, -3840, 2102, 313, 725
-19354, 23584, -10940, 3084, -13519, -32768, 16492, 62, -3042, 1850, -2, 623
-25112, 31742, -17080, 568, -13970, -32768, 16492, 1388, -2648, 773, -208, 459
-27936, 32767, -25028, -5103, -13858, -11541, 16244, 1554, -3292, -608, 8, 104
-25404, 32767, -27178, -6861, -4433, 10548, 16066, 592, -4168, -1768, 477, -316
-20112, 32767, -20820, -3617, 12030, 26312, 16850, -590, -4800, -1990, 312, -493
-18066, 28096, -11598, -465, 21757, 32767, 17716, -1346, -4708, -989, -333, -107
-16040, 23764, -4172, 4567, 25988, 32767, 17384, -742, -4248, -268, -723, 674
