# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
7324,-5922,-5134,-10270,-15020,-1272,16304,296,-5698,134,-744,-273
6764,-5040,-6358,-10215,-13740,-3517,16308,166,-5720,84,-582,-185
5832,-3868,-7080,-10063,-11411,-6133,16294,94,-5596,-62,-452,-197
4498,-2952,-6842,-10323,-9288,-7860,16300,258,-5546,-354,-296,-165
3104,-1704,-7128,-10069,-8233,-9600,16212,290,-5408,-371,-143,-139
2574,752,-7618,-9523,-6515,-9763,16416,316,-5816,-494,289,-51
2474,2152,-8842,-11533,-4262,-7690,16880,306,-6152,-312,679,24
2802,3384,-9750,-13640,-2661,-5766,16786,-32,-5582,-80,559,-27
3780,4516,-10038,-14521,-431,-5086,16466,-338,-5250,-327,507,-216
3224,5216,-8354,-14296,3605,-6574,16474,226,-5932,-493,885,-329
3346,7708,-8406,-13147,6395,-7526,16678,420,-5520,58,890,-234
3860,10966,-8604,-13197,7588,-4654,16650,-166,-4744,22,622,-182
3640,11938,-7524,-15239,10023,-955,16790,18,-5750,-588,754,-199
3248,11520,-5500,-15059,12719,-8,16936,630,-5432,-85,700,-96
5204,13736,-6400,-11878,13441,-1078,16714,260,-4836,-342,391,146
6402,15392,-6478,-11228,16621,-90,16664,120,-6046,-788,416,159
5634,14932,-3580,-10110,20975,1045,16760,362,-5560,36,354,130
6762,16302,-4852,-6500,21039,360,16448,128,-4818,-176,457,190
8300,20528,-6028,-3448,24772,1630,16672,412,-5624,-1057,1004,174
9578,21364,-1490,-2437,31677,6451,17446,850,-5518,-1287,757,299
13364,19560,3616,17,30983,12128,16978,316,-5528,-921,391,153
17306,16976,5212,5137,28105,12213,16484,-66,-5952,-603,1152,-138
20606,17660,6886,8998,27165,8630,17278,528,-4082,-1038,1046,-174
25326,18964,7834,11976,23542,10934,17016,598,-4266,-1392,729,81
26910,15960,9854,10931,17239,16633,16262,-308,-5848,-886,1690,30
28044,11108,10354,13522,12342,18801,16736,-228,-4530,-289,1216,-252
31248,8086,9634,16190,7603,21039,17016,110,-4838,-43,507,-205
30862,5120,12096,16323,4059,22365,16628,-390,-5496,80,60,-189
28700,870,15196,14963,-1288,24104,16480,-692,-4998,1036,-543,-422
27482,-4474,15792,10554,-10642,26636,16748,-180,-5146,2009,-1025,-621
26866,-9518,13102,7621,-18126,24005,16746,222,-5608,2325,-1298,-612
24676,-11938,10768,6815,-20521,17578,16516,316,-5278,2289,-1537,-413
21926,-12726,9162,5874,-21988,11648,16492,374,-5508,2305,-1834,-140
19944,-12406,7110,4693,-23216,7315,16650,524,-5798,1994,-2062,83
17378,-11834,6400,1880,-23436,5062,16608,612,-5832,1680,-2193,230
15262,-11976,5422,-1460,-24157,3311,16246,462,-5596,1713,-2457,226
13672,-11350,3060,-2776,-24338,-116,15926,306,-5802,1571,-2494,135
