# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
8084,24976,4264,3754,32767,-4517,17600,284,-2780,9419,1664,-1436
10220,27184,10392,2427,32767,6684,17252,-764,-5352,10369,2518,-1881
9480,24280,13400,4513,32767,11586,15892,-1168,-5132,12527,3112,-2764
11180,22700,12232,8677,27918,11550,16460,-1592,-4104,13786,3515,-2969
15864,25216,12008,13077,28472,16763,19108,-2068,-3496,14476,2655,-2219
13812,24488,16948,12497,23849,25833,17560,-796,-3696,15340,2863,-1632
13860,20524,21532,15309,14640,30322,16088,260,-3460,14933,3307,-1662
16744,17904,19296,28731,17725,32767,16320,328,-2372,13760,2449,-2112
15164,17856,21492,30712,14696,32767,16268,-476,-3600,12648,1454,-1795
15660,9500,22752,28735,6667,32767,15768,-1460,-3972,13134,-245,-1455
17264,5448,21416,31816,-1324,32767,15844,-1220,-2456,13752,-1802,-1134
20216,3460,18472,31540,-9417,32767,17040,-808,-3672,14168,-1863,-866
21284,1416,15880,28169,-14938,32767,17676,-20,-4120,15057,-1707,-1037
21772,-672,13532,26535,-17925,28212,17520,156,-3952,15514,-975,-1246
20168,-916,10672,24035,-20576,22209,18636,608,-6836,15553,-559,-1441
18780,-1932,10156,20671,-20283,19248,21104,1872,-6368,15795,-107,-2156
16736,-3684,8912,14500,-23936,19358,19364,3312,-5000,16078,532,-2689
16316,-5020,5164,10953,-26416,16055,17236,3300,-3344,16196,1717,-2241
16428,-6204,2216,12669,-24892,10577,15436,2304,-4640,16452,2309,-963
15956,-6832,400,9904,-23732,6823,14456,1572,-4324,16941,1465,24
15464,-7604,-1352,7030,-21659,2329,15068,1548,-3620,17443,474,-311
13880,-7412,-2284,6646,-17571,-2346,15760,2248,-4592,17256,-134,-1422
11736,-6992,-628,5856,-14276,-3272,16580,3704,-4752,16680,-418,-2247
10676,-6292,-856,-697,-15934,-2348,16932,3900,-4260,16002,-1120,-2223
9784,-7412,-2692,-3311,-16117,-4556,15780,3088,-3920,15272,-1840,-1930
8540,-6496,-2924,-3645,-12671,-8038,14908,2560,-4364,14626,-2309,-1783
6564,-5864,-2756,-5544,-10604,-10608,15072,2460,-4724,14280,-2032,-1772
5992,-5336,-2376,-3048,-9845,-13990,15472,2456,-4872,13875,-1704,-1820
4840,-3104,-3664,-129,-7930,-16896,16172,2748,-4912,13361,-1395,-1917
3620,-1888,-4420,-892,-5796,-17629,15952,3144,-5152,12983,-1162,-1838
2056,-564,-5072,-2028,-6043,-17073,15220,2840,-4412,12566,-1412,-1803
1952,340,-5844,-1924,-5617,-16153,15680,2780,-4632,11677,-1147,-1941
1776,1024,-7356,-1011,-3555,-15852,16764,2676,-5740,11283,-882,-2215
2112,3256,-8744,-1480,-2202,-14616,16940,2136,-5048,11519,-765,-2622
3312,3924,-10036,-3108,-1523,-12897,16204,1680,-5036,11478,-725,-2788
3888,4188,-9420,-3810,1786,-12249,15780,1780,-5188,11527,-446,-2954
