# ===========================================
# timeslice=1, slack=1, packetLoss=0 STREAM
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
0, 0, 0, 0, 0, 0, -12500, 9598, -3372, -892, 68, -2454
0, 0, 0, 0, 0, 0, -13000, 10048, -3068, -2825, 384, -3117
0, 0, 0, 0, 0, 0, -13618, 9246, -3208, -4157, 653, -2939
0, 0, 0, 0, 0, 0, -14190, 9556, -3310, -4376, 665, -1958
0, 0, 0, 0, 0, 0, -14950, 10864, -3376, -3571, -2, -1538
0, 0, 0, 0, 0, 0, -15880, 11644, -3692, -3863, -363, -1971
0, 0, 0, 0, 0, 0, -16030, 10686, -2822, -4221, -1234, -2484
0, 0, 0, 0, 0, 0, -15696, 9148, -1456, -2198, -1842, -2106
0, 0, 0, 0, 0, 0, -15070, 9146, -712, 1118, -2105, -1088
0, 0, 0, 0, 0, 0, -14560, 10290, -650, 2761, -1735, -633
0, 0, 0, 0, 0, 0, -14390, 11226, -624, 2007, -893, -789
0, 0, 0, 0, 0, 0, -14620, 11300, -738, 801, -132, -1208
0, 0, 0, 0, 0, 0, -14352, 10306, -282, 72, 363, -1158
0, 0, 0, 0, 0, 0, -13426, 9150, 232, 373, 397, -830
0, 0, 0, 0, 0, 0, -12062, 8356, 670, 1174, 228, -408
0, 0, 0, 0, 0, 0, -10598, 8134, 680, 2002, -99, -98
0, 0, 0, 0, 0, 0, -9704, 8372, 592, 2025, 79, 133
0, 0, 0, 0, 0, 0, -9496, 8700, 324, 1296, 145, 121
0, 0, 0, 0, 0, 0, -9500, 8622, -60, 418, 522, -482
0, 0, 0, 0, 0, 0, -9400, 8768, -146, 339, 275, -1060
0, 0, 0, 0, 0, 0, -9840, 9152, -554, 620, 811, -1527
0, 0, 0, 0, 0, 0, -10502, 9458, -1058, 777, 1012, -1813
0, 0, 0, 0, 0, 0, -11598, 9528, -1590, 623, 1190, -2200
0, 0, 0, 0, 0, 0, -13084, 8768, -1752, 755, 899, -2362
0, 0, 0, 0, 0, 0, -13984, 7674, -1596, 1949, 400, -2202
0, 0, 0, 0, 0, 0, -14332, 7208, -1478, 3509, -580, -1805
0, 0, 0, 0, 0, 0, -14248, 7436, -1454, 4363, -987, -1491
0, 0, 0, 0, 0, 0, -14018, 7596, -1684, 4197, -901, -1440
0, 0, 0, 0, 0, 0, -13446, 7538, -1674, 3540, -756, -1341
0, 0, 0, 0, 0, 0, -13536, 7622, -1908, 3167, -299, -1084
0, 0, 0, 0, 0, 0, -14162, 7968, -2536, 3547, -273, -772
0, 0, 0, 0, 0, 0, -14498, 8050, -3042, 3936, -845, -477
0, 0, 0, 0, 0, 0, -14538, 7806, -3322, 4527, -1680, -137
0, 0, 0, 0, 0, 0, -14086, 7126, -3050, 5554, -2595, 383
0, 0, 0, 0, 0, 0, -13040, 6992, -2716, 6935, -3269, 1122
0, 0, 0, 0, 0, 0, -12320, 8000, -2898, 7731, -3359, 1573
0, 0, 0, 0, 0, 0, -12268, 10284, -3720, 7157, -3130, 1381
0, 0, 0, 0, 0, 0, -12748, 11484, -4742, 4889, -2730, 481
0, 0, 0, 0, 0, 0, -13046, 10708, -5088, 3135, -2729, -21
0, 0, 0, 0, 0, 0, -12352, 10146, -4574, 3505, -2947, 162
0, 0, 0, 0, 0, 0, -11394, 10280, -4046, 4589, -3229, 389
0, 0, 0, 0, 0, 0, -10592, 10782, -3926, 4708, -2698, 131
0, 0, 0, 0, 0, 0, -9872, 11160, -3968, 2790, -1518, -361
0, 0, 0, 0, 0, 0, -9908, 10820, -4026, 303, -18, -779
0, 0, 0, 0, 0, 0, -10206, 10310, -4144, -1401, 658, -614
0, 0, 0, 0, 0, 0, -10732, 9822, -4274, -2193, 1073, -221
0, 0, 0, 0, 0, 0, -11394, 9622, -4602, -2188, 924, 221
0, 0, 0, 0, 0, 0, -11902, 9318, -4674, -1830, 305, 641
0, 0, 0, 0, 0, 0, -12234, 9028, -4584, -949, -51, 1206
0, 0, 0, 0, 0, 0, -12330, 9050, -4424, -217, -401, 1763
0, 0, 0, 0, 0, 0, -12246, 9358, -4140, 114, -288, 2153
0, 0, 0, 0, 0, 0, -12210, 9614, -3882, -79, -34, 2278
0, 0, 0, 0, 0, 0, -12192, 9666, -3640, -588, 9, 2277
0, 0, 0, 0, 0, 0, -12218, 9782, -3436, -1228, 202, 2263
0, 0, 0, 0, 0, 0, -11976, 9782, -3248, -1984, 199, 2204
0, 0, 0, 0, 0, 0, -11964, 9878, -3248, -3204, 622, 2005
0, 0, 0, 0, 0, 0, -11926, 9872, -3146, -4460, 1008, 1720
0, 0, 0, 0, 0, 0, -12258, 9924, -3256, -4734, 1549, 1264
0, 0, 0, 0, 0, 0, -12638, 9836, -3618, -3458, 1061, 724
0, 0, 0, 0, 0, 0, -12692, 10600, -4210, -1550, 679, 174
0, 0, 0, 0, 0, 0, -12870, 11232, -4664, -372, 604, -537
0, 0, 0, 0, 0, 0, -12860, 11600, -4606, -223, 750, -1417
0, 0, 0, 0, 0, 0, -13976, 12394, -4442, 262, 989, -2190
0, 0, 0, 0, 0, 0, -15254, 11228, -4148, 511, -92, -3196
0, 0, 0, 0, 0, 0, -15072, 9580, -3052, 994, -1681, -3316
0, 0, 0, 0, 0, 0, -15694, 8458, -2478, 240, -1471, -2943
0, 0, 0, 0, 0, 0, -15492, 7910, -2410, -2561, 108, -2638
0, 0, 0, 0, 0, 0, -15696, 6182, -2710, -4987, 1851, -2596
0, 0, 0, 0, 0, 0, -14768, 5230, -2762, -3921, 2355, -2029
