acc1x,acc1y,acc1z,gyro1x,gyro1y,gyro1z,acc2x,acc2y,acc2z,gyro2x,gyro2y,gyro2z
0,0,0,0,0,0,-32768,22992,-7878,8268,4657,-623
0,0,0,0,0,0,-30214,23340,-8002,-9452,4052,-9503
0,0,0,0,0,0,-22694,8670,-5998,-10481,8988,-9892
0,0,0,0,0,0,-14454,2336,-4388,-4453,6661,-6906
0,0,0,0,0,0,-5434,-384,-2134,2487,2299,-4655
0,0,0,0,0,0,1720,-1800,-442,3241,1198,-2911
0,0,0,0,0,0,5804,-2734,450,4331,-743,-1039
0,0,0,0,0,0,6218,-544,54,8294,-3253,1362
0,0,0,0,0,0,4958,2002,-844,7596,-4506,2636
0,0,0,0,0,0,4516,5242,-2030,5678,-4679,1843
0,0,0,0,0,0,2610,5788,-2432,1830,-2215,1088
0,0,0,0,0,0,400,4562,-1606,-1085,-1062,357
0,0,0,0,0,0,-338,3204,-210,-2477,-820,1107
0,0,0,0,0,0,-2244,3096,600,-1243,-1291,2729
0,0,0,0,0,0,-6060,7658,-856,1557,-771,4022
0,0,0,0,0,0,-18020,15926,-6272,2543,1937,3147
0,0,0,0,0,0,-32768,18212,-11132,-6511,3120,1276
0,0,0,0,0,0,-32768,13728,-7730,-10090,-895,-1948
0,0,0,0,0,0,-32768,12818,-6586,1090,-134,1164
0,0,0,0,0,0,-32768,21794,-10192,9645,2585,2835
0,0,0,0,0,0,-32768,21972,-10320,310,2640,-3837
0,0,0,0,0,0,-27108,12020,-9892,-11517,5714,-6792
0,0,0,0,0,0,-14602,1638,-6066,-7862,3901,-6037
0,0,0,0,0,0,-6292,-1890,-2308,2384,-275,-1571
0,0,0,0,0,0,3038,-994,1020,7750,-1964,269
0,0,0,0,0,0,7600,294,1826,6409,-2181,1258
0,0,0,0,0,0,7504,1976,658,5376,-3955,943
0,0,0,0,0,0,4866,1770,-1748,3319,-3893,1966
0,0,0,0,0,0,-72,3102,-1704,3094,-6140,3546
0,0,0,0,0,0,554,4826,-2464,-1403,-2171,327
0,0,0,0,0,0,1274,4330,-838,-1354,2643,1189
0,0,0,0,0,0,-558,3330,-714,-2613,808,-371
0,0,0,0,0,0,-1466,2558,-220,-3666,-5190,-464
0,0,0,0,0,0,-3434,5192,-84,-2751,-2503,1255
0,0,0,0,0,0,-11288,15082,-3330,267,3507,1943
0,0,0,0,0,0,-32768,24222,-17444,-4892,9216,2041
0,0,0,0,0,0,-32768,14614,-8756,-13507,3866,-3357
0,0,0,0,0,0,-32768,9878,-3226,-7154,-6765,-3378
0,0,0,0,0,0,-32768,13188,-5712,8029,5,1716
0,0,0,0,0,0,-32768,20718,-10188,4218,4261,626
0,0,0,0,0,0,-28024,14634,-9290,-6322,5798,-4740
0,0,0,0,0,0,-16740,5816,-4822,-3021,2557,-4431
0,0,0,0,0,0,-7204,1474,-614,5501,-3898,-2227
0,0,0,0,0,0,2508,1790,1454,5880,-2978,-1103
0,0,0,0,0,0,7880,1266,1410,1636,342,-818
0,0,0,0,0,0,5252,-790,438,-1129,742,-295
0,0,0,0,0,0,1646,-412,-758,-1175,426,349
0,0,0,0,0,0,1252,620,-1298,116,-2122,1773
0,0,0,0,0,0,64,1570,-1682,744,-3082,2181
0,0,0,0,0,0,-998,1708,-1400,352,-3130,2408
0,0,0,0,0,0,-820,2472,-932,-470,-3257,3036
0,0,0,0,0,0,-2870,3910,-924,-668,-2052,3001
0,0,0,0,0,0,-7820,9084,-2122,137,-552,3320
0,0,0,0,0,0,-21550,16328,-6782,-838,860,2254
0,0,0,0,0,0,-32768,17676,-10528,-7020,1942,570
0,0,0,0,0,0,-32768,13296,-7444,-6669,-2086,-1676
0,0,0,0,0,0,-32768,15312,-7932,4613,-2379,381
0,0,0,0,0,0,-32768,20602,-10432,9218,-305,-565
0,0,0,0,0,0,-32768,23034,-9198,-115,1039,-4192
0,0,0,0,0,0,-12012,11580,-2230,-2676,869,-5896
0,0,0,0,0,0,-14444,2126,-1920,6098,1568,-3614
0,0,0,0,0,0,-1002,2056,1536,12702,-3574,903
0,0,0,0,0,0,7726,3214,2530,7173,-1518,353
0,0,0,0,0,0,9614,2738,1558,-1122,1034,-899
0,0,0,0,0,0,5452,1232,102,-5156,2201,-1217
0,0,0,0,0,0,3176,656,-808,-5304,659,-249
0,0,0,0,0,0,1000,1016,-1668,-3944,902,1039
0,0,0,0,0,0,-790,1334,-2068,-1508,-160,1739
0,0,0,0,0,0,-1458,1644,-1700,-187,-1809,2145
0,0,0,0,0,0,-2236,1860,-906,4,-2725,3333
0,0,0,0,0,0,-3602,5054,-688,263,-2836,3990
0,0,0,0,0,0,-8686,11504,-2302,514,-1618,3908
0,0,0,0,0,0,-26678,19676,-7932,-2934,1515,3336
0,0,0,0,0,0,-32768,20282,-8184,-10367,1041,574
0,0,0,0,0,0,-32768,15776,-4618,-11900,-2597,-3872
0,0,0,0,0,0,-32768,10832,-6534,-389,195,-1314
0,0,0,0,0,0,-32768,15226,-8988,6807,3912,297
0,0,0,0,0,0,-32768,20426,-10500,1795,995,-2389
0,0,0,0,0,0,-22742,8120,-6286,-346,796,-4873
0,0,0,0,0,0,-15416,4898,-3242,5224,-545,-2652
0,0,0,0,0,0,-5546,3028,-928,7155,-2735,-2001
0,0,0,0,0,0,3510,690,546,4511,-3123,-1970
0,0,0,0,0,0,8578,-1782,1126,3854,-1014,-1390
0,0,0,0,0,0,7310,598,266,5540,-1354,446
0,0,0,0,0,0,4050,2428,-1562,3892,-1848,674
0,0,0,0,0,0,-532,4650,-654,200,-8337,-351
0,0,0,0,0,0,-10766,2306,-2370,1030,-3667,2372
0,0,0,0,0,0,-752,1632,-356,1742,-12151,-271
0,0,0,0,0,0,-2824,2760,104,849,-5089,1325
0,0,0,0,0,0,-2228,5592,1200,870,441,2366
0,0,0,0,0,0,-10420,14548,-2138,861,4585,2416
0,0,0,0,0,0,-32768,22346,-9670,-7233,9745,671
0,0,0,0,0,0,-32768,18076,-8292,-16391,5589,-3737
0,0,0,0,0,0,-32768,12146,-6824,-11296,4439,-4925
0,0,0,0,0,0,-32768,14770,-10474,2355,9163,1112
0,0,0,0,0,0,-32768,19238,-11004,2700,5189,-2611
0,0,0,0,0,0,-28082,11820,-8476,-2493,3345,-5446
0,0,0,0,0,0,-14720,2306,-2520,3535,1193,-2765
0,0,0,0,0,0,-2750,2356,1924,7852,-2803,-271
0,0,0,0,0,0,7324,4434,3098,3569,-946,-1202
0,0,0,0,0,0,8880,2546,1920,-3965,4294,-2027
0,0,0,0,0,0,4640,-32,-200,-5550,6736,-1639
0,0,0,0,0,0,2134,-336,-1304,-3644,3087,-592
0,0,0,0,0,0,1090,930,-1640,-975,-101,783
0,0,0,0,0,0,-46,1494,-1606,618,70,1798
0,0,0,0,0,0,-428,2498,-880,1258,-2709,2183
0,0,0,0,0,0,706,2828,128,215,-3378,2602
0,0,0,0,0,0,230,3836,34,-924,-3209,2846
0,0,0,0,0,0,-3440,7506,-338,-373,-1534,2010
0,0,0,0,0,0,-14866,17388,-5892,621,3302,892
0,0,0,0,0,0,-32768,20422,-16936,-8242,9515,963
0,0,0,0,0,0,-32768,10472,-10526,-13421,272,-3342
0,0,0,0,0,0,-32768,8164,-10762,-2011,-4890,1474
0,0,0,0,0,0,-32768,14896,-15084,6485,833,2782
0,0,0,0,0,0,-32768,16966,-13692,2686,2401,-255
0,0,0,0,0,0,-25850,9198,-6776,775,-1280,-1351
0,0,0,0,0,0,-3246,10502,-3200,4063,-3923,-1405
0,0,0,0,0,0,-3942,2308,532,-1562,2385,-968
0,0,0,0,0,0,9200,-476,1730,-388,2319,-2008
0,0,0,0,0,0,6716,580,-446,-1316,3601,-1012
0,0,0,0,0,0,2792,0,-530,-141,1466,-422
0,0,0,0,0,0,1876,1034,-1050,2691,-1987,-202
0,0,0,0,0,0,720,2044,-1678,3742,-3943,756
0,0,0,0,0,0,-1046,2966,-2038,2459,-3942,1097
0,0,0,0,0,0,-798,1804,-1016,118,-4238,981
0,0,0,0,0,0,-448,410,-64,-160,-4222,1721
0,0,0,0,0,0,-2186,1110,106,1023,-3663,2947
0,0,0,0,0,0,-6702,7686,-1572,2300,-1821,3901
0,0,0,0,0,0,-25774,18338,-9486,3501,2760,2993
0,0,0,0,0,0,-32768,22334,-14982,-5950,2883,1348
0,0,0,0,0,0,-32768,15602,-9012,-10813,-2761,-5437
0,0,0,0,0,0,-32768,12070,-7508,1827,-1364,-1587
0,0,0,0,0,0,-32768,20596,-11288,6065,5634,-551
0,0,0,0,0,0,-29090,17468,-10400,-4958,5316,-5375
0,0,0,0,0,0,-16204,5822,-4638,-5020,3268,-5622
0,0,0,0,0,0,-3908,786,906,1820,-307,-3440
0,0,0,0,0,0,6992,814,2468,4331,-4022,-2463
0,0,0,0,0,0,12064,-196,1982,1206,-1042,-2372
0,0,0,0,0,0,6748,-418,154,1182,2394,-782
0,0,0,0,0,0,2658,872,-1480,2563,-1036,1120
0,0,0,0,0,0,360,2214,-2590,3033,-3978,1770
0,0,0,0,0,0,-1342,3068,-2796,2612,-4337,2519
0,0,0,0,0,0,-1256,2562,-1696,1939,-5387,2650
0,0,0,0,0,0,-38,1466,-94,1163,-5201,3074
0,0,0,0,0,0,-356,1582,840,400,-4770,3626
0,0,0,0,0,0,-2200,3194,360,-204,-2754,3320
0,0,0,0,0,0,-7740,10568,-1956,1425,1248,3261
0,0,0,0,0,0,-31540,19928,-9928,-1690,6379,2455
0,0,0,0,0,0,-32768,17782,-9698,-12882,3291,-1625
0,0,0,0,0,0,-32768,11650,-7056,-10562,782,-4187
0,0,0,0,0,0,-32768,12922,-12856,9816,3560,1006
0,0,0,0,0,0,-32768,23162,-15568,11419,2093,53
0,0,0,0,0,0,-32768,14194,-10620,744,-502,-4794
0,0,0,0,0,0,-24484,5974,-5126,4476,360,-3849
0,0,0,0,0,0,-4514,4932,650,8304,-1344,-3620
0,0,0,0,0,0,7444,3830,2082,4040,-1138,-4827
0,0,0,0,0,0,10576,1516,2478,1098,3312,-4908
