# ===========================================
# timeslice=1, slack=1, packetLoss=0 STREAM
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-19652, -1322, 4714, -5328, -83, 3233, 20302, 5642, 6750, -1878, 1553, -1802
-18674, -3140, 3840, -2849, -1161, 4189, 18316, 3898, 5536, -1049, 2217, -2460
-16340, -3950, 2542, 2165, -1333, 3534, 15808, 3928, 4968, -403, 2354, -2497
-14302, -4230, 1310, 8104, -531, 1857, 13892, 4234, 4468, -85, 1732, -2451
-13598, -4196, 374, 13433, 1006, -918, 12186, 3634, 4132, 32, 895, -2542
-13462, -3406, -112, 16907, 2581, -3874, 12028, 3552, 4174, -65, 112, -2576
-13216, -1782, -332, 17136, 3810, -5488, 12276, 3800, 3762, -445, -263, -2595
-12806, -210, -310, 13461, 4523, -5177, 12612, 4186, 3396, -457, -321, -2801
-12604, 790, -98, 7337, 4629, -3504, 12786, 4246, 3496, -218, 240, -2646
-12638, 852, 392, 814, 4306, -1180, 12494, 3732, 3952, -157, 1017, -2044
-12594, -118, 1060, -4067, 4085, 1002, 11656, 3688, 4420, -507, 1411, -1411
-12466, -1208, 1736, -6411, 4308, 2060, 11444, 4108, 4594, -1080, 1131, -1075
-12600, -1446, 2406, -7202, 4747, 2410, 11624, 4096, 4582, -1683, 665, -982
-12618, -1538, 3026, -7601, 4892, 2297, 12096, 3456, 4574, -2362, 538, -1130
-12794, -1558, 3594, -7314, 4966, 1947, 13596, 2878, 5332, -3129, 696, -1349
-14150, -2208, 4440, -6125, 4758, 1449, 16030, 3208, 7344, -3678, 971, -1513
-17648, -3430, 6392, -4181, 3953, 313, 18598, 4388, 6728, -4293, 664, -1339
-21166, -3904, 9618, -2913, -92, -1587, 20576, 4326, 5504, -4657, 86, -815
-22870, -3344, 13008, -3317, -5024, -3202, 20126, 2622, 5156, -4461, 59, -635
-17434, -7108, 14720, 3467, -11191, -7000, 19092, 1142, 4694, -4096, -213, -479
-15838, -3606, 6656, 12715, -5320, -10653, 18468, -168, 3726, -3226, -449, 194
-15856, 2854, 4126, 12732, 2875, -7046, 16608, -824, 3322, -1513, -576, 780
-13408, 4582, 4686, 4337, 7000, 888, 14252, 96, 3898, 414, -155, 1105
-13530, 3204, 5380, -4984, 10619, 7894, 13298, 1514, 4566, 1760, 5, 1302
-14314, 1636, 6632, -12387, 11687, 12267, 13556, 2590, 5022, 2963, -286, 1690
-14958, -414, 8068, -16824, 8447, 13525, 14358, 3404, 5306, 4078, -781, 2523
-14540, -1630, 8778, -17947, 2602, 11853, 15236, 3886, 5472, 5160, -1031, 3345
-13736, -2520, 7918, -18250, -2423, 8162, 15578, 4066, 5394, 5876, -887, 3862
-13170, -3062, 6620, -17759, -5209, 2636, 15622, 3698, 5020, 6370, -895, 4212
-13424, -2896, 6082, -15119, -5990, -2610, 15828, 3048, 4786, 6776, -1172, 4611
-13874, -2328, 5250, -10203, -5860, -6706, 15542, 2644, 4342, 7118, -1552, 4907
-14794, -1204, 4872, -4860, -6266, -9005, 14990, 2660, 3940, 7468, -1816, 4955
-15226, -24, 4202, -529, -7525, -9855, 14558, 2750, 3406, 7880, -1763, 4832
-15432, 1024, 3016, 2055, -8621, -9744, 14094, 2676, 2990, 8414, -1518, 4628
-15094, 1788, 2066, 2964, -9183, -8610, 13320, 2804, 2636, 8915, -1298, 4481
-14170, 1784, 986, 3200, -8895, -6020, 12656, 3000, 2292, 9243, -1059, 4452
-12774, 1126, 162, 3157, -7333, -2919, 11934, 3096, 2248, 9513, -795, 4416
-11796, 14, -210, 3017, -4966, -367, 11686, 3276, 2716, 9282, -589, 4453
-11968, -1334, -228, 2697, -2899, 893, 12962, 3470, 2822, 8429, -472, 4617
-13166, -2436, 378, 2100, -1841, 23, 15012, 3672, 3016, 7651, -295, 4635
-15066, -3200, 1382, 972, -1627, -2084, 16606, 4342, 3296, 7070, 215, 4417
-17418, -4178, 2372, -15, -2133, -4251, 18084, 5022, 3888, 6496, 359, 4103
-19506, -4558, 3076, 917, -2666, -6615, 19352, 5658, 4332, 6073, -52, 3700
-21016, -3756, 3836, 2168, -2721, -7894, 19972, 6212, 4568, 5840, -1020, 3146
-21656, -3038, 4826, 2197, -1682, -6938, 21378, 6192, 4750, 5775, -2003, 2428
-21608, -3162, 6188, 1644, 545, -4331, 22290, 5538, 4642, 6161, -2354, 1487
-20056, -2626, 7644, 521, 3644, -1326, 21666, 4048, 4600, 6572, -2202, 424
-19262, -3402, 9216, -646, 5882, 1518, 21856, 1050, 5688, 6679, -1736, -193
-18990, -5844, 10412, 1287, 5669, 2779, 23628, -3088, 6272, 6831, -1215, -492
-18934, -7930, 11130, 6760, 3679, 1200, 26374, -6296, 7034, 6895, -524, -269
-19742, -6758, 11052, 10368, 274, -3186, 25278, -7294, 6492, 7145, 1546, 467
-17264, -2516, 9666, 6523, -1678, -3730, 20638, -6056, 8224, 6390, 2873, 1294
-13718, 492, 8694, -3924, -94, 1026, 17670, -4750, 7156, 4972, 2704, 1659
-12088, -554, 9420, -15783, 3580, 7001, 16304, -4528, 6574, 3739, 1766, 1591
-11872, -4720, 11276, -20926, 6083, 10436, 15180, -4316, 5816, 2754, 1574, 1669
-10948, -9058, 12618, -17849, 6896, 10647, 13368, -4158, 5068, 1594, 1641, 1914
-9748, -10326, 13116, -9659, 6343, 7479, 11870, -4116, 4656, 860, 1213, 1947
-8366, -8140, 13336, -5238, 1595, 3452, 10864, -4076, 4120, 499, 160, 1882
-8010, -5504, 10522, -4394, -2213, 2767, 10436, -4300, 3868, 382, -804, 1756
-8316, -4996, 7910, -3988, -2378, 4528, 11414, -4594, 4024, 111, -1125, 1567
-8376, -5096, 7226, -3556, -1207, 5481, 12622, -4444, 4162, -154, -946, 1386
-9432, -5146, 6536, -3491, 360, 5186, 13476, -4308, 4450, -479, -627, 1238
-10576, -4896, 6916, -4067, 1068, 4724, 13834, -4202, 4268, -842, -340, 1131
-11530, -4788, 7128, -4173, 871, 4299, 13816, -4144, 4022, -1145, -143, 1100
-11806, -4528, 6796, -3804, 546, 4145, 13656, -4318, 3816, -1328, -102, 1293
-11796, -4334, 6242, -3493, 38, 4171, 13614, -4586, 3498, -1340, 34, 1702
-11376, -4032, 5698, -3698, 312, 4031, 13452, -4338, 2912, -1251, 214, 2228
