# ===========================================
# timeslice=1, slack=1, packetLoss=0 STREAM
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
0, 0, 0, 0, 0, 0, -12334, 8636, -7608, 3791, -6435, 3602
0, 0, 0, 0, 0, 0, -13874, 9532, -7856, 3402, -5670, 2536
0, 0, 0, 0, 0, 0, -15938, 10240, -7718, 2142, -4896, 1548
0, 0, 0, 0, 0, 0, -17366, 10910, -7304, 578, -4198, 579
0, 0, 0, 0, 0, 0, -18026, 10874, -6428, -383, -3654, -256
0, 0, 0, 0, 0, 0, -18170, 11284, -5048, -76, -4337, -1058
0, 0, 0, 0, 0, 0, -17218, 10952, -2818, 710, -5052, -1741
0, 0, 0, 0, 0, 0, -15186, 9524, 326, 1907, -5125, -1866
0, 0, 0, 0, 0, 0, -12736, 8690, 2744, 3996, -4328, -1074
0, 0, 0, 0, 0, 0, -10260, 10984, 3562, 5734, -2541, -706
0, 0, 0, 0, 0, 0, -8906, 13018, 3862, 2308, 853, -2023
0, 0, 0, 0, 0, 0, -10290, 12482, 3734, -4171, 4949, -3797
0, 0, 0, 0, 0, 0, -12850, 9470, 3280, -6465, 6476, -4294
0, 0, 0, 0, 0, 0, -13660, 5550, 3780, -5423, 5034, -3056
0, 0, 0, 0, 0, 0, -12676, 4542, 4588, -2737, 2928, -959
0, 0, 0, 0, 0, 0, -11622, 4828, 4698, -606, 1389, 688
0, 0, 0, 0, 0, 0, -10300, 6030, 4438, -927, 1378, 1495
0, 0, 0, 0, 0, 0, -10278, 7422, 3246, -2676, 3021, 1539
0, 0, 0, 0, 0, 0, -10820, 7860, 1348, -4365, 4441, 1091
0, 0, 0, 0, 0, 0, -12156, 8228, 256, -4753, 5034, 788
0, 0, 0, 0, 0, 0, -13208, 8230, -100, -3980, 4080, 699
0, 0, 0, 0, 0, 0, -13354, 8032, 88, -2640, 2979, 802
0, 0, 0, 0, 0, 0, -13544, 7844, 486, -1465, 2635, 935
0, 0, 0, 0, 0, 0, -13600, 7500, 816, -1180, 2813, 1196
0, 0, 0, 0, 0, 0, -13460, 7644, 706, -1835, 3225, 1241
0, 0, 0, 0, 0, 0, -13224, 7642, 106, -2630, 3602, 1159
0, 0, 0, 0, 0, 0, -13166, 6878, -238, -2399, 3112, 1110
0, 0, 0, 0, 0, 0, -13592, 6384, -338, -720, 2081, 1438
0, 0, 0, 0, 0, 0, -13746, 6876, -422, 1376, 851, 2075
0, 0, 0, 0, 0, 0, -13320, 7572, -534, 2594, 191, 1715
0, 0, 0, 0, 0, 0, -12834, 8354, -376, 1965, 392, 1733
0, 0, 0, 0, 0, 0, -12816, 8314, -258, 1232, 765, 1169
0, 0, 0, 0, 0, 0, -12662, 8952, -420, 908, 1387, 740
0, 0, 0, 0, 0, 0, -12950, 10066, -1132, 1429, 1630, 106
0, 0, 0, 0, 0, 0, -13552, 10968, -2014, 1414, 1443, -961
0, 0, 0, 0, 0, 0, -13796, 10502, -2382, 709, 723, -1847
0, 0, 0, 0, 0, 0, -13418, 9366, -2296, 456, -144, -2365
0, 0, 0, 0, 0, 0, -12820, 8124, -1674, 1113, -1111, -2519
0, 0, 0, 0, 0, 0, -12578, 7738, -1030, 2744, -1691, -2310
0, 0, 0, 0, 0, 0, -12726, 8376, -682, 4200, -2243, -2149
0, 0, 0, 0, 0, 0, -13150, 9088, -692, 4315, -2538, -2261
0, 0, 0, 0, 0, 0, -13738, 8876, -580, 4085, -2986, -2199
0, 0, 0, 0, 0, 0, -13842, 8678, -114, 4483, -3460, -1812
0, 0, 0, 0, 0, 0, -13340, 8664, 224, 4754, -3748, -1430
0, 0, 0, 0, 0, 0, -13074, 8540, 140, 4586, -3656, -1362
0, 0, 0, 0, 0, 0, -13126, 8906, -222, 4441, -3708, -1172
0, 0, 0, 0, 0, 0, -12642, 9238, -180, 4336, -4484, -605
0, 0, 0, 0, 0, 0, -11918, 9332, 58, 4406, -5215, -86
0, 0, 0, 0, 0, 0, -11580, 9172, 214, 3966, -5505, 101
0, 0, 0, 0, 0, 0, -11362, 8544, 494, 3024, -5363, 257
0, 0, 0, 0, 0, 0, -11372, 7534, 878, 2576, -4749, 554
0, 0, 0, 0, 0, 0, -11436, 7316, 990, 2851, -4338, 1020
0, 0, 0, 0, 0, 0, -11126, 7684, 1128, 2581, -4047, 1250
0, 0, 0, 0, 0, 0, -11466, 7418, 1300, 1759, -3236, 1254
0, 0, 0, 0, 0, 0, -12144, 7708, 1958, 1508, -3058, 1437
0, 0, 0, 0, 0, 0, -12122, 8234, 2496, 345, -2544, 1428
0, 0, 0, 0, 0, 0, -12408, 6812, 2542, 59, -1971, 1350
0, 0, 0, 0, 0, 0, -12324, 7356, 2980, 1329, -2283, 1734
0, 0, 0, 0, 0, 0, -11734, 9342, 3110, 593, -1297, 1331
