# ===========================================
# timeslice=63, slack=2, packetLoss=0
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-1328, -16402, -2468, 492, -1161, -708, 9462, -8378, 11518, 1624, 41, -1562
-1094, -17260, -2682, 514, -850, -299, 9238, -8220, 12280, -427, 300, 244
-594, -17384, -2818, 705, -622, -94, 7044, -9144, 11024, -1262, 1621, 469
-240, -16722, -2326, 935, -456, -658, 6134, -9016, 10178, -362, 1848, 168
-122, -15342, -2364, 745, -290, -854, 6490, -8468, 10508, 1411, -170, 92
-572, -15062, -2608, -267, -185, 90, 7384, -8078, 11082, 2054, -2059, 474
-1160, -15500, -2408, -542, 113, 845, 7508, -7432, 11388, 2106, -3269, 1654
-1316, -16464, -2064, -569, 412, 1163, 7590, -7620, 11298, 2615, -3663, 1898
-1094, -17290, -2104, -322, 226, 658, 7854, -7964, 11506, 2369, -4139, 1915
-1126, -17354, -2380, 75, -129, -164, 8068, -8108, 12264, 1318, -5163, 2333
-992, -16812, -2286, -7, -134, -487, 7708, -7212, 11856, 1965, -5660, 2276
-886, -16342, -2154, -323, 42, -323, 7620, -7790, 11394, 2576, -5725, 1509
-1030, -16062, -2090, -380, 264, -363, 7092, -6496, 10428, 3998, -5627, 422
-1346, -16032, -2030, -679, 368, -368, 8610, -7498, 11390, 4497, -7496, 254
-1532, -16736, -2038, -1127, 115, -210, 7604, -6910, 11962, 4459, -8961, 620
-1452, -16898, -2156, -897, -428, -787, 8350, -5922, 10754, 4441, -8122, 620
-922, -16126, -2224, -781, -644, -749, 9746, -6618, 11680, 4057, -9171, 56
-646, -15890, -2412, -1227, -379, 49, 9604, -5168, 11322, 3853, -8261, -43
-612, -16138, -2630, -2015, -381, 761, 11644, -5546, 9962, 3650, -6613, -956
-1354, -16542, -3200, -1744, -326, 931, 12208, -5346, 12178, 1981, -6495, -865
-1380, -17044, -3370, -872, -236, 872, 12494, -5076, 10840, -889, -4796, -640
-1238, -17992, -3456, -291, -347, 334, 13820, -6502, 8834, -2224, -1626, -1209
-1158, -18318, -4366, 367, 272, -282, 13044, -6380, 9676, -1778, 255, -755
-842, -17734, -3876, 1439, 921, -833, 12232, -6188, 10110, -2464, 600, 346
-1126, -17370, -2960, 2221, 145, -1295, 12076, -6682, 9822, -2995, 1206, 1408
-1854, -16878, -2700, 2446, -116, -1505, 11838, -6528, 10038, -3076, 3415, 2306
-1912, -16788, -2082, 2717, 163, -1355, 11362, -6256, 10278, -2107, 5284, 2536
-1530, -17066, -1706, 2545, 28, -1346, 10466, -5830, 10454, -481, 5678, 2368
-1178, -17218, -2156, 2458, -261, -1559, 10208, -6056, 10812, -158, 5448, 2065
-736, -16754, -2302, 2312, -481, -1529, 11276, -6116, 11154, -1663, 5417, 2260
-598, -16434, -2380, 2078, -250, -1075, 10088, -6914, 10536, -1724, 5900, 2198
-378, -15908, -2006, 1670, 119, -749, 9328, -7682, 9044, -1303, 5329, 1862
-698, -15950, -1536, 1162, 212, -400, 8220, -6436, 9740, -1867, 5743, 1376
-998, -16078, -1370, 1527, -14, -839, 8040, -6802, 10764, -2243, 4601, 437
-1174, -16220, -1486, 1575, -759, -1300, 7586, -7624, 11136, -3351, 3622, -436
-1016, -16160, -1900, 1482, -1382, -1122, 7490, -7392, 11304, -3243, 3332, -1226
-834, -16562, -1930, 1341, -1682, -1011, 7586, -8152, 10790, -688, 2704, -2904
-414, -17246, -1684, 1852, -1867, -1080, 7944, -7776, 11700, 346, 2799, -3392
-116, -16940, -1158, 2149, -1944, -1272, 7180, -6792, 12246, 443, 3919, -3708
-272, -15868, 84, 1480, -1776, -1177, 6894, -6672, 11838, 711, 3536, -4341
-622, -15756, 208, -13, -590, -1132, 7512, -7386, 12040, 242, 3017, -5397
-378, -16266, -742, -520, -143, -1296, 7732, -7988, 12578, -1458, 1787, -4880
114, -16700, -2400, -24, -475, -1270, 8790, -8804, 12560, -2667, 1075, -2415
220, -17246, -3146, 62, -120, -701, 8046, -8900, 11482, -2357, 1454, -488
-312, -16902, -2350, 135, 889, 72, 8038, -8928, 11246, -1335, 77, 607
-1032, -16800, -636, -276, 1650, 439, 8040, -8010, 11100, -1065, -1086, 1553
-1518, -16542, -482, -513, 1435, 446, 7554, -8030, 11138, -705, -2660, 2275
-1148, -15940, -934, -435, 626, 119, 7178, -7774, 10454, -384, -2880, 2169
