# ===========================================
# timeslice=63, slack=2, packetLoss=0
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-1258, -16792, -4866, 871, -1860, -223, 16096, -3994, 7702, -1632, 2331, -87
-1158, -17002, -4792, 1137, -2294, -655, 15548, -2622, 6328, -3677, 3097, 1913
-1152, -16622, -4060, 704, -1638, -729, 15204, -2958, 5708, -4907, 2299, 2089
-536, -16218, -4036, 498, -648, -686, 15318, -3478, 6502, -3526, 539, 2267
-106, -15706, -3920, 203, -343, -371, 14670, -3180, 8010, -1962, 191, 2705
-352, -15890, -3724, 344, 292, -300, 14212, -3170, 8488, -2194, 542, 2442
-550, -15860, -3872, -117, 1133, -249, 14066, -3000, 7684, -3804, 1386, 2052
-914, -16146, -4110, -212, 1621, -316, 13732, -4710, 6306, -2550, 1618, 1317
-1222, -16414, -3782, 46, 1686, -88, 12974, -5630, 5504, 1021, 307, 300
-1252, -16278, -3480, 90, 1645, 154, 13422, -5564, 5438, 4459, -2209, -223
-1322, -16366, -3648, 43, 1525, 182, 13928, -4698, 6350, 4111, -4071, 641
-1614, -16244, -3778, 414, 1254, 121, 13766, -4078, 6278, 2862, -3642, 1005
-1674, -16086, -3912, 559, 614, 163, 14380, -3676, 6042, 3022, -2838, -349
-1658, -16212, -4096, 844, -161, 59, 14016, -3432, 6168, 2983, -1510, -1638
-1318, -16274, -4210, 680, -611, -134, 14416, -3832, 5902, 3292, -1764, -2423
-888, -16016, -4348, 800, -652, -166, 14182, -3684, 6972, 3891, -2946, -1939
-770, -15808, -4380, 672, -692, 47, 13926, -3560, 6498, 3980, -4660, -1661
-776, -15616, -4106, 385, -701, -35, 14328, -2576, 5918, 4072, -4261, -1877
-1258, -16278, -4088, -242, -539, -121, 15180, -748, 7150, 2922, -3525, -1790
-1432, -16690, -4258, -295, -771, -491, 15336, -1980, 5720, 2181, -2417, -2048
-878, -16040, -4456, -571, -811, -736, 15856, -414, 7688, 833, -2532, -1860
-158, -16624, -4746, -648, -201, -772, 14330, 46, 5520, -5142, -2039, -1058
688, -17382, -5426, 556, 500, -683, 13958, -2874, 626, -4888, 876, -2718
1382, -16028, -6306, 563, 947, -542, 18232, -3696, 3410, -2282, -1018, -4391
284, -15014, -5536, 1129, 2013, -549, 20168, -2066, 1344, -1059, 439, -1956
-1650, -15468, -5138, 1012, 2924, 256, 17934, -710, 2192, -50, 1101, 1379
-2582, -16804, -5006, 577, 2450, 577, 18366, -1578, 3038, 396, -432, 3237
-3092, -17082, -4600, 1255, 269, 599, 17656, -1966, 2870, -1003, 1407, 3291
-2744, -17028, -4522, 1946, -1800, 231, 17406, -1358, 1878, -2968, 4355, -26
-1822, -17066, -4572, 2003, -2727, -376, 16206, -3038, 3748, -3092, 6308, -2156
-1048, -16662, -4582, 1221, -2245, -622, 16456, -3050, 6284, -3236, 6160, -985
-1024, -16038, -4484, 595, -1635, -357, 16290, -3856, 5796, -3263, 4618, 495
-1430, -15860, -4416, 839, -1703, -315, 15638, -5128, 7158, -2710, 1956, 1528
-1638, -16370, -4088, 241, -2359, -354, 14968, -2940, 6986, -4004, 2375, 4377
-1872, -16712, -3342, -147, -2286, -561, 14464, -3328, 7968, -3080, 1181, 5044
-1366, -16622, -2912, -369, -1411, -1115, 14158, -3234, 8474, -1346, 753, 3897
-532, -16376, -2930, -840, -804, -1383, 14622, -2810, 8378, -1268, 1850, 2620
-302, -15886, -2968, -955, -98, -1153, 14744, -3816, 7900, -1024, 2799, 2697
-580, -16020, -3228, -1077, 1033, -670, 12654, -4856, 7516, 485, 1390, 2632
-980, -15992, -3398, -1788, 1607, -38, 11774, -5026, 7230, 3305, -1574, 1519
-1304, -16252, -3676, -2038, 1817, 193, 13040, -5570, 7716, 4030, -3911, 1603
-1290, -15888, -3882, -2106, 1543, 230, 12994, -4886, 6312, 3390, -3553, 2110
-1478, -16086, -4036, -894, 1030, -264, 12920, -3530, 6506, 4135, -2612, 274
-1478, -16056, -3868, -432, 821, -345, 13008, -3380, 6276, 3824, -2504, -1077
-1632, -16120, -3532, -738, 38, -326, 13036, -4144, 5962, 4014, -3372, -2396
-1324, -16012, -4304, -49, -102, -397, 13230, -3748, 6100, 3999, -4215, -2406
-850, -15872, -4636, -181, -20, -191, 14218, -2992, 6838, 3559, -5231, -1633
-546, -15976, -5004, -245, 94, -70, 15998, -1590, 8234, -28, -7493, -1727
-172, -16150, -4970, 178, 254, -220, 15120, -1244, 2248, -1172, -3011, -2366
-586, -15910, -4232, 592, 348, -85, 14490, -2130, 4528, 3496, -1529, -2407
-1690, -16384, -3872, -342, 396, 193, 16520, -3118, 2860, 4144, -4587, -2591
-2252, -17452, -4884, -1318, 561, -304, 17296, -2186, 1526, 3580, -1712, -2340
-716, -17364, -6004, -623, -12, -824, 17758, -2774, 3394, 3269, -559, -2544
46, -15978, -6594, 893, -314, -571, 16834, -1104, 3562, 2499, 1129, -379
-374, -15760, -5946, 1428, -454, 120, 15860, -642, 3866, 1987, 1404, 232
-1334, -16076, -5488, 1605, -856, 542, 16568, -1318, 4730, -557, 71, 102
-1076, -16080, -5760, 1074, -1262, 293, 15204, -776, 5456, -3667, 1551, 272
-886, -16574, -5636, 716, -1478, 53, 17362, 298, 3880, -6768, 4401, -133
-362, -16338, -6378, 866, -972, 297, 19764, -3118, 3252, -8465, 5778, -1714
-532, -16404, -5976, 2082, -793, -386, 17974, -2926, 4324, -8351, 6303, -1436
-644, -17202, -5272, 1640, -236, -234, 17152, -4228, 4750, -7875, 7038, 500
-1280, -16766, -4598, 1266, 132, -392, 16062, -4910, 6006, -5929, 5140, 2677
-1916, -15930, -4132, 1097, 228, -589, 14124, -4180, 6788, -3938, 2716, 3967
# ---
-2654, -16126, -3454, 883, -242, -832, 14012, -3748, 7800, -2996, 1543, 4421
-2474, -16478, -2524, 348, -673, -978, 13836, -4092, 8284, -2538, 809, 4066
-2536, -16250, -1830, -397, -699, -1236, 13798, -3676, 8502, -1559, 590, 2977
-2222, -16840, -2450, -717, -747, -1414, 14014, -4604, 7382, -1232, 1623, 2735
-1600, -16360, -3002, -852, -700, -1542, 13446, -5298, 7162, 139, 1495, 1432
-1020, -16100, -3392, -919, -215, -1190, 12538, -5206, 6762, 3374, -603, 772
-924, -15984, -3270, -1051, 295, -831, 12532, -5156, 6636, 5380, -2785, 411
-878, -15784, -3532, -915, -6, -713, 13114, -5530, 6760, 5967, -4226, 500
-902, -16176, -4116, 42, -500, -708, 13540, -4252, 7346, 5591, -3699, 1179
-808, -16096, -4110, 477, -433, -448, 13628, -3120, 7066, 5351, -3303, 397
-1074, -16364, -3828, 161, 12, -181, 13550, -2892, 6840, 5581, -3418, -1181
-1524, -16318, -3676, 77, 150, -211, 13760, -3386, 6944, 5677, -4137, -1889
-1338, -16340, -4278, -23, -15, -366, 13822, -3304, 7784, 5575, -4944, -2006
-904, -16194, -4508, 53, -201, -315, 15790, -3088, 8654, 3572, -6511, -1671
-318, -16216, -4782, 188, -50, -144, 18384, -2518, 4070, -5245, -5003, -1505
-278, -15908, -4948, -25, 211, -120, 12636, 62, 3016, -375, 1043, -2235
-1138, -15412, -4336, 100, 414, -276, 13386, -1416, 5212, 3960, -4224, -2154
-1338, -14924, -4216, -666, 584, 91, 17036, -1572, 3750, 2889, -3537, -1274
-662, -16114, -5200, -607, 504, -255, 16884, -1776, 3214, -359, 829, -464
-234, -17998, -6326, 367, 293, -292, 16612, -3974, 3006, -300, 1136, -566
-282, -17704, -6192, 760, 716, 93, 17512, -2870, 3534, 2198, 572, -662
-860, -16300, -5292, 1050, 461, 353, 15590, -1152, 4194, 1451, 1239, 476
-1558, -16056, -4862, 267, -389, 431, 17888, -766, 5400, -844, 1384, 837
-1514, -15670, -5578, -427, -1079, -71, 17238, -1406, 4870, -3683, 3802, 1360
-938, -15600, -6046, 384, -1537, -911, 16322, -2528, 4140, -4747, 5997, -549
46, -15838, -5968, 1996, -1513, -975, 17536, -3526, 5112, -5199, 3673, -2102
-272, -16804, -5500, 2489, -1021, -738, 17000, -4202, 4856, -3480, 2599, -2380
-1636, -18270, -4876, 2043, -979, -392, 16724, -4620, 5898, -2514, 3269, -642
-2322, -17294, -4784, 1213, -1013, -655, 16378, -3772, 7048, -2428, 2111, 823
-2374, -16272, -4098, 803, -772, -597, 14434, -1906, 8098, -4849, 3043, 2817
-2074, -15724, -2838, 711, -920, -596, 13112, -2428, 7404, -6179, 3521, 3775
-1570, -15460, -2430, 82, -1045, -1099, 12854, -3174, 8450, -3863, 1667, 3355
-1460, -15574, -2376, -729, -814, -1262, 13122, -3512, 8726, -1682, 134, 2962
-1454, -16122, -2966, -1216, -633, -962, 14300, -3812, 8430, -975, 640, 2547
-1040, -16390, -3646, -1563, -185, -627, 14034, -4314, 7500, -1215, 1980, 1930
-1214, -16346, -3560, -1782, 479, -606, 13938, -5390, 6532, 1018, 916, 1514
-1236, -16120, -3300, -1844, 1029, -519, 13318, -5116, 6814, 3102, -985, 1661
-1386, -15982, -3372, -2145, 1080, -453, 12878, -5216, 7406, 4093, -2876, 2034
-1178, -16426, -3692, -1982, 955, -273, 13140, -5348, 7056, 4507, -3072, 1421
-996, -16324, -3934, -1109, 460, -213, 13174, -3984, 7030, 5776, -2562, 20
-858, -16268, -4130, -1149, 285, -154, 13130, -3800, 6946, 6110, -2656, -1437
-834, -16056, -4422, -1359, 552, -269, 13296, -3354, 7376, 5805, -3303, -2094
-640, -15896, -4906, -1206, 1206, -278, 12812, -3060, 8314, 5437, -3810, -2066
-318, -15628, -5168, -1317, 1510, -256, 13590, -3160, 7572, 4473, -4096, -1900
-80, -15484, -5158, -869, 1505, -205, 15898, -778, 8256, 2532, -5897, -2299
50, -15690, -5120, -657, 1508, -129, 14620, 590, 5524, 3127, -5595, -2156
-906, -16104, -5208, -904, 1786, -192, 15202, -1704, 3570, 2608, -2399, -1398
-1518, -17272, -5550, -1291, 2072, -235, 18194, -3296, 2562, 3170, -6339, -2001
-1300, -17620, -6048, -207, 1935, -407, 15946, -3262, 2432, 3015, -2613, -1084
-1112, -16320, -5504, 119, 1263, 206, 15522, -2898, 1810, 2841, -1719, -1149
-958, -14882, -5090, 5, 236, 633, 17392, -912, 2790, 3487, -2133, -563
-548, -15796, -6212, 1062, -501, 185, 17672, -1870, 3734, 1460, -1998, 183
-950, -16338, -6790, 2117, -1054, 164, 15630, -1394, 3748, -1086, 677, 511
-1012, -16670, -6490, 2289, -1877, 425, 14498, -1552, 4856, -2115, 1559, -235
-690, -16774, -6380, 2793, -2503, 387, 16048, -1724, 4786, -3838, 2335, -1742
-1180, -15536, -5770, 2881, -2709, -209, 17896, -2278, 4122, -5324, 3753, -1736
-1186, -16310, -5454, 1835, -1854, -625, 17786, -3390, 4346, -5407, 6139, -1786
-978, -16406, -5424, 1373, -759, -1018, 17836, -3306, 4894, -5084, 5749, -1964
-1030, -16626, -5280, 537, -579, -1083, 16526, -4082, 7474, -4475, 4866, -223
-1602, -16666, -4962, 879, -1146, -852, 14690, -3732, 7656, -4721, 4770, 2991
-2402, -16660, -4324, 933, -1628, -1009, 14534, -1896, 7128, -5521, 3742, 4585
-2190, -16338, -3614, 601, -1387, -1323, 13876, -1500, 7932, -5856, 2855, 4516
-1588, -15752, -3066, 86, -1411, -1227, 13730, -2538, 8188, -3735, 2384, 2785
# ---
-1024, -15700, -2810, 34, -1388, -927, 13598, -3220, 8640, -2331, 1779, 1977
-898, -15830, -3128, -310, -870, -950, 12772, -4074, 8582, -1145, 1325, 2423
-986, -16268, -3636, -893, -567, -822, 12816, -4942, 7682, 698, 434, 1926
-1028, -16346, -3738, -1041, -355, -596, 12720, -4786, 7778, 3391, -1196, 1073
-856, -16196, -3836, -1338, -379, -433, 12926, -4380, 7514, 5379, -2659, 621
-450, -15774, -4178, -938, -406, -642, 13178, -4294, 7676, 6087, -3844, 749
-300, -15902, -4118, -21, -100, -922, 14306, -4248, 7954, 4798, -3764, 1113
-828, -16240, -3894, -428, 375, -593, 14070, -3150, 7520, 4152, -3508, 263
-1402, -16750, -4082, -541, 357, -545, 13830, -2608, 7658, 4409, -3507, -1232
-1104, -16598, -4670, -280, 505, -617, 13560, -2380, 7142, 3931, -4022, -1899
-752, -15956, -4616, 185, 846, -420, 13708, -2996, 6216, 4069, -3987, -2368
-674, -16034, -4464, 128, 983, -240, 14998, -2862, 6640, 3512, -3832, -2461
-654, -16032, -4548, -127, 968, -277, 15744, -1698, 6650, 2054, -3640, -2925
-828, -15712, -4844, -134, 1053, -226, 15272, -1980, 5854, 1705, -2799, -3651
-798, -15276, -4762, -646, 1210, 219, 14724, 1044, 5522, 1817, -2355, -1817
