# ===========================================
# timeslice=1, slack=1, packetLoss=0 STREAM
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-5958, 5260, -22822, 15166, -9659, -14309, 16934, -3254, -3518, 629, -692, -3017
-7370, 4430, -22770, 10684, -9406, -14963, 17074, -3046, -3190, 892, -816, -2719
-8576, 3138, -23958, 10539, -9436, -15933, 16988, -2652, -3252, 1020, -793, -2467
-7568, 4394, -23944, 11363, -8101, -14946, 16960, -2364, -3458, 958, -976, -2248
-7842, 4842, -23438, 6947, -7137, -14476, 16858, -2202, -3608, 928, -1048, -2050
-8596, 4630, -24168, 2014, -6578, -15541, 17008, -1890, -3334, 954, -712, -1849
-8182, 6838, -24402, 1135, -4115, -15725, 17186, -2036, -3520, 1008, -706, -1624
-7738, 9356, -23306, 964, -1061, -13494, 17284, -2192, -4060, 1464, -950, -1399
-7308, 11236, -21926, -2027, 1497, -12010, 17048, -2190, -4286, 1608, -824, -1014
-7290, 12948, -20396, -4826, 3484, -10678, 16922, -1822, -3858, 1615, -448, -570
-7878, 14362, -18584, -4708, 3967, -7540, 16890, -1654, -3658, 1384, -371, -254
-7694, 15196, -17100, -3877, 3697, -4006, 16846, -1496, -3716, 722, -281, -16
-7122, 15584, -15784, -3530, 4565, -1094, 16856, -1548, -3550, 243, -159, 145
-7318, 16210, -14288, -4639, 5080, 1857, 16798, -1718, -3574, -112, -2, 225
-7626, 15748, -13128, -7036, 4434, 4972, 16736, -1904, -3746, -465, 43, 298
-7312, 13942, -12672, -7997, 2963, 7583, 16740, -2056, -3732, -551, -3, 358
-7122, 13670, -12644, -7421, 1521, 9935, 16652, -2208, -3612, -497, -76, 355
-7164, 13664, -13266, -9779, -70, 12144, 16782, -2114, -3692, -356, -66, 385
-7556, 13252, -14458, -14832, -1370, 13954, 16850, -2100, -3614, -118, -100, 555
-8274, 12022, -16118, -21258, -2860, 15443, 17022, -2126, -3766, -185, -18, 855
-8918, 11270, -18778, -28056, -5048, 15598, 17056, -1872, -3666, -526, -72, 1215
-8398, 10606, -21556, -31568, -6123, 14756, 16976, -1758, -3622, -1132, -11, 1495
-7418, 10918, -23258, -29827, -7433, 15300, 17080, -1746, -3788, -1633, 125, 1685
-6774, 14718, -22736, -29015, -5196, 15846, 16876, -1894, -3666, -1847, 223, 1836
-6042, 16680, -22538, -30561, -4033, 18251, 16566, -2302, -3890, -1670, 275, 2023
-6194, 16740, -21120, -28419, -932, 18195, 16834, -2902, -3886, -748, 84, 2244
-6632, 17764, -19384, -29861, -361, 20886, 17154, -3658, -3292, 1038, -545, 2239
-4608, 17408, -19702, -32768, -1035, 20560, 17210, -4008, -3534, 2223, -865, 2198
-2992, 16340, -18782, -32768, 2451, 19711, 17344, -3818, -3904, 2702, -897, 2434
-3970, 16728, -15802, -31051, 4002, 21504, 17426, -3530, -4100, 2945, -850, 2789
-3282, 18028, -14270, -32645, 2629, 23499, 17278, -3220, -4060, 3009, -913, 2992
-1164, 16870, -13164, -32768, 3907, 22930, 17098, -2936, -4066, 2554, -710, 3014
-308, 13528, -10874, -32768, 6956, 20901, 16976, -3044, -3828, 2257, -691, 2861
-566, 11796, -7868, -31162, 8366, 20230, 17052, -3346, -3656, 1791, -761, 2825
-798, 13668, -4904, -29136, 8251, 20872, 17096, -3716, -4024, 1307, -529, 2959
282, 12664, -3416, -32768, 8158, 21906, 16942, -3898, -3806, 924, -341, 3080
660, 8858, -2306, -32768, 9173, 20434, 16770, -4076, -3744, 498, -221, 3154
762, 6774, 428, -32086, 8543, 20195, 16792, -4170, -3768, 30, 223, 3050
-54, 7654, 3360, -31030, 6609, 20765, 16530, -4212, -3424, -869, 24, 2712
390, 6634, 4000, -32768, 2532, 22268, 16362, -4506, -4018, -1764, 751, 2355
3070, 1956, 4090, -32768, -1510, 21423, 16214, -4508, -4086, -2435, 969, 1931
2852, -264, 6012, -27574, 644, 21347, 16508, -4834, -2280, -1939, 466, 1119
2376, 2362, 7010, -23550, 1144, 21881, 16358, -4752, -3652, -2651, 642, 908
3736, 1128, 6590, -26465, -1385, 22755, 16162, -5004, -4802, -3172, 566, 1102
3968, -4762, 6638, -23594, 877, 21604, 16320, -4998, -4044, -2529, 741, 1087
3178, -7248, 8084, -13382, 2997, 18922, 16734, -4444, -3440, -2519, 830, 870
2456, -6184, 9852, -6769, 1523, 20014, 15850, -4372, -3750, -3245, 1043, 1031
2872, -6794, 10268, -6473, -138, 19838, 15612, -4976, -2818, -3270, 990, 756
3320, -11252, 11324, -6202, 990, 18464, 16186, -4862, -3362, -3249, 955, 456
3120, -19932, 14162, -1097, 1041, 13349, 16118, -4910, -3686, -3010, 877, 558
3732, -23336, 16338, 6927, -564, 9490, 15292, -5388, -3628, -2764, 948, 607
4864, -22054, 17696, 8968, -3056, 6107, 15330, -5546, -3058, -1494, 468, 350
5488, -23892, 18720, 7391, -2619, 972, 15802, -5556, -3874, -536, 26, 302
5352, -23882, 19104, 8517, -3686, -4471, 15874, -5678, -3504, -21, -157, 341
5040, -20948, 19454, 10474, -3909, -8052, 15946, -5374, -2942, 682, -409, 220
4646, -17438, 19378, 10314, -5287, -11239, 15698, -5480, -3720, 1137, -606, 251
4558, -14728, 18522, 8237, -7566, -13621, 15798, -5434, -3630, 1554, -1030, 249
3890, -12606, 16938, 6805, -9280, -16225, 16128, -5232, -3594, 1737, -1218, 216
3422, -10798, 14254, 6911, -11700, -18426, 16182, -5146, -3412, 1832, -1293, 152
4344, -8408, 11264, 8326, -13430, -20780, 15916, -5116, -3508, 1587, -1124, -2
4580, -6820, 9242, 11492, -11739, -24001, 15988, -5168, -3488, 1397, -1043, -336
3838, -4056, 8214, 16994, -8260, -26644, 16448, -5216, -3872, 1042, -858, -582
3246, 492, 7674, 18235, -3234, -24746, 16752, -5108, -4200, 711, -796, -743
3344, 418, 5972, 20751, -2378, -27157, 16622, -5166, -4020, 865, -580, -978
3266, -292, 2896, 29539, -1433, -30875, 16386, -5100, -4052, 655, -259, -1272
1342, 2986, 154, 32767, -14528, -32451, 16190, -4986, -3628, 328, -164, -1575
2, 8390, -1914, 32767, -17449, -29683, 16070, -4834, -3902, 137, -5, -1861
4, 11568, -5570, 32767, -15949, -29677, 16212, -4880, -3814, 225, -399, -2160
1960, 10698, -8800, 32767, -13942, -27688, 16494, -4620, -3858, -6, -499, -2334
254, 9354, -12058, 32767, -6379, -28109, 16708, -4476, -3876, 104, -607, -2472
-2354, 10744, -14020, 32767, -6438, -24262, 16794, -4334, -3938, -257, -475, -2570
-2662, 12710, -14476, 32767, -7969, -21518, 16698, -4164, -4008, -384, -367, -2532
-3004, 11732, -16178, 32767, -8548, -19392, 16412, -4042, -4010, -800, -343, -2543
-3172, 9934, -18160, 32767, -9942, -16880, 16544, -3862, -3836, -958, -82, -2638
-2032, 8086, -19748, 32767, -8795, -18257, 16766, -3700, -3826, -829, 177, -2763
-2366, 8112, -20128, 32767, -6164, -17784, 17002, -3812, -3704, -636, 47, -2816
-4432, 7256, -19896, 31043, -6037, -15961, 17206, -3924, -3932, -695, 62, -2864
-4892, 6014, -20562, 27131, -7652, -15335, 17262, -3616, -4500, -551, 378, -2729
-3172, 6594, -20970, 24790, -8079, -15606, 17174, -3470, -4080, -280, 457, -2528
-5038, 5330, -21528, 24563, -7397, -18765, 17144, -3278, -4214, -214, 470, -2371
-7238, 5304, -22566, 26391, -8205, -17168, 17242, -3286, -4170, -91, 783, -2207
-6064, 6186, -23178, 24568, -7841, -12323, 17226, -3350, -4492, 142, 518, -2156
-5506, 3926, -23520, 18155, -7276, -11491, 17002, -3092, -3900, -68, 430, -1932
-6576, 2042, -24086, 12498, -5955, -14334, 16716, -2712, -3778, -71, 703, -1771
-5000, 4166, -23940, 11054, -2904, -11868, 16744, -2778, -3776, -57, 611, -1791
-5456, 5652, -22760, 8053, -1595, -9704, 16738, -2754, -3750, 385, 415, -1850
-4932, 6952, -22424, 2996, -1287, -9445, 16648, -2890, -3588, 993, 341, -1836
-4424, 9192, -22222, -957, -580, -9247, 16428, -3006, -3526, 1635, 280, -1800
-4710, 11706, -21464, -3932, -283, -7240, 16530, -2774, -3744, 1958, 224, -1517
-4578, 14046, -20862, -7081, -432, -4622, 16544, -2380, -3390, 2363, -8, -1107
-4722, 14496, -20418, -11521, -283, -2291, 16492, -2096, -3082, 2562, -381, -756
-4958, 15218, -19596, -14163, 102, -688, 16592, -1936, -3086, 2625, -557, -504
-5010, 17058, -19112, -18573, 816, 2100, 16682, -1878, -3104, 2370, -606, -230
-5594, 15684, -19158, -21299, 864, 4760, 16736, -1832, -2804, 1955, -776, -26
-6198, 18852, -18642, -25759, 810, 8844, 16800, -1890, -3128, 1414, -893, 115
-6264, 20950, -19718, -32768, 1695, 14877, 16752, -2002, -2982, 1154, -969, 309
-4944, 19000, -21502, -32768, 3579, 17617, 16654, -1738, -3024, 616, -1019, 569
-6364, 17428, -20396, -32768, 4624, 14797, 16832, -1774, -3556, 76, -961, 1007
-6256, 17006, -17852, -32768, 1886, 15431, 17412, -2176, -3432, -44, -1040, 1429
-4618, 17826, -15568, -32768, 79, 19205, 17472, -2348, -3602, -97, -1013, 1769
-3726, 21556, -13936, -32768, 1642, 22487, 17110, -2362, -3914, -167, -656, 2049
-2988, 21026, -12612, -32768, 5574, 21155, 16996, -2524, -3934, -16, -622, 2125
-3088, 19638, -9848, -32768, 4861, 19345, 17118, -2870, -4088, 198, -806, 2186
-1404, 19256, -8296, -32768, 3200, 20389, 16974, -3108, -4210, 233, -756, 2432
-454, 19342, -6508, -32768, 4292, 20963, 17020, -3162, -3880, 613, -728, 2603
392, 16014, -4720, -32768, 4094, 20840, 16968, -3202, -4228, 666, -831, 2812
972, 15644, -2534, -32768, 3098, 20784, 17116, -3202, -4164, 587, -824, 3133
1534, 15062, -1676, -32768, -1345, 21306, 17170, -3336, -3750, 826, -812, 3265
2282, 12834, -606, -32768, -3150, 23557, 17092, -3434, -4100, 458, -677, 3316
2498, 7414, 2466, -32768, -624, 22907, 16848, -3472, -4172, -205, -647, 3380
2116, 6472, 5106, -32768, 2725, 22373, 16686, -3652, -4642, -308, -463, 3363
1884, 6650, 5648, -32768, 850, 22585, 16712, -4078, -4062, -243, -356, 3286
3070, 1226, 4586, -32768, -204, 21109, 16700, -4252, -3964, -148, -286, 3077
2954, -1496, 4166, -32768, 606, 19492, 16414, -4238, -4752, -1193, -99, 3149
3020, -2116, 4564, -31970, -49, 19897, 16562, -4456, -3756, -857, -136, 2834
2888, -2284, 4938, -29770, -469, 21324, 16638, -4788, -4028, -844, 60, 2494
2818, -4858, 4638, -28489, -375, 20583, 16696, -4626, -4112, -1691, 352, 2398
2004, -8452, 4824, -23403, 150, 18205, 16374, -4756, -4080, -2244, 770, 2271
1486, -8690, 5554, -17935, 58, 19571, 16238, -4968, -3710, -2344, 999, 1881
896, -8312, 4890, -17534, -1230, 20620, 16126, -5066, -4112, -2424, 968, 1505
636, -10756, 3304, -19666, -715, 20803, 15526, -5398, -4058, -2707, 1178, 1306
-1324, -13598, 3280, -18360, 728, 18959, 15688, -5454, -4050, -2536, 938, 912
-2186, -16186, 3244, -16088, 408, 18107, 15912, -5436, -4058, -2207, 845, 727
-2868, -17926, 3606, -14847, -691, 18269, 15844, -5470, -3894, -1994, 671, 744
-3294, -23764, 4006, -12235, -953, 14828, 15842, -5452, -3866, -1731, 545, 673
-3822, -28534, 4944, -4532, -606, 9036, 15860, -5358, -3838, -1541, 555, 559
-3774, -30260, 5604, 2741, -2720, 2529, 15842, -5326, -3640, -1300, 669, 391
-3554, -30128, 6798, 9711, -4941, -3733, 15516, -5386, -3804, -999, 816, 134
-3072, -28110, 7286, 14096, -7081, -8070, 15620, -5740, -3806, -495, 878, -315
-3110, -27196, 8162, 16600, -8409, -12658, 15734, -5774, -3910, 12, 651, -584
-3780, -27186, 9140, 22294, -9164, -17873, 16128, -5684, -3802, 581, 168, -652
-3386, -26942, 9086, 32617, -12381, -23843, 16056, -5592, -3796, 1150, -144, -777
-3440, -23038, 8086, 32767, -15856, -29683, 16038, -5382, -3748, 1538, -150, -977
-2768, -14848, 6288, 32767, -19572, -31937, 16210, -5298, -3426, 1918, -362, -1317
-558, -9730, 3960, 32767, -21655, -31667, 16198, -5234, -3334, 2217, -400, -1647
1166, -7800, 1964, 32767, -18683, -32264, 16164, -4962, -3872, 2125, -301, -1797
1966, -3920, 596, 32767, -13843, -29044, 16112, -4878, -4162, 2038, -382, -1874
2648, -776, -252, 32767, -11825, -26405, 16092, -5102, -3696, 2380, -902, -2030
2978, 1498, -1424, 32767, -16554, -25617, 16034, -5122, -3448, 2532, -1062, -1989
2930, 8478, -2798, 32767, -26199, -18859, 16058, -5032, -3856, 2459, -993, -1804
5396, 5392, -6948, 32767, -20183, -20452, 16360, -4652, -4088, 2047, -966, -1938
5728, 2420, -10320, 32767, -13020, -24159, 16636, -4088, -4148, 1679, -796, -2108
1794, 10914, -8856, 32767, -11862, -18645, 17134, -3968, -3750, 1443, -673, -2352
2308, 15566, -8186, 32767, -15609, -12053, 17062, -4068, -4112, 995, -314, -2474
4006, 4464, -13218, 32767, -15583, -14702, 16744, -3754, -4130, 506, 217, -2447
3208, 5810, -15502, 32767, -13754, -12643, 16602, -3562, -3560, 246, 222, -2571
3502, 11436, -15774, 32767, -14207, -7921, 16776, -3638, -4266, -522, 328, -2660
3630, 5802, -17968, 32767, -13304, -9256, 16832, -3458, -3674, -575, 697, -2958
2666, 2598, -19408, 32767, -11654, -12551, 16898, -3374, -3602, -834, 923, -3216
1216, 5524, -19792, 32767, -10544, -10579, 16998, -3466, -3600, -1038, 708, -3181
492, 4520, -21570, 32767, -10839, -9885, 16868, -3460, -3726, -1106, 723, -3049
582, 1968, -23784, 32767, -11353, -9432, 16752, -3320, -3272, -910, 794, -2992
130, 2474, -24022, 32767, -8880, -7916, 16748, -3012, -3378, -975, 755, -3158
1276, -76, -23418, 29865, -6930, -7407, 16706, -2802, -2798, -741, 489, -3324
-196, -1490, -22172, 25621, -5481, -8387, 16658, -2428, -3066, -704, 422, -3282
-324, -3058, -21322, 21304, -6298, -6057, 16872, -2122, -3010, -626, 519, -3062
-44, -3726, -20952, 19382, -6607, -6002, 17042, -1920, -3076, -802, 212, -2784
-998, -3286, -21068, 19403, -7990, -4306, 17268, -2008, -2948, -916, -21, -2384
-310, -2802, -22570, 16652, -8006, -3833, 17580, -2022, -3020, -617, 67, -2011
150, -4046, -23312, 13939, -6453, -4293, 17564, -1890, -3254, -631, 103, -1669
1102, -3652, -23504, 10941, -5473, -5054, 17328, -1816, -3528, -478, 6, -1523
524, -2124, -23374, 6870, -3954, -5594, 16906, -1854, -3656, -221, -19, -1413
1434, -986, -23984, 3505, -2664, -4582, 16786, -1862, -3504, 256, -58, -1251
1160, 1534, -22840, -409, -581, -4008, 16946, -1804, -3506, 811, -40, -1073
954, 1476, -22348, -4975, -172, -3004, 17066, -1622, -3204, 1325, -8, -842
400, 2464, -21890, -5718, -782, -1728, 16954, -1234, -3230, 1463, -5, -365
-342, 5456, -22040, -8575, -1897, 240, 16886, -1312, -3234, 1434, -23, 249
-1058, 8162, -22102, -17761, -3259, 1938, 17036, -1464, -3278, 1333, -36, 716
-254, 9232, -23182, -30510, -2605, 3417, 16970, -1346, -2984, 1158, -172, 999
-878, 9780, -23692, -32768, -850, 4139, 16798, -1510, -2920, 1020, -309, 1107
-1512, 7584, -23720, -32768, -696, 6426, 16746, -1654, -3038, 953, -412, 1144
-2196, 9186, -22832, -32768, -1321, 8094, 16706, -1500, -3014, 968, -561, 1280
-2172, 14516, -22648, -32768, -987, 9055, 16624, -1646, -3164, 1058, -656, 1604
-1122, 15646, -23762, -32768, -163, 13590, 16412, -1734, -3098, 1227, -788, 1950
-2216, 14968, -21124, -32768, 1837, 16565, 16152, -1666, -3302, 864, -704, 2170
-2176, 15830, -17270, -32768, 1195, 17822, 16256, -2094, -2588, 956, -1062, 1983
-1262, 17310, -15260, -32768, 109, 16412, 17432, -2312, -2580, 454, -1195, 1404
68, 17626, -13680, -32768, 2913, 16751, 18464, -2446, -3592, -19, -956, 1530
-564, 18096, -11252, -32768, 3490, 15957, 18126, -2764, -3632, 109, -985, 1841
406, 20124, -10174, -32768, 3040, 17203, 17730, -2760, -3636, 212, -1302, 1913
2058, 18480, -9162, -32768, 4669, 16058, 17362, -2600, -3906, -54, -1007, 2269
1296, 16144, -5844, -32768, 6213, 13992, 16978, -2618, -3254, -32, -1043, 2402
2788, 14856, -3984, -32768, 2425, 14348, 16926, -2676, -3754, -723, -610, 2745
2722, 12736, -666, -32768, 1595, 13620, 17256, -2878, -3738, -936, -844, 2661
3240, 12314, 1096, -32768, -152, 13245, 17246, -3022, -3994, -1335, -700, 2550
3988, 10522, 2554, -32768, -4431, 14428, 16918, -3252, -4314, -1631, -390, 2641
5592, 7650, 3620, -32768, -3198, 13906, 17028, -3378, -4036, -1360, -286, 2453
5708, 6766, 4366, -30234, 1374, 13602, 17002, -3594, -3906, -1695, -79, 2622
5590, 8034, 6094, -29382, 1894, 14440, 16880, -3914, -3680, -1792, 114, 2946
6102, 5750, 5900, -32768, 643, 14688, 16922, -3806, -4046, -1857, 403, 2983
6486, 2122, 6398, -31037, 2202, 13733, 16768, -3778, -3598, -1812, 394, 3000
6672, 1098, 7796, -25473, 2327, 13816, 16472, -4014, -3586, -2119, 645, 3075
5784, 2642, 8924, -22850, 721, 14837, 16548, -4090, -3876, -2308, 725, 3025
7260, 1310, 7498, -24792, 239, 15606, 16658, -4110, -3596, -2114, 482, 2820
6784, -1942, 8170, -23496, 2542, 15750, 16634, -4388, -3770, -2569, 627, 2904
5720, -3118, 8816, -20372, 2920, 15546, 16580, -4580, -3628, -2520, 888, 2857
5820, -2984, 8738, -20689, 1311, 16743, 16356, -4720, -3328, -2219, 755, 2780
5562, -2750, 7538, -24534, 1117, 17895, 16102, -4922, -3616, -2291, 710, 2796
4806, -6500, 5792, -25520, 3027, 17492, 15916, -5046, -3738, -2253, 805, 2831
2766, -6572, 6360, -23369, 4383, 18176, 15860, -5222, -3782, -1883, 650, 2730
1638, -6648, 6194, -28116, 1962, 20254, 15928, -5334, -3546, -1712, 340, 2640
944, -11886, 4770, -27373, 2670, 19855, 15744, -5348, -3616, -1642, 40, 2734
-974, -11486, 4756, -22335, 2994, 19801, 15656, -5502, -3530, -1326, -9, 2650
-1082, -12294, 3598, -24374, -510, 21055, 15792, -5768, -3482, -1123, -185, 2477
-2442, -15902, 2934, -22844, -102, 19983, 15870, -5676, -3640, -1003, -300, 2383
-1806, -16572, 898, -19725, -125, 17375, 15736, -6000, -3554, -671, -379, 2286
-3454, -15800, 1198, -17009, -339, 17446, 15576, -6196, -3364, -285, -406, 2140
-3400, -15930, 34, -16585, -1372, 16761, 15772, -6450, -3722, 69, -633, 2003
-4298, -17294, 12, -17262, -1271, 16483, 15612, -6488, -3890, 502, -691, 1835
-5352, -22068, 936, -13000, -1112, 13173, 15578, -6546, -3812, 607, -580, 1729
-6246, -23778, 1896, -6538, -1663, 11756, 15648, -6464, -3926, 836, -657, 1525
-6004, -26384, 1984, -4255, -4040, 7891, 15770, -6302, -3964, 943, -577, 1202
-6490, -31024, 3722, 989, -5468, -599, 15674, -6194, -3932, 1017, -231, 753
-7316, -32768, 4586, 6795, -6285, -4931, 15348, -6304, -4112, 1030, 136, 241
-7582, -32768, 4842, 12880, -8980, -8516, 15356, -6384, -4162, 1036, 371, -229
-7566, -29060, 4892, 15037, -10341, -12698, 15568, -6512, -4110, 1066, 624, -588
-7620, -26388, 5222, 12576, -10755, -15177, 15422, -6560, -4076, 1422, 351, -902
-6604, -25960, 4292, 11531, -9768, -18188, 15182, -6692, -3816, 1566, -186, -1107
-6102, -25810, 3836, 16855, -7074, -21233, 15720, -6558, -3562, 1353, -382, -1219
-6082, -21228, 3904, 24769, -7327, -23006, 16328, -6440, -3284, 1416, -453, -1183
-4910, -18918, 4060, 21663, -10859, -23946, 16036, -6296, -3244, 1682, -659, -1156
-4226, -21982, 4140, 23883, -9076, -26706, 15832, -5956, -3438, 1920, -829, -1219
-4884, -22254, 3596, 32767, -5499, -30793, 15918, -5782, -3104, 1952, -912, -1373
-5148, -17310, 2946, 32767, -4713, -31425, 15848, -5680, -2732, 1534, -715, -1622
-4554, -10874, 2044, 32767, -9519, -29114, 15850, -5620, -3130, 941, -398, -1887
-1870, -8254, 442, 32767, -25675, -28497, 15726, -5754, -3040, 545, -251, -2175
140, -6526, 1586, 32767, -21664, -25800, 15616, -5738, -3310, -10, -422, -2435
560, -5828, 1908, 32767, -19984, -26463, 15708, -5656, -3786, -652, -292, -2552
3362, -3396, 1128, 32767, -21076, -24636, 16150, -5494, -3692, -987, -254, -2727
