# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-12602,956,7990,3039,-892,-3723,16310,-720,-1680,-727,-1033,24
-13208,580,7940,2515,-703,-3040,17068,-636,-1702,-440,-1086,65
-13736,300,7956,1270,-678,-2477,17182,-710,-1772,-232,-1209,177
-13856,128,8106,-252,-756,-1826,17000,-424,-1884,-85,-1384,288
-13848,-170,8380,-1294,-609,-1088,17138,-94,-1434,-19,-1429,410
-13742,-526,8664,-1611,-453,-499,17022,-186,-1634,-98,-1577,452
-13650,-870,9138,-1561,-318,-11,16656,-158,-2076,-87,-1765,460
-13622,-1296,9574,-1487,-477,501,16496,-50,-2464,-186,-1939,493
-13210,-1646,9388,-1013,-802,787,16748,-334,-2368,-335,-1887,513
-12590,-1818,8852,106,-767,856,16998,-456,-2016,-356,-1374,402
-11990,-1666,8216,1018,-292,927,16350,-446,-1552,-240,-691,190
-11780,-1782,7774,1156,148,1266,15840,-602,-1040,-78,-290,-72
-12042,-2548,7778,906,225,1489,17002,-814,-868,-31,85,-300
-12738,-3374,8012,584,151,1271,18274,-472,-910,-110,646,-385
-14092,-3990,8444,-29,-4,536,19862,456,-1578,-304,1286,-398
-15150,-3366,8604,-1281,-324,-348,18778,1202,-2736,279,1818,-801
-14278,-1252,7780,-2685,-203,-179,15526,1706,-2286,1103,2377,-1489
-13072,334,7466,-3161,724,1074,14646,2280,-792,939,2716,-1674
-13136,-408,8018,-1814,1370,2838,16494,2080,52,20,2457,-1244
-13960,-2070,9032,22,785,3396,17900,1790,-1248,-737,1197,-887
-14940,-2856,9810,-110,-397,2063,17550,2190,-2384,-933,64,-733
-15388,-2802,9856,-386,-1219,-384,18212,1938,-2908,-1138,-1014,-314
-15250,-2020,9196,1968,-944,-2179,18980,1284,-3168,-1199,-1459,274
-14888,-654,8216,4734,452,-2829,17994,798,-2864,-884,-1289,613
-14512,526,7478,5098,1656,-1866,16810,1174,-2572,-565,-1082,430
-14348,850,7392,3329,1713,-499,16836,1802,-2298,-476,-1085,57
-14154,522,7520,1163,705,647,17578,1862,-2268,-384,-1062,-182
-13724,-290,7790,-208,-6,1082,18098,1920,-2150,-260,-894,-321
-13562,-910,8226,-394,6,348,18278,2154,-2206,-309,-715,-288
-13870,-772,8538,141,-147,-762,17904,2428,-2244,-446,-702,-149
-14014,-404,8560,712,-616,-1311,17116,2698,-2364,-737,-984,13
-14118,-242,8388,1278,-868,-1584,16380,2832,-2652,-1133,-1353,49
-14224,-68,8172,2090,-799,-1685,16212,2496,-2826,-1501,-1648,80
-14110,90,7834,2911,-686,-1469,16248,1866,-2648,-1808,-1797,243
-13760,272,7372,3271,-474,-1053,15646,1792,-2398,-1896,-1854,373
-13284,156,7124,3051,-289,-413,15252,2266,-2276,-1955,-2093,447
-13046,-366,7354,2565,-339,-21,14796,1914,-2448,-1937,-2690,420
-13014,-950,7536,2138,-747,52,15442,1244,-2214,-1744,-3489,384
-13456,-1934,7790,2182,-1333,-95,18166,848,-1732,-1608,-4059,765
-14208,-3094,8194,2216,-1686,-651,20684,-208,-1802,-1374,-3978,943
-14562,-3400,8274,1663,-1795,-1462,19782,-632,-1756,-583,-3182,720
-14148,-2408,7834,530,-1820,-1942,17020,68,-1332,69,-2478,674
-13408,-1452,7250,-217,-1398,-1285,15812,306,-540,-24,-2297,535
-13120,-1692,7326,-232,-666,31,17206,-116,-140,-518,-2049,338
-13584,-2828,8398,-379,-278,871,18994,-404,-268,-688,-1386,144
-14366,-3988,9320,-965,-651,1361,19390,-544,-744,-566,-879,52
-14442,-4708,9532,-1313,-1227,873,19024,-840,-1110,-334,-477,-62
-14048,-4646,8956,-439,-1187,-196,18448,-504,-1174,-108,-264,-195
-13650,-4204,8386,1023,-164,-750,18012,-20,-1192,-94,-159,-326
-13366,-3418,8204,1257,816,-644,16990,132,-1408,65,-220,-514
-12812,-2942,8270,74,795,39,16326,142,-1356,102,-126,-677
-12076,-3044,8368,-604,601,432,16270,-116,-1142,18,-133,-682
-11890,-3056,8670,-268,681,210,16188,-440,-1242,102,-123,-702
-11904,-2986,8848,572,679,-208,16042,-504,-1398,370,-196,-746
-12178,-2500,8976,1131,585,-728,16014,-502,-1620,732,-295,-813
-12348,-2048,8740,1487,472,-822,16324,-414,-1676,958,-218,-770
-12404,-1704,8328,1781,555,-665,16388,-292,-1418,1291,-99,-802
-12512,-1374,8064,1487,567,-292,16258,-404,-1108,1593,-83,-926
-12586,-1144,7934,286,300,268,16082,-628,-1028,1893,-255,-1049
-12762,-1182,7952,-1168,-72,882,15916,-702,-1064,2227,-563,-1017
-12870,-1414,8102,-2029,-178,1360,15916,-794,-1312,2524,-1075,-839
-13420,-1980,8578,-1981,-85,1537,17028,-714,-1674,2864,-1528,-656
-14438,-3054,9172,-1616,-25,1403,18838,-158,-2674,3673,-1423,-592
-15062,-3482,9220,-1635,-83,1069,19696,684,-2540,4814,-872,-678
-14856,-3160,8394,-2109,-270,1183,19442,1252,-1640,5875,-91,-747
-14432,-3262,7564,-2905,-354,1487,19072,1508,-670,6310,794,-703
-14360,-3708,7278,-3626,-470,1552,19528,1508,232,6085,1620,-482
-14770,-3820,7350,-5073,-970,1615,19152,2054,620,5728,2479,-125
-15150,-3998,7634,-6901,-1645,1974,18230,2384,720,5261,2943,112
-14842,-4560,7608,-6646,-1565,2193,17468,2162,992,4766,3112,179
-14478,-4878,7432,-4300,-699,2041,16836,1954,1338,4485,3139,233
-14344,-4846,7074,-2429,-159,2100,16550,1960,1620,4295,3027,155
-13998,-5112,6718,-2123,-329,2447,16056,1998,1698,4233,2767,-74
-13388,-5704,6288,-1793,-552,2515,15744,2218,2024,4111,2433,-294
-12828,-5924,5644,-976,-443,2079,15632,2424,2442,3754,1976,-330
-12524,-5914,5360,-356,-70,1592,15622,2342,2524,3315,1482,-356
-12720,-5794,5350,-447,172,1085,15354,2156,2400,2973,1031,-443
-13006,-5688,5498,-1145,41,718,15512,2064,2308,2674,681,-488
-13148,-5770,5526,-1432,-224,510,15922,2080,2550,2369,425,-455
-13262,-5660,5432,-1212,-193,208,15996,2242,2822,2099,264,-362
