# ===========================================
# timeslice=1, slack=1, packetLoss=0 STREAM
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-13750, -28, 2914, -8978, -177, -2198, 15428, -5652, -914, -1492, -1482, 824
-14226, -436, 3340, -9726, 285, -1901, 15548, -5752, -364, -1358, -1330, 697
-15056, -1078, 3636, -9532, 489, -1450, 15442, -5778, -134, -1018, -1152, 579
-15522, -1304, 3896, -8664, 217, -1017, 15508, -5680, -608, -725, -842, 522
-15360, -1056, 3892, -7740, -170, -426, 15732, -5430, -576, -747, -354, 651
-14568, -728, 3954, -7004, -373, 469, 15308, -5068, -444, -632, 173, 796
-13518, -752, 4070, -6078, -317, 1634, 14032, -4886, -1054, -244, 403, 916
-12868, -1248, 4162, -4472, -334, 2802, 12562, -4920, -1948, 712, 496, 805
-12016, -1664, 3992, -1807, -587, 3904, 12748, -4928, -2612, 2024, 872, 513
-11840, -1816, 3454, 516, -709, 4637, 15230, -4226, -1938, 3687, 2353, -174
-12512, -2768, 2934, 2550, 237, 4198, 18740, -3302, -1236, 4626, 4329, -802
-13236, -3264, 2948, 5172, 3202, 1947, 20480, -2644, -1110, 4572, 4449, -1336
-14956, -2774, 3730, 7334, 7063, -2292, 20434, -2546, -3426, 3839, 3404, -1176
-16974, -1464, 4450, 9356, 9476, -7119, 18616, -3210, -5332, 2401, 1692, -734
-19182, 1380, 5304, 10197, 9422, -10690, 18372, -4098, -7156, 1556, -813, -226
-21162, 4448, 5948, 7266, 6546, -12787, 20088, -4946, -7850, 2142, -3358, 296
-22590, 6056, 6162, 1083, 2339, -13262, 22304, -5750, -5742, 3572, -2853, 750
-22250, 6194, 5582, -5103, -1915, -12435, 22254, -5380, -3922, 4490, -1476, 1224
-21060, 6470, 5304, -10487, -6216, -10714, 19468, -5916, -3370, 3238, -1359, 127
-19264, 6136, 6028, -15195, -8788, -8994, 18126, -3410, -4270, 2636, -2, 2231
-17138, 4896, 7198, -17954, -8209, -8585, 16024, -3032, -3820, 2304, 155, 2588
-15664, 3026, 8220, -16686, -2999, -6859, 14346, -2946, -3430, 2629, -128, 3093
-14540, 1426, 8400, -12129, 1018, -4991, 13744, -3000, -3372, 2159, -602, 2936
-14136, 340, 8056, -5320, 1670, -2681, 13504, -2988, -3120, 1440, -896, 2663
-13920, -186, 7306, 1740, 624, -5, 13654, -2862, -3170, 1327, -822, 2534
-14260, -510, 6430, 7169, -1171, 1932, 14254, -3040, -3280, 1169, -867, 2647
-16076, -1288, 5408, 10538, -1943, 2756, 16590, -5424, -3562, 301, -963, 3148
-17650, -1990, 3908, 12934, -1933, 2629, 19686, -7084, -3252, 1969, -972, 3926
-17402, -1696, 2892, 13557, -5552, 2836, 19380, -6836, -1776, 3032, -789, 5609
-17952, -1850, 2408, 12826, -5642, 1772, 18802, -6544, -920, 3770, -977, 6391
-19194, -1390, 2098, 10425, -4225, 136, 18684, -8448, -68, 4242, -3223, 5046
-17796, 460, 2596, 4852, -2346, -1283, 18284, -9232, 2176, 2269, -3819, 3615
-15182, 2376, 3574, -4405, 473, -2183, 17404, -8374, 3192, 1102, -2953, 2381
-14220, 1594, 4360, -12974, 1355, -1980, 16266, -6998, 3136, 472, -463, 1588
-14760, -1548, 5422, -16850, -385, -1242, 15638, -6278, 3052, -623, 246, 158
-16180, -5508, 6338, -14264, 1688, 1492, 15784, -6546, 2230, -1669, 212, -858
-17572, -8358, 5360, -6249, 3029, 3785, 15330, -7484, 1592, -1851, -143, -1175
-16746, -8942, 3808, 4275, -5462, 4967, 14536, -7352, 658, -2137, -846, -1190
-15090, -7052, 2792, 14994, -6966, 7675, 13824, -6870, 52, -2770, -1435, -1121
-13084, -4272, 2370, 18694, -6021, 7682, 13092, -6610, -342, -3147, -2077, -1257
-11058, -2976, 2432, 18410, -3609, 7514, 12484, -6402, -1336, -3472, -2512, -1436
-10122, -2140, 2860, 15743, -1054, 6631, 12382, -6552, -2116, -3107, -2584, -1513
-10130, -1690, 3416, 10655, 189, 4537, 12700, -6898, -2340, -1968, -2504, -1454
-10932, -1300, 4084, 5201, 291, 2537, 13008, -7238, -2280, -352, -2341, -1417
-11668, -1128, 4342, -535, 40, 580, 13220, -7688, -2602, 941, -2090, -1352
-12104, -912, 4282, -5067, -426, -985, 13250, -7904, -2602, 2200, -2130, -1351
-12280, -812, 4084, -8150, -702, -2251, 13354, -7754, -3288, 3192, -2239, -1260
-12344, -872, 4066, -9481, -57, -3369, 13752, -7704, -3490, 4108, -2653, -1239
-12314, -914, 4440, -9308, 1407, -4085, 13988, -7488, -3642, 4474, -3047, -1272
-12496, -982, 4990, -8368, 3060, -4505, 13994, -6796, -4106, 4483, -2919, -1489
-13014, -1036, 5598, -7156, 3719, -4797, 14442, -6244, -4222, 4986, -3129, -1825
-13822, -1306, 6318, -5371, 3337, -4663, 15270, -6272, -4672, 5178, -3307, -2026
-14618, -1534, 7020, -3214, 3884, -4376, 15928, -6310, -4812, 5011, -3208, -2094
-15426, -1488, 7216, -1095, 5022, -4095, 16612, -5926, -4358, 3988, -2803, -2111
-16144, -1180, 6970, 243, 4115, -4153, 17322, -5228, -4370, 2732, -2168, -2227
-16602, -686, 6610, 802, 2003, -4379, 17636, -4394, -4700, 2032, -1414, -2499
-16486, -146, 6318, 712, 1197, -4460, 17358, -4258, -4806, 2046, -1633, -3266
-16796, -312, 6074, 942, 1093, -4029, 16206, -4916, -5344, 1802, -2049, -3724
-18862, -1532, 5582, 2318, 884, -3051, 17960, -6564, -5190, -105, -2325, -3423
-21682, -2522, 4720, 5230, 1087, -1252, 21614, -6216, -4040, -3858, -2115, -2489
-22744, -2408, 4380, 6582, 378, -564, 23602, -5776, -2032, -6134, -3371, -3032
-22954, -1332, 4216, 6061, 1834, -891, 24186, -5296, -1248, -5036, -1416, -2098
-20718, 630, 4318, 3826, 2340, -855, 20904, -5846, 26, -2686, 42, -2161
-18114, 1670, 4524, 749, 2445, 823, 17244, -6810, 60, -167, -1299, -2729
-16774, 950, 4476, -1496, 987, 4370, 15848, -7968, 486, 2195, -1206, -1895
-16174, -1092, 4332, -1725, -1127, 8384, 15798, -7862, 2212, 4091, -659, -883
-15808, -3420, 4088, -258, -1292, 10666, 16610, -5328, 2996, 5672, 952, -307
-15646, -4344, 3462, 1610, -1999, 11265, 17170, -3744, 2518, 6058, 1877, -207
-15694, -3736, 2988, 1537, -2600, 9215, 16612, -3638, 1856, 6479, 1098, -567
-15888, -2616, 2360, -1443, -3098, 4893, 15770, -3828, 716, 6724, 193, -750
-15528, -1798, 1640, -4567, -3620, 2097, 15354, -3636, 328, 6785, -278, -984
-14502, -1676, 1008, -6240, -4034, 1741, 15318, -3276, 618, 6105, 68, -1011
-13548, -2116, 474, -5876, -3994, 3076, 15242, -3028, 1274, 5243, 475, -1246
-13398, -2776, 202, -3852, -3308, 4974, 14728, -2470, 936, 4334, 532, -1702
-14050, -3606, 126, -1188, -2145, 6258, 14942, -1800, 1054, 3180, 994, -2273
-15304, -4140, 116, 1276, -888, 6556, 16766, -1314, 1504, 1435, 767, -2692
-16548, -4024, 158, 2689, -163, 5953, 17906, -906, 1568, 977, 63, -3281
-16892, -3292, 284, 2685, 145, 4874, 17130, -1278, 1106, 536, -406, -3190
-16724, -2810, 678, 1426, 520, 3816, 16050, -1776, 1160, -373, -682, -2937
-15856, -3190, 952, 1174, 855, 3291, 15746, -1610, 686, -1353, -929, -2796
-14894, -3302, 1554, 2996, 1304, 3034, 15764, -1148, 298, -2199, -870, -2608
-14332, -3490, 2168, 5485, 2114, 2636, 15812, -688, 276, -3232, -597, -2428
-13826, -3822, 1806, 9664, 1654, 2033, 15850, -526, 514, -4252, -382, -2195
-13760, -2532, 1682, 13127, 1110, 1547, 15930, -230, 806, -5234, -249, -1840
-14488, -846, 1916, 12555, 840, 597, 16180, 36, 1194, -5941, -200, -1532
-15508, -136, 2050, 8662, 661, -832, 16530, -410, 668, -6828, -385, -1097
-17552, -742, 2016, 4338, 268, -2462, 17912, -2370, -546, -7681, -767, -490
-19312, -1206, 1626, 1241, -487, -3895, 19832, -4786, -1338, -7180, -1346, -58
-19880, -994, 1398, -1310, -337, -5133, 20914, -6554, -1662, -5241, -1491, 814
-19546, -512, 1298, -3645, 782, -5794, 20330, -7074, -2170, -2797, -1004, 2005
-18132, 84, 1508, -5586, 2544, -5763, 18644, -6394, -1936, -182, -225, 2488
-15926, 700, 2270, -7667, 4761, -5095, 16716, -5068, -1082, 2523, 233, 2570
-14166, 750, 3476, -10074, 6801, -4457, 15322, -3510, -396, 4023, 504, 1955
-13350, -188, 4730, -11775, 8243, -4086, 14730, -2316, 146, 4552, 903, 979
-13506, -2218, 5772, -11169, 7882, -4290, 15416, -1556, 544, 3974, 1368, -121
-14830, -4044, 6332, -7372, 6010, -4897, 16576, -1154, 1480, 3045, 1355, -843
-16336, -4344, 6294, -2322, 2722, -5601, 16546, -940, 1794, 1915, 1513, -876
-17652, -3512, 5592, 1789, -936, -6199, 16202, -762, 1328, 540, 523, -680
-18832, -3006, 4016, 4659, -4279, -6279, 17136, -1418, 892, -97, -403, -601
-19136, -2724, 2228, 7510, -6912, -5664, 17410, -1982, 1112, -590, -997, -516
-18328, -2550, 1008, 10290, -8113, -4124, 17158, -1894, 1052, -1148, -1260, -338
-17010, -2434, 278, 13002, -7169, -2130, 16764, -1686, 632, -1830, -1656, -3
-15624, -1932, 2, 14481, -4740, -963, 16344, -1764, 394, -2398, -2008, 277
-14894, -1504, -10, 14050, -2034, -660, 16198, -1986, 420, -2547, -2237, 451
-14678, -1132, 226, 11930, -241, -722, 16272, -2140, 426, -2643, -2247, 597
-15086, -788, 616, 8353, 163, -873, 16434, -2258, 368, -2597, -2215, 705
-15516, -910, 862, 3963, -626, -917, 16596, -2298, 74, -2486, -2112, 766
-15690, -1414, 878, 93, -1803, -1178, 16532, -2496, -248, -2217, -1966, 842
-15268, -2100, 712, -1861, -2727, -1703, 16462, -2820, -246, -1652, -2099, 920
-14620, -2318, 428, -1662, -2800, -2018, 16034, -2992, -74, -936, -2023, 927
-14002, -2346, 324, -481, -2142, -2151, 15684, -2944, 194, -570, -1683, 907
-13756, -2022, 448, 761, -972, -2269, 15696, -2582, -84, -256, -1425, 813
-14248, -1660, 690, 871, 0, -2575, 16248, -2862, -178, 323, -1039, 766
-14560, -1230, 1012, 56, 322, -2593, 16552, -3208, 282, 1113, -560, 841
-14778, -1056, 1282, -1367, 180, -2371, 16228, -3158, 192, 2099, -114, 1034
-14586, -1198, 1542, -2659, 36, -2006, 16052, -3488, 418, 3094, 557, 1525
-14916, -1586, 1882, -3096, 107, -1514, 16798, -3986, 392, 4915, 651, 1539
-16254, -1864, 2086, -2967, 152, -927, 18492, -4500, 34, 6789, 998, 1614
-18222, -1812, 2478, -3739, 380, -471, 20538, -5706, -278, 7393, 2436, 2182
-19642, -1378, 2928, -5842, 570, -390, 22430, -6188, -1532, 6315, 4248, 3345
-20212, -672, 3236, -9187, 599, -569, 22784, -5402, -2538, 5568, 5659, 4289
-18918, 122, 3554, -13248, 771, -401, 20032, -4070, -2968, 6527, 6228, 3870
-17114, 94, 3992, -17236, 1348, 62, 16938, -4992, -4112, 5524, 5109, 1773
-18030, -1702, 4394, -19345, 2521, 641, 19198, -8008, -4670, 1622, 4198, 769
-21254, -3796, 4688, -18072, 3017, 1609, 24284, -8218, -3650, -2575, 4733, 233
-21154, -4426, 5574, -15670, 3508, 2178, 23550, -4604, -2084, -3072, 5004, 113
-18052, -4416, 6754, -13780, 5301, 1444, 18676, -3858, -928, -3822, 6936, 680
-15516, -4974, 7234, -9740, 6281, -24, 15928, -3864, -1814, -6381, 6172, -359
-14420, -5130, 7264, -2681, 5319, -434, 13982, -3906, -2042, -7496, 4912, -1519
-13966, -4204, 7004, 4840, 3038, 1003, 12998, -4588, -376, -7382, 3956, -2133
-13154, -2834, 6478, 10039, 989, 3431, 11856, -4854, -918, -7360, 2452, -1852
-12720, -2114, 5646, 12202, -288, 4728, 11000, -4904, -1670, -7095, 1988, -1474
-12480, -1732, 4608, 12795, -2638, 4901, 10952, -5708, -2008, -5869, 1406, -1519
-12664, -1524, 3352, 12613, -4012, 4583, 11896, -6452, -1388, -4334, 608, -1730
-12806, -1270, 2202, 11823, -5077, 4238, 13140, -6754, -1344, -2972, -160, -2107
-13010, -1072, 1598, 10396, -4601, 3487, 14690, -6500, -806, -1740, -516, -1975
-13260, -718, 1432, 7883, -2578, 1897, 15656, -5924, -182, -548, -1324, -2030
-13408, -56, 1556, 3758, 176, -656, 15628, -5472, -520, 352, -2233, -2067
-13882, 506, 1994, -1642, 2739, -3439, 15828, -5380, -654, 372, -2706, -1960
-14432, 578, 2488, -6665, 4250, -5195, 16088, -4852, -538, 89, -2925, -1752
-14720, 508, 3100, -10234, 4839, -6115, 16392, -4076, -620, -193, -2649, -1661
-15022, 390, 3674, -12281, 4894, -6274, 16514, -3568, -380, -424, -2051, -1609
-15182, 304, 4232, -13270, 4318, -5682, 15998, -3394, -222, -405, -1295, -1477
-15204, -10, 4562, -13050, 2983, -4401, 14814, -3680, -726, -580, -705, -748
-15464, -640, 4580, -10929, 1036, -2253, 13724, -4080, -2058, -739, -426, 110
-16246, -1568, 4118, -7095, -1342, 580, 14754, -4494, -3536, -385, 220, 692
-18112, -2742, 3256, -2304, -3212, 3775, 19546, -3576, -4086, 587, 1544, 486
-18516, -3094, 2962, 1287, -3384, 5774, 23510, -1518, -1018, 1645, 4372, 37
-17078, -2886, 3206, 2645, -1333, 5704, 22066, -162, 272, 1556, 5799, -59
-16070, -3102, 3318, 2837, 1127, 2912, 19610, -138, -2388, -452, 5023, -232
