# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-17318,-1410,9202,-1623,3234,-2653,21414,-3232,1756,1919,-1614,1122
-8396,1408,7584,-6922,4932,-4744,15332,-2508,2086,1337,-2708,3327
994,2574,5242,-10263,5382,-5657,8842,-1200,1522,529,-2951,3685
4932,698,3996,-8198,5350,-4196,2996,-784,-680,120,-926,3139
3020,-1348,2920,343,1038,-1757,-632,620,-2688,1968,2970,3292
-38,-422,2366,8559,-5566,732,-2178,906,-2550,3460,6301,2997
-1418,792,1754,9486,-10074,2728,-1242,546,-1660,3533,9446,3100
-544,664,-160,6738,-11265,2249,-1530,474,-750,3781,8302,2564
-300,628,-1668,4847,-10266,453,-1812,-194,400,1617,5746,405
-16,-114,-1822,4079,-6929,199,-808,106,-876,1267,3850,-746
1826,-1722,-1890,6263,-2511,868,-250,484,-2404,970,2075,-510
2678,-2114,-1496,9673,1056,251,-1052,182,-3198,515,485,239
1520,-792,384,10156,3132,-531,-1406,252,-2626,598,-793,803
-318,272,2198,6311,3350,-1101,-2028,584,-1746,1172,-1394,779
-3216,60,3704,1522,1666,-1073,-1236,-112,-316,1100,-1842,343
-7528,-1092,5236,-1571,114,-993,1138,-154,132,151,-3450,-834
-14288,-1938,7330,-2565,-1167,-756,3492,-336,300,-663,-5778,-1939
-28816,-2724,10378,-3034,-2917,-2,14750,-1966,7254,-4823,-10172,-3640
-32768,-1462,13808,-5065,-5748,1844,32767,-10188,2308,-17446,-5295,-12244
-30494,-112,14970,-10247,-3801,4156,32767,-6294,-5196,-6234,-8214,-8657
-28782,-3142,12774,-9658,-149,3143,32767,-4698,-5638,14137,4776,715
-32768,-3160,14802,-3679,-661,1207,26006,-3622,2644,1839,8522,6261
-32768,-868,17480,-3028,-235,2960,28870,-7096,-2354,-3046,-1426,1784
-32768,-2462,15718,-7132,3176,2837,32767,-7682,-4278,-873,-3945,1368
-32768,-4934,13952,-5072,4440,2277,32767,-9094,1534,1323,-2621,1282
-32126,-3426,14206,-364,4568,442,32767,-5712,-360,849,-5377,-257
-29982,-1254,13902,-1802,5154,834,31346,-5990,-2246,-423,-3232,787
-26600,-1920,12246,-5863,4778,1741,29580,-5416,-418,-449,-5599,-140
-22382,-3634,11258,-7802,3418,1548,25916,-4538,-88,1241,-4397,287
-15294,-5892,8690,-5022,1636,177,19436,-3808,178,1963,-3203,1465
-6176,-4406,5734,1022,1158,-2595,14242,-2336,1112,947,-3103,2289
2860,344,3506,2978,1697,-4793,8914,-710,1948,-152,-2294,2024
4618,1722,2272,-612,3271,-4290,4672,800,158,-1938,-664,2326
