# ===========================================
# timeslice=1, slack=1, packetLoss=0 STREAM
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
1038, 2900, 2456, -273, 158, 1028, 748, -622, -194, -2167, -3047, -374
-1986, 1886, 1984, 1249, -440, 4113, 2886, -874, -842, -1916, -2444, -472
-7012, 1126, 3022, 2838, -1528, 4800, 8106, -1774, -1006, -839, -504, -751
-14248, 1474, 5388, 1015, 728, 3070, 11466, -4010, 520, -2, 1089, -1362
-21656, 1140, 6102, -5401, 2349, 391, 29524, -9478, 3276, 1566, -234, -3137
-30980, 566, 5866, -9764, 3001, -2941, 32767, -15842, 152, 1732, 1071, -1282
-32768, 806, 8530, -10810, 6605, -6100, 32767, -13040, -3590, 8098, 11805, 263
-32768, 4222, 12554, -15176, 12410, -4890, 32767, -6898, -338, 8112, 10956, 1692
-32768, 6940, 15450, -24251, 18893, 2538, 26334, -8484, 818, 3142, -2639, 105
-32768, 6968, 16292, -31215, 17349, 12938, 31808, -7542, -700, 4435, -2852, -419
-30528, 4554, 14768, -32768, 8282, 22175, 28912, -4966, -202, 2644, -3294, -521
-20244, -30796, 25546, -23136, -8906, 2078, 22282, -1730, -2684, 755, -4464, -1627
-5760, -21084, 14448, -20818, -28131, -15176, 13574, -1624, -354, 3265, -936, 237
2062, -15284, 2054, -14101, -24721, 2724, 7820, -86, 278, 3422, 78, -186
3800, -14088, -3634, 10252, -10091, 17554, 4488, 1160, -176, 2446, 2608, 110
6448, -10350, -5622, 32767, 6616, 21759, 1702, 1542, 342, -707, 2021, 628
2618, -7654, -1998, 32767, 19962, 10163, 1476, 418, 664, -2601, 744, 441
-8942, -5436, 5382, 32767, 25001, -12182, 7140, -2568, 1644, -2530, 288, -363
-20278, 460, 10492, 23124, 15647, -27098, 18334, -6402, 2446, -4737, 759, -875
-26972, 3022, 11468, 7238, 2132, -26056, 29466, -9406, 2308, -2123, 4061, -1330
-28890, -46, 8112, -2056, -8975, -18752, 27314, -5194, -1210, 1352, 7939, -495
-23592, -2302, 3546, 2195, -12450, -15389, 17482, -2264, -432, 1329, 5852, 456
-15838, -2664, 872, 12529, -8844, -13871, 12556, -1670, 1488, -1016, 2158, 540
-10930, -2012, 236, 19976, -1508, -10301, 11272, -2348, 70, -1961, 1305, 853
-10572, -1726, 1772, 22358, 6032, -6403, 12758, -3210, 380, -2383, 1589, 592
-13208, -1138, 4386, 18048, 8514, -4374, 16246, -3990, -142, -2578, 1783, 404
-16306, -1136, 6068, 8005, 5870, -5690, 18078, -4934, -124, -1569, 2787, 1099
-18418, -1012, 5868, -1979, 539, -9113, 18652, -4978, -506, -351, 3982, 1606
-17898, -654, 5092, -7281, -2523, -11877, 18156, -4584, -956, 1072, 4538, 2193
-15098, 428, 4376, -7888, -2201, -13883, 17108, -4024, -282, 1860, 5416, 2397
-11424, 1874, 3514, -5296, 381, -15017, 15870, -3484, 1128, 2280, 6783, 2836
-7282, 4474, 2604, -687, 4029, -13994, 12694, -2970, 1826, 2491, 8026, 3276
-4260, 7712, 3000, -26, 6868, -11488, 8442, -2552, 2222, 3293, 7569, 3100
-3782, 10394, 3930, -6094, 9426, -6410, 5502, -2164, 2990, 3360, 5863, 2515
-4248, 11590, 5414, -17025, 11421, 753, 3410, -2150, 4794, 2961, 4394, 1811
-6534, 10564, 6968, -29929, 13134, 8837, 4286, -2944, 6920, 1805, 2208, 508
-12428, 6896, 9632, -32768, 13607, 16820, 8410, -3874, 7348, -524, 848, -222
-17338, 868, 13550, -32768, 8146, 21925, 12622, -3974, 7004, -1420, -1730, -1039
-24418, -5260, 18644, -32768, -3276, 18499, 17332, -4130, 8088, -1628, -3181, -1627
-32768, -9954, 19884, -27957, -20079, 9736, 24804, -6586, 11272, -2531, -4639, -2202
-32768, -11944, 19026, -9388, -32768, 3408, 32656, -9750, 8706, -3257, -6312, -2687
-32768, -13832, 23000, 11297, -32768, 3374, 32767, -10234, 6602, -4332, -8740, -3143
-32768, -13178, 19912, 32767, -32768, 7494, 32767, -12800, 8316, -3415, -8936, -3068
-32768, -9222, 17336, 32767, -32768, 12459, 32767, -13330, 6538, -300, -8350, -2374
-32768, -1056, 12964, 32767, -24393, 17815, 31628, -9368, 6552, 683, -6449, -1929
-30152, 13348, 12266, 32767, -12994, 27216, 23456, -5030, 4868, -351, -9477, -793
-19272, 17160, 11946, 32767, -11479, 32767, 17722, -2214, 2908, -1030, -10333, -66
-14522, 6834, 6560, 9592, -14503, 32767, 12122, -974, 2840, -559, -7321, -392
-11872, -1964, 1490, 8380, -14730, 32767, 5384, 134, 528, -506, -4799, -697
-7746, -3702, 1706, 9270, -10974, 32767, -114, 2112, -2338, -464, -1291, -428
-9114, -4038, 720, 9615, -7977, 32767, -1696, 1438, -3086, -1494, 2758, -265
-8750, -4834, 310, 8741, -10064, 32767, -2546, 858, -3254, -1412, 3191, -458
-9638, -5144, -612, 10986, -11243, 32767, -2470, -366, 12, -508, 2422, -706
-9608, -4806, -698, 14029, -12165, 32767, -1342, -360, 188, -1548, 839, -898
-11010, -6438, -1354, 17874, -13014, 32767, -1172, -678, -1774, -1694, 743, -276
-10830, -8372, -1118, 19412, -13365, 32767, 194, -1052, -2144, -232, 705, 216
-9934, -10204, -846, 19548, -12416, 32767, 1400, -1350, -1734, 1572, 101, 235
-8494, -13462, -596, 14044, -12303, 32767, 2602, -1312, -748, 2473, -328, 358
-5780, -17166, -188, 7912, -9648, 32767, 2750, -628, -800, 2203, -193, 1048
1972, -22452, -2572, 494, -6205, 23624, 4160, -322, -28, 789, -114, 1619
14994, -25674, -6188, 4630, 2031, 5073, 14220, -3016, 7336, -3354, -1281, 1325
17884, -13728, -5422, 16185, 12920, -13399, 32088, -9990, 11438, -3355, -6670, -1660
17564, 7560, -2224, 9914, 13928, -31091, 32767, -15044, -5818, -476, 3426, -693
9064, 14894, 1230, -2491, 2298, -32768, 32767, -9872, -526, 7410, 7229, 732
-1806, 9248, 3212, -20150, -3840, -32768, 27956, -8194, 10876, 2101, 7031, 3008
-16960, 22152, 7436, -23182, 2293, -32768, 22474, -8674, 5740, 282, -4418, 1233
-32768, 4674, 29186, -30134, -12770, -32768, 23642, -8304, 2564, 2165, -3375, 456
-22314, 30120, 17110, -32768, -28290, -32768, 18206, -5804, 2938, 877, -6653, 12
-6518, 31330, 14346, -24240, 5485, -22346, 14326, -1040, -1450, -714, -4635, 910
-16570, 32767, 16774, -30699, 29795, -26822, 9124, -384, -1428, -837, -2806, 1241
-24372, 32767, 28120, -30936, 27451, -21314, 5254, 368, -1990, -32, 1982, 1171
-15788, 25458, 20258, -32768, 10762, 3622, 2248, -698, 616, 133, 2156, 1266
-3484, 9456, 13634, -26432, 2706, 10904, 2196, -1780, 2018, -1398, 366, 984
-654, 806, 9106, -10043, 6035, 5046, 6612, -2554, 1492, -3274, -1056, 67
-642, 188, 6472, 1872, 5843, 308, 11410, -2844, 2336, -4057, -1658, -622
-2096, 3294, 6080, 6975, 3695, -3515, 16350, -3914, 2146, -3874, -1773, -507
-5112, 7930, 8848, 4660, -712, -4962, 19420, -5342, 1226, -2305, -329, -315
-5120, 11832, 10550, -2183, -6125, -3140, 21324, -6260, 1486, -1473, 955, -398
-3452, 14384, 11190, -10514, -5380, -2560, 22236, -5050, 1136, -723, 568, -941
-3534, 17082, 14006, -15933, -718, -4349, 20060, -3338, -276, 335, 463, -642
-5210, 18992, 18318, -14724, 1157, -4123, 17774, -3772, -740, 594, 586, -535
-4576, 14932, 19050, -12993, -3424, -1857, 18650, -4452, -854, 484, 531, -422
-3482, 8020, 15808, -1690, -5194, -4183, 19998, -4920, 394, 1236, 2030, 128
-3448, 8574, 11712, 17790, -5767, -7609, 18930, -4718, -100, 1961, 4985, 671
-3296, 12750, 9568, 25157, -5667, -8162, 15932, -4172, 286, 2869, 8301, 1252
-1450, 14260, 8668, 22038, -5977, -4675, 13082, -3604, 452, 3574, 10087, 1494
-1172, 12982, 8390, 15490, -3851, 1006, 9840, -3492, 458, 4899, 10141, 1815
-2586, 9392, 8530, 12754, -4807, 5320, 5692, -2584, 2338, 6325, 9350, 1930
-3126, 5680, 7834, 19827, -8654, 6688, 2362, -1864, 4002, 6163, 8083, 1838
-2532, 8972, 5236, 31367, -7667, 7921, -526, -1590, 5676, 5877, 5766, 1451
-4480, 16720, 6522, 32588, -3467, 12021, 4706, -2480, 9472, 3544, 1605, 327
-5798, 22068, 11784, 25666, -1808, 18452, 14738, -3864, 9344, 599, -478, -853
-7294, 26432, 17198, 20224, -3316, 22450, 24540, -5200, 8002, -1832, -1698, -1562
-7916, 30168, 18254, 17366, -3363, 20877, 28980, -6708, 10314, -760, -4115, -1539
-9146, 32767, 19798, 12170, -5195, 18481, 32767, -9160, 11374, -1326, -8080, -1845
-7532, 32767, 18822, 8417, -6969, 17462, 32767, -10394, 7672, -3004, -10561, -2314
-2966, 32767, 14698, 12124, -4628, 16869, 32767, -11418, 7782, -2951, -9865, -2229
-472, 32767, 11072, 11764, -2565, 13244, 32767, -8844, 6102, -1406, -10875, -3072
2668, 28304, 7504, 8524, -2113, 9314, 31502, -7164, 4664, -716, -11146, -2570
4070, 19064, 3820, 7181, -336, 7710, 22532, -4476, 2090, -1927, -12850, -2211
3254, 8714, 786, 6261, 870, 8420, 15284, -2022, 1440, -1441, -9201, -645
872, 3670, -1510, 5321, 1371, 10126, 8318, -568, -1272, -1335, -5755, 119
-1348, 1074, -2928, 5190, 2466, 11490, 1030, 1326, -3320, 214, -2362, 1585
-766, -1278, -2378, 3674, 4038, 14320, -1004, 844, -2218, 319, 2293, 2229
-1834, -4498, -2698, 6512, 5486, 17197, -2424, 84, -3626, -270, 3419, 2110
-3194, -5734, -2362, 12559, 5135, 16707, -938, -628, -906, 613, 4011, 1097
-2890, -5552, -1918, 16383, 4644, 14789, -478, -180, 990, 294, 3509, 119
-2758, -5848, -1406, 16920, 4204, 13272, -436, 380, -438, -47, 1848, -294
-3402, -6128, -692, 14343, 4444, 11171, -698, 380, -2568, -151, 252, -210
-3658, -5394, -740, 8548, 3609, 8069, -628, 88, -2192, -477, -476, 313
-1738, -6156, -270, 2299, 5485, 5353, 578, -364, -1068, -595, -759, 674
-958, -6334, 2286, -5, 9417, 3012, 2338, -920, -654, 170, -393, 623
-2470, -5252, 4496, -3342, 9676, -577, 2692, -1380, 2130, 817, 1892, 728
