# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-13036,4106,-1040,8390,-2084,25475,-796,-1816,-3452,544,-1162,-22
-10798,-4366,508,9459,-1902,18429,-362,-1840,-2630,1870,-755,968
-8230,-13124,2648,12745,-318,9014,5110,-2244,3074,1119,-1016,794
-6590,-14856,5676,11113,-1346,8796,12068,-5542,7098,-1690,-1931,-1643
2312,-22770,7652,5699,-1917,-4276,24004,-8722,6402,-9502,-5866,-6117
10274,-32768,9470,1455,-2113,-4806,32767,-14236,-8794,-11274,6925,-11812
13690,-32768,13746,2752,3261,638,32767,-12520,-11566,-4248,14133,-2546
15312,-32768,19058,2791,-1457,-8142,32767,-14876,-1660,3339,-3235,823
18270,-32768,20678,-3675,-9305,-13857,32767,-9028,-9956,8703,-2063,2241
8150,-26552,17298,-12802,6420,-17823,32767,-10612,418,9583,-5177,4062
-3262,-12972,8876,-20442,13590,-23270,32708,-10554,1018,6073,-4919,829
-10074,-3812,3674,-18711,-2766,-22191,25394,-5288,900,4887,-5823,-2130
-13018,1300,-68,-17050,-1838,-20744,21794,-442,-3062,3302,-3684,-1393
-13064,3234,-4538,-18491,980,-18995,14442,-1062,806,1263,5081,1337
-11176,3654,-6038,-18305,6082,-20491,8356,464,-2228,1712,5735,2232
-10980,4676,-5842,-15493,15628,-24820,4266,2676,-3948,6123,7587,5703
-12888,6140,-4306,-8026,19627,-27732,862,1580,-1234,6268,7636,7909
-14518,10446,-2318,1020,20837,-26283,-3584,-436,-492,5216,8791,8590
-18582,15342,294,13975,16485,-32768,-7546,922,4834,994,7213,10553
-21068,24270,2172,11932,9865,-32768,-8610,-2434,-3434,2540,13783,4939
-22024,29452,3640,11424,3279,-32768,-6482,-1650,-276,-1858,9341,-3125
-18090,32767,3838,10430,-1422,-32768,-5034,2346,-784,469,5834,-5887
-8408,32767,2996,9489,-237,-32768,-3136,952,-5390,6379,7550,-5580
4828,32767,1168,11627,6385,-32768,-1034,-1240,-3518,5292,8930,-4285
17478,32767,4890,24440,17618,-32768,5778,-1400,-5100,-631,9107,-4386
23976,32767,18182,32767,22367,-32768,17962,-3964,11582,-1142,-6296,-7174
31278,32767,25882,24780,1574,-16265,14130,-776,4266,452,-4171,-4519
32767,32767,26976,13290,-32768,-2486,32767,-11172,-3252,-18527,-6426,-15131
32767,32767,17510,12452,-32768,-3314,32767,-9538,7442,-8697,-16959,-7831
32767,32767,9114,6220,-9255,15235,32767,-8584,5198,4426,-17805,-1585
27254,32767,8340,9787,-12585,32767,32767,-7532,600,-339,6844,3040
20978,32767,6570,14509,-6022,32767,32767,-11040,9752,681,9875,5361
18604,32767,3376,15605,30174,32767,32124,-6636,-804,-2448,-2148,1113
10708,32767,-1198,-2139,-4017,32767,29320,-4782,-11336,-1505,-10271,-1835
4768,30930,-1162,-4391,-5038,32767,23088,-3846,182,1738,-17686,-1162
-56,19512,-4174,2269,-3848,32767,18782,-3974,2018,4063,-10185,147
-2928,14068,-6714,6671,892,32767,6778,-9538,8552,639,-10778,-947
-3992,10406,-6790,7169,6457,32767,8678,-590,-3950,-1156,280,4017
