# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
-14872,4406,2164,-128,-375,967,16214,160,1160,1827,-1379,-133
-14492,4296,2080,-144,-391,1194,16144,550,1080,1550,-1513,-96
-14242,4156,2074,-254,-493,1196,16324,1098,1076,1104,-1641,-44
-14356,3970,2130,-293,-688,904,16844,1454,1038,716,-1760,-37
-14624,3684,2162,92,-1026,266,17344,1416,1410,345,-1767,-55
-15142,3688,2296,818,-1391,-569,17782,1268,1184,172,-1706,-170
-16002,3784,2366,1492,-1635,-1296,18888,506,1696,-452,-1147,-107
-16934,3654,2576,2248,-1785,-2017,20166,-686,1710,-960,-698,-91
-17154,3762,3200,3126,-1669,-2663,20950,-1816,2172,-1801,161,9
-17384,3838,4322,3522,-1104,-3120,20422,-3436,1762,-2351,1191,-100
-17642,4236,5810,3416,-645,-3269,18384,-4404,1480,-2210,1886,-583
-17568,4812,7076,2574,-414,-2595,17794,-5810,1360,-1398,1023,-1048
-16902,5094,7700,1414,-414,-958,17474,-7804,1456,-1050,236,-972
-15708,4712,7942,487,-216,1343,16934,-8466,1588,-1480,1247,-35
-14434,4466,8468,-1141,604,3697,16458,-6830,2222,-1678,2491,629
-14014,3936,9378,-4288,1448,6035,17034,-5364,2586,-1308,2192,564
-14450,2816,10492,-7257,1639,7479,16748,-5444,1704,-1750,2080,468
-14406,1376,11204,-8690,702,7259,15502,-5772,1192,-2131,2238,486
-13242,-210,10870,-6261,-919,5290,14608,-6142,674,-2386,1492,628
-11750,-742,9696,-936,-1751,2719,14350,-6682,944,-2649,478,799
-11402,-158,8046,4290,-1024,674,14820,-6826,1036,-2736,79,1171
-11782,1502,7590,5232,-305,-339,14886,-6480,1030,-2447,756,1422
-11984,2294,7730,2872,466,-831,14516,-6114,1046,-1864,928,1440
-12134,2562,7860,-349,783,-1041,14162,-6686,1158,-1854,423,1590
-12116,2194,7812,-1670,795,-1444,14478,-6776,1518,-2235,17,1956
-12444,2252,7964,-1226,913,-2042,15160,-6180,1390,-2343,-276,2103
-12902,2618,8322,-244,868,-2644,14868,-6368,1016,-1747,-297,1893
-13116,3058,8214,548,399,-2912,14202,-6896,880,-1057,-449,1599
-12840,3578,7654,1299,-444,-2937,14132,-7108,934,-525,-866,1409
-12456,3964,6872,1742,-1150,-2341,15020,-6748,1284,-516,-1203,1154
-13252,3858,6822,1552,-1072,-1713,17384,-6148,1352,-357,-1215,831
-14068,3678,6948,974,-499,-1887,17808,-5524,1602,-34,-441,347
-14740,3610,7020,170,5,-2207,19026,-5222,2132,57,281,-58
-14802,3618,6988,66,-31,-2640,17720,-5122,1662,413,400,-469
-14450,3724,6842,893,-364,-2865,16016,-5560,1310,552,633,-710
-13858,4116,6742,1519,-618,-2567,14688,-5858,1052,398,435,-689
-13582,4224,6828,1419,-701,-1806,14904,-5984,1120,-146,34,-398
-13542,3792,7132,1291,-711,-1180,15596,-5726,1174,-553,-237,-91
-13560,3630,7652,1271,-852,-985,15984,-5540,1202,-1006,158,201
-13322,3472,8040,947,-926,-941,15918,-5602,1128,-1165,571,352
-13430,3188,8598,650,-1261,-1046,15632,-5898,1236,-1190,524,370
-13236,2830,9278,728,-2267,-1311,15536,-6268,1254,-1319,233,380
-13116,2736,9468,1333,-2843,-1703,15656,-6456,1224,-1390,64,368
-13004,2870,9488,1601,-3147,-1904,15602,-6520,1022,-1420,-71,361
-12684,2978,9094,1697,-2941,-1866,15352,-6532,896,-1388,-236,247
-12690,3018,8632,1824,-2424,-1795,15394,-6704,816,-1362,-566,134
-12672,3144,8374,1808,-2307,-1723,15372,-7014,804,-1402,-731,117
-12604,3228,8430,1695,-2216,-1601,15412,-7126,918,-1351,-588,128
-12516,3188,8510,1631,-2103,-1398,15200,-7130,920,-1183,-474,57
-12388,3114,8480,1861,-2168,-1304,14894,-7202,878,-998,-459,-73
-12190,3162,8460,2255,-2237,-1162,14816,-7328,804,-915,-523,-176
-11972,3326,8424,2255,-2063,-757,14696,-7464,756,-914,-651,-258
-11858,3410,8352,1994,-1611,-243,14552,-7598,622,-818,-683,-355
-11796,3368,8418,1447,-1049,223,14438,-7700,444,-692,-800,-439
-11634,3232,8602,832,-563,592,14494,-7892,434,-633,-913,-455
-11498,2892,8646,443,-192,786,14418,-8106,452,-555,-1165,-455
-11296,2730,8784,589,139,783,14194,-8290,366,-464,-1040,-471
-11224,2706,8896,633,337,775,14208,-8428,486,-388,-1039,-518
-11482,2610,9144,659,538,724,14564,-8516,528,-590,-1085,-456
-12158,2596,9098,774,759,536,14606,-8276,292,-137,-1082,-477
-13776,2994,8812,940,1137,407,15350,-8194,440,114,-1148,-507
-14836,3520,8870,445,1339,828,17814,-7794,1018,63,-1202,-319
-16074,3632,8938,-1160,1400,1438,21186,-6870,2000,263,-1103,22
-17802,3062,8520,-2546,1555,1059,22686,-5062,1864,916,-316,-69
-17784,2410,6870,-2082,2081,-340,21060,-2660,2382,2226,747,106
-17676,3180,5388,-190,3235,-1815,20144,-940,2142,2358,1208,-84
-17768,4454,4684,517,3149,-2434,19598,-690,2058,2131,425,-467
-17232,5120,3672,-344,1853,-2217,18048,-1042,1944,2799,-161,-1168
-15846,5118,2816,-1816,258,-1203,16776,-666,1610,2633,57,-1297
-14650,4334,2038,-1965,-302,-676,16104,-778,1236,1901,470,-1072
-14436,3568,1572,-357,-91,-1118,15890,-1242,1006,1435,417,-940
-14360,3634,1328,1785,416,-1891,15562,-1062,1092,1315,339,-934
-13948,4308,1448,2556,1317,-2263,15846,-496,1330,750,414,-840
-13784,4630,1720,2248,2165,-2177,16616,-194,1682,415,61,-936
-14088,4608,2498,1527,2681,-1953,16756,-200,1572,676,21,-1313
-14530,4516,2958,908,2685,-2006,16154,-564,1290,1047,259,-1688
-14456,4456,2964,778,2118,-2189,15968,-942,1292,1150,54,-1809
-14212,4438,3090,1238,1638,-2152,15932,-922,1240,1135,-495,-1718
-14444,4614,3176,1845,1339,-1917,16436,-1240,864,1274,-824,-1599
-14776,4744,3386,2084,1136,-1929,16676,-1618,974,1732,-910,-1499
-14814,4872,3546,1867,1245,-1914,16910,-1728,1024,2110,-795,-1311
-14990,5180,3778,1266,1512,-1740,16880,-1420,1038,2000,-846,-1048
-14990,5354,4014,418,1657,-1513,17416,-1688,1410,1581,-1189,-727
-15164,5096,4780,-385,1617,-1446,17990,-2322,1504,1517,-1438,-364
-15804,5046,5356,-629,1573,-1465,18690,-3034,1006,1656,-860,-42
-16348,5040,5284,-296,1767,-1557,18164,-3360,762,2268,-230,130
-15774,5708,4954,-1132,1780,-840,16900,-2956,954,2831,-74,346
-14682,5728,4422,-3875,1872,807,16412,-2682,1268,3003,-538,483
-14126,4586,3852,-5248,2625,2339,16014,-1994,1034,3321,-549,332
-14142,3894,3848,-4825,2763,3074,15992,-972,1156,3455,-63,147
-13890,3924,4106,-4604,2217,3238,16068,-682,1284,3486,-167,-52
-13896,3290,3998,-4180,1450,3006,16090,-846,920,3517,-550,-283
-14258,2882,3476,-2223,560,2240,16220,-966,970,3422,-638,-373
-14570,3314,2956,-671,-232,1379,16882,-858,1158,3230,-691,-345
-15154,3766,2710,-716,-420,946,17934,-700,1292,3148,-722,-279
-16000,3932,2664,-1931,-196,762,17672,-440,746,3290,-547,-273
-16114,3964,2630,-3155,146,619,16858,-406,496,3019,-526,-212
-15540,4176,2410,-3614,379,669,16774,-608,598,2638,-1174,-99
-15136,4644,2344,-4387,388,1134,16848,-470,508,2324,-1580,53
-14638,4354,2566,-5288,503,1650,16654,-132,446,2290,-1153,139
-14428,3818,2812,-5136,677,1553,16314,-146,612,2277,-886,204
-14500,3606,2888,-4010,447,920,16384,-42,752,2047,-1194,394
-14594,3588,3038,-2503,74,-71,16704,468,708,1809,-1636,573
-14642,4082,3018,-1573,-190,-905,17108,1074,184,1678,-1670,759
-14506,4508,3056,-1563,-378,-1323,17144,1338,594,1529,-1594,728
-14578,4650,2884,-1414,-690,-1518,17074,1090,422,1331,-1802,584
-14494,4796,2620,-827,-1244,-1595,16682,1012,338,1219,-1699,557
-14316,5002,2486,-419,-1663,-1452,16474,1210,410,937,-1404,661
-14516,5270,2216,-517,-1861,-1177,16468,1566,318,678,-1270,776
-15050,6200,1866,-2113,-2405,-360,16798,2024,572,287,-1355,848
-15210,6874,2370,-6206,-2684,1366,17544,2262,712,-383,-1332,935
-15858,5226,3136,-9071,-2306,2734,18126,1698,482,-909,-1149,834
-16926,3438,3496,-6904,-2481,2235,19186,96,714,-1654,-575,667
-17768,2762,3874,-1843,-3077,746,21070,-2634,1498,-2267,157,664
-18056,3140,4726,2366,-2879,-284,20998,-5482,1666,-1803,931,451
-17002,3554,5984,3593,-1542,-69,18796,-6490,1916,-1073,943,25
-17030,3008,7194,2545,82,767,19156,-7588,2070,-1383,-12,-254
-17576,1918,7774,1759,220,999,19230,-10074,2658,-2395,-509,34
-16336,1622,8686,1324,-20,838,17992,-9318,1214,-3133,1094,1021
-14952,1816,9682,-120,725,1391,17366,-6806,1350,-2391,2154,1561
-13906,1124,10480,-2573,808,2876,16284,-5594,724,-1372,2513,1124
-12556,-264,11378,-3435,-589,3982,14040,-5690,406,-1380,2326,532
-10866,-1770,10738,-1760,-2541,3435,12998,-6096,892,-1422,2365,416
-10508,-1906,8888,2330,-2638,1524,13376,-6322,1326,-1278,1869,632
-11270,-912,7378,4303,-1822,-484,13860,-6462,1704,-897,1495,842
-12124,-6,6940,4886,-985,-2126,14400,-6844,1890,-956,1223,1118
-13234,1220,7090,4584,-176,-3052,15054,-7144,1952,-880,710,1432
-13800,2122,7318,3232,598,-3331,14646,-6974,1370,-818,301,1642
-13732,2746,7394,1699,1232,-3104,14576,-6956,1012,-678,-302,1567
-13534,2914,7488,546,1534,-2348,15176,-7102,784,-650,-895,1445
-13442,2878,7576,98,1341,-1415,15948,-6802,1182,-413,-1043,1192
-13120,2818,7570,132,1002,-910,15766,-6094,1180,118,-764,792
-12684,2838,7510,-104,813,-659,15290,-5422,1354,266,-394,370
-12516,2730,7418,-400,744,-509,15360,-5032,1590,39,-575,77
-13174,2464,7544,-217,579,-645,16590,-4954,1536,-541,-714,-4
-14114,2282,7854,639,326,-1246,16776,-4642,908,-428,-446,-158
-14550,2330,7718,1980,-238,-1877,16834,-4908,1072,-533,31,-359
-14604,2532,7426,3822,-865,-2344,17368,-5610,1384,-636,-113,-428
-14716,2728,7160,5575,-1041,-2599,16990,-5894,926,-634,335,-319
-14868,3074,7128,6199,-993,-2633,16402,-5746,812,-618,829,-200
-14746,3376,7108,5306,-822,-2423,16474,-5758,860,-753,576,-106
-14312,3596,7180,3522,-706,-1947,16280,-5692,852,-1111,211,124
-13682,3434,7424,1529,-536,-1239,15948,-5330,892,-1415,464,271
-13242,2770,7830,-32,-415,-692,15662,-5262,1000,-1627,851,325
-13200,2082,8916,-652,-956,-557,15360,-5378,1182,-1813,1026,317
-13100,1182,9656,-352,-2382,-1009,15132,-5648,1164,-2018,758,288
-13234,894,9484,1460,-3349,-2019,15366,-5974,1226,-2160,423,271
-13274,1282,8982,3232,-3965,-2882,15682,-6150,1006,-2222,221,250
-13300,2184,8506,4276,-3450,-3179,15878,-6142,840,-2302,124,233
-13404,2922,8160,4080,-2655,-3082,15858,-6446,902,-2367,-154,205
-13446,3214,8238,3144,-2496,-2713,15808,-6850,756,-2387,-411,177
-13190,3186,8242,2258,-2804,-2302,15812,-6746,922,-2366,-172,271
-13026,2978,8414,1928,-3099,-1999,15576,-6644,774,-2261,-23,252
-12878,2732,8468,2060,-3251,-1862,15258,-6906,830,-2088,-26,158
-12562,2698,8458,2429,-3111,-1812,14948,-7136,692,-1979,-4,142
-12182,2764,8482,2766,-2645,-1586,14884,-7410,742,-1972,-80,180
-11884,2838,8544,2614,-2110,-1082,14766,-7480,644,-1840,-101,113
-11680,2768,8732,2058,-1630,-523,14476,-7836,698,-1714,-102,45
-11436,2428,8840,1399,-1331,-58,14288,-8172,760,-1523,-102,-37
-11224,2152,8864,1060,-953,150,14174,-8284,586,-1296,-60,-95
-11102,2022,9076,832,-487,256,14052,-8294,608,-1239,-116,-166
-11012,1990,9444,213,-34,537,13936,-8348,608,-1171,-387,-260
-10856,1740,9744,-393,396,893,13932,-8468,550,-1067,-553,-320
-10974,1552,9966,-659,772,1170,13948,-8368,460,-1024,-480,-301
-11316,1348,9824,-500,1285,1243,14160,-8054,474,-1101,-411,-155
-12826,1486,9658,211,1580,805,15260,-7890,332,-1057,-537,-112
-15208,2140,9510,965,1039,-45,18016,-7964,1068,-938,-525,-235
-16690,2800,9754,1518,79,-770,21608,-7524,1814,-650,-178,-77
-18020,3106,8296,2444,340,-1622,22944,-5640,2108,315,592,99
-18350,3944,5828,2649,1446,-2483,21146,-2838,1878,1754,1610,377
-17818,5234,4162,-204,2346,-2382,20748,-1370,2160,1087,1205,188
-17818,5342,3862,-4331,2503,-1554,20880,-636,2476,1042,369,-191
-17212,4392,3548,-6110,2087,-1616,18778,-390,2106,1950,98,-529
-16272,3950,3136,-4810,1658,-2290,17600,-818,2070,1705,1820,-533
-14916,4120,2590,-2380,1392,-2343,15654,-1208,1800,1784,2315,-373
-14084,4212,2278,34,1081,-1749,14072,-1568,1154,1531,1556,-305
-13678,4180,2028,1813,778,-1035,13474,-1456,1436,1151,807,-276
-13752,3978,1992,2532,753,-771,15360,-994,1818,944,-58,-537
-13772,3734,2066,2279,962,-968,16820,-528,1728,834,-272,-913
