# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
15352,-32768,3116,-3132,-10689,-17137,16368,-3680,-4586,306,1860,-323
13834,-25338,1818,-2827,-9062,-25766,16346,-4072,-3912,51,775,-445
12082,-17734,1976,-4856,-7784,-29677,16310,-4052,-3728,345,69,-559
10658,-12036,1016,-8770,-8510,-30343,16352,-3802,-2974,516,-247,-560
9782,-8154,190,-11067,-8871,-29759,16292,-3858,-3198,935,-285,-426
9546,-4948,262,-11795,-8025,-27966,16228,-3840,-3634,1193,4,-265
8380,-3002,-632,-11593,-6260,-26505,16136,-3814,-4224,739,338,-113
7352,-772,-1062,-10030,-4556,-25306,16454,-3792,-3320,917,7,-111
7902,1892,-2070,-7070,-4316,-25184,16524,-3692,-3478,1397,233,-108
9942,5004,-2604,-4495,-3514,-24648,16804,-3538,-3878,1471,796,-37
11750,8070,-3424,-4302,-1698,-21957,16822,-3394,-4086,1224,590,204
13446,10480,-4948,-4626,-902,-18233,16400,-3752,-3426,2285,-101,252
14558,11956,-5766,-4329,-1802,-14336,16390,-4040,-3120,2390,-288,279
14548,12184,-6564,-4880,-2033,-11607,16726,-3838,-2900,1933,-244,618
15284,11444,-8448,-3116,-2299,-11108,16622,-3414,-3030,1050,-638,930
13388,10952,-9672,3468,-1731,-11396,16382,-3410,-3458,482,-903,591
14164,12306,-7960,7754,-2876,-9563,16342,-3914,-3470,677,-861,424
14674,12278,-8998,5543,-1306,-5577,16664,-4080,-2838,720,-1213,277
14446,11074,-9216,2663,-305,-2225,16748,-3668,-3776,320,-1181,238
14920,9810,-8754,187,375,41,16852,-3482,-4114,140,-588,250
15722,8194,-8200,-1212,1681,2009,16892,-4044,-3860,206,-464,137
16648,7762,-7262,-1642,2373,3514,16792,-4114,-3596,250,-353,-102
17522,7352,-6948,-2007,1898,4147,16800,-4016,-3828,441,-140,-194
18610,6816,-6432,-2161,794,4648,16524,-4136,-3848,440,-239,-251
20162,6920,-6946,-601,-1037,4890,16372,-4210,-3584,340,-556,-373
20022,7972,-7782,2153,-1981,4333,16496,-4108,-3480,756,-642,-479
18442,11228,-8272,4099,-3074,3654,16942,-3814,-3042,913,-719,-338
17354,14084,-9086,3198,-3572,5476,16860,-3366,-3646,323,-840,-97
15820,14334,-8110,6711,-1263,9648,16596,-3250,-4228,-188,-941,6
12660,13694,-6818,10275,1728,13861,16472,-3510,-4068,-613,-1163,57
9602,11742,-4940,11462,3700,18102,16418,-3726,-4010,-908,-1455,45
6954,9090,-3472,10355,4617,22351,16422,-3730,-4072,-806,-1563,85
5648,5306,-2236,9251,5438,26269,16390,-3764,-3938,-710,-1513,117
4624,2088,-1488,8507,6519,28996,16114,-3816,-3890,-511,-1362,-24
3368,-1650,-1428,8732,6773,28337,15868,-3866,-4248,-595,-898,-305
4850,-5596,-612,11348,7916,26489,16128,-3920,-4536,-801,-576,-452
6174,-7074,630,11122,9236,26389,16444,-4046,-4580,-338,-406,-463
8688,-11310,1408,8417,8177,24759,16568,-3826,-4476,-189,-194,-127
12406,-16568,2696,4891,5947,24396,16450,-3900,-4604,18,-10,-107
15250,-22514,2582,4558,1985,22591,16836,-4258,-5172,251,533,-168
17388,-27608,2458,5037,-1596,16192,17186,-4332,-4530,694,470,-214
17880,-29740,2488,2865,-4133,9003,17050,-3998,-4802,584,328,-226
16866,-30420,2572,-1403,-6512,2460,17014,-3798,-5004,739,484,-75
14606,-28824,1492,-5038,-8437,-5439,16750,-3820,-4772,496,120,18
