# ===========================================
# timeslice=1, slack=1, packetLoss=0 STREAM
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
9272, -26302, 5558, -14127, -10105, -16430, 16724, -3234, -3664, -296, -293, 13
7878, -22250, 5694, -18510, -10714, -19381, 16518, -3340, -3728, -206, -457, -73
6818, -18524, 5094, -21636, -11799, -21703, 16504, -3380, -3920, 32, -456, -152
6264, -15264, 4192, -22068, -11747, -24406, 16662, -3308, -4118, 311, -474, -145
5312, -12060, 4336, -20690, -11353, -26813, 16758, -3284, -4274, 576, -390, -76
4206, -9308, 4236, -17741, -12342, -27963, 16734, -3254, -4220, 736, -287, -11
3906, -5938, 3376, -15472, -14146, -29028, 16638, -3098, -4136, 1021, -185, 104
3982, -4026, 1052, -12305, -15278, -30184, 16634, -3006, -3684, 1080, -267, 212
3994, -1910, -896, -7986, -15250, -30938, 16584, -2872, -3822, 731, -108, 317
4168, 384, -2662, -5884, -14628, -30757, 16650, -2874, -3796, 396, -43, 272
5314, 2242, -4440, -5315, -12740, -29243, 16678, -2992, -3676, 95, 222, 155
5584, 3622, -5538, -6071, -10897, -26401, 16686, -3106, -3864, -33, 377, 12
6296, 4830, -6484, -8412, -9755, -23000, 16642, -3300, -3800, 239, 464, 16
7270, 6078, -8514, -11026, -9389, -19504, 16526, -3476, -3500, 225, 505, -87
8316, 7508, -10570, -12185, -7428, -16399, 16692, -3212, -3644, -65, 466, -322
8716, 9700, -11426, -13182, -4357, -14207, 16742, -3028, -3488, 265, 454, -343
10342, 12770, -14114, -13401, -3520, -12979, 16756, -3058, -2906, 225, 518, -318
12582, 16880, -17176, -10859, -3133, -11224, 17074, -2918, -3286, -355, 543, -405
14868, 20870, -19222, -8427, -285, -7067, 17156, -3240, -3542, -26, 514, -222
16520, 22452, -21050, -5951, 1267, -2067, 16976, -4022, -2448, 531, 217, -239
17758, 22576, -22112, -2457, 1113, 2412, 17076, -3608, -2816, 269, -212, -385
17778, 21348, -20540, 2350, 2771, 6565, 16910, -2954, -3136, -271, -199, -307
15834, 19574, -16988, 5657, 4535, 10944, 17266, -2970, -3108, -748, -448, -192
14350, 16902, -14400, 7216, 5277, 15065, 17402, -3024, -3604, -1055, -960, -185
11646, 13668, -11288, 8272, 6468, 18209, 17336, -2948, -3946, -975, -1224, -19
9388, 10622, -8490, 9058, 7754, 20303, 17066, -2884, -4016, -810, -1263, -3
7788, 8350, -6260, 9181, 9345, 21906, 16938, -2984, -3856, -550, -1392, 38
5978, 5524, -3924, 9373, 10184, 23094, 16760, -3136, -4042, -319, -1003, 69
4566, 3734, -1782, 9527, 10095, 24176, 16568, -3220, -4046, -30, -780, 178
4780, 1754, -1802, 8631, 9606, 25720, 16486, -3094, -3524, 389, -652, 252
5466, -296, -1848, 8574, 10349, 27640, 16418, -3172, -3598, 30, -290, 234
3592, -2360, -390, 7553, 10493, 29143, 16496, -3164, -4108, 46, -177, 115
2904, -4544, -864, 6894, 8638, 28919, 16686, -3068, -3918, 348, -95, 61
4504, -6148, -1308, 9540, 9288, 28538, 16538, -3264, -3930, 652, -152, 65
4572, -7320, 146, 11161, 10815, 27576, 16354, -3446, -3918, 750, -110, -39
5608, -9768, 1890, 9733, 9508, 26811, 16510, -3206, -4060, 977, 13, -166
7064, -14200, 2226, 9909, 6742, 26451, 16568, -3060, -3830, 1008, 125, -259
8446, -17226, 2748, 9895, 4393, 25505, 16716, -3012, -3712, 915, -185, -444
9242, -22972, 2188, 8597, 1113, 24355, 16782, -2970, -3920, 1061, -27, -450
10454, -28650, 1272, 5673, -2202, 21121, 16788, -3118, -4092, 1505, 220, -348
