# ===========================================
# timeslice=1, slack=1, packetLoss=0 STREAM
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
9654, -3620, -8756, 20901, 3880, 32767, 16434, -3866, -4456, -1960, -2509, -1101
9472, -3984, -5514, 14897, 13998, 32767, 16702, -3814, -4878, -1854, -2977, -1237
7256, -6592, -1098, 3430, 17567, 26515, 16760, -3782, -5332, -1287, -2887, -1109
6470, -10532, 1858, -3254, 14973, 21471, 16570, -3842, -5782, -660, -2492, -1114
5716, -13568, 4350, -2321, 11410, 20099, 16234, -3994, -5968, -290, -2027, -1458
5702, -17006, 4956, 2369, 5582, 18402, 15822, -3926, -5826, 274, -1392, -1832
6828, -21188, 4232, 9605, 552, 17036, 15476, -3616, -5932, 1513, -578, -1836
7916, -24986, 2984, 16008, -1688, 14936, 15350, -3236, -6312, 2181, 216, -1412
8118, -28146, 2262, 15638, -3386, 9482, 15682, -3422, -6016, 2194, 543, -1202
8596, -30078, 1852, 9004, -4953, 2583, 15858, -3582, -5932, 1874, 672, -1269
8982, -30116, 736, -157, -5198, -4462, 15874, -3230, -6262, 1838, 510, -1220
8410, -28956, -238, -5459, -4207, -10707, 15788, -3196, -5486, 1985, -6, -1188
7324, -25648, -528, -6113, -2914, -16092, 15898, -3324, -5300, 1885, -114, -1224
6400, -21274, 92, -5331, -1774, -20905, 16202, -3096, -5320, 1554, -222, -1448
5926, -16938, 800, -4561, -720, -24306, 16304, -2744, -5330, 1145, -372, -1574
6110, -13334, 1142, -3620, -481, -26447, 16384, -2430, -5454, 919, -122, -1368
6802, -10032, 1476, -2601, -870, -27888, 16352, -2208, -5626, 1165, 569, -879
7150, -7038, 1252, -1737, -1683, -29086, 16462, -2016, -5718, 1422, 1337, -334
7244, -4020, 620, -663, -3077, -30051, 16524, -1998, -5698, 1689, 2040, 227
6956, -922, -166, 438, -4517, -31050, 16754, -2226, -5494, 1884, 2672, 589
6486, 2626, -776, 1044, -6205, -31779, 16962, -2664, -5076, 1879, 2918, 545
5960, 6108, -1312, -232, -7665, -31657, 17030, -3046, -5056, 2022, 3084, 251
6760, 8258, -1834, -2595, -8608, -31132, 16644, -3298, -4782, 2502, 3124, 131
7696, 9046, -2374, -3440, -8018, -31436, 16194, -3454, -4346, 3303, 2923, 172
6232, 9134, -2794, -1754, -7464, -32768, 15660, -3560, -3372, 3874, 2715, 265
5826, 10460, -2876, 2936, -5409, -32768, 16210, -3446, -2788, 3180, 2544, 173
4510, 13742, -3442, 6671, -5805, -32768, 17276, -2990, -3114, 2362, 2401, 249
636, 18194, -6438, 6423, -11533, -32768, 17902, -3088, -3440, 1729, 2432, 651
-2392, 22732, -9596, 5030, -13794, -32768, 18856, -3434, -3148, 1114, 2022, 675
-6764, 27726, -12312, 5623, -11882, -32768, 18752, -3484, -2838, 942, 622, 316
-9006, 32767, -13998, 4518, -9248, -32768, 17092, -2986, -2294, 378, -178, 336
-6554, 32767, -14242, -2418, -5210, -25901, 15746, -2620, -2354, -703, -537, 360
-5002, 32767, -13274, -4722, -1934, -14107, 15432, -2708, -2874, -1686, -827, 165
-6258, 32767, -11844, 1556, 1806, -3721, 16036, -3064, -4210, -2133, -863, -135
-6158, 32767, -9790, 6771, 4354, 3857, 16206, -4122, -3616, -1574, -422, 363
