# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
24896,2974,16006,12253,9065,6160,16226,-3544,1450,-9154,200,-2082
25280,-1756,19504,10091,4323,9442,16640,-3554,-408,-9671,558,-1584
24690,-6518,21266,7825,-1870,10093,16774,-3022,-42,-10182,-223,-1116
23930,-8852,22282,3974,-7743,8830,17832,-2684,-342,-9131,-142,-652
21624,-10026,22882,1027,-11963,6394,18314,-1978,-456,-8537,317,-254
18148,-9396,22368,-1683,-15225,3518,17964,-1376,-360,-8369,627,-341
15420,-8026,21824,-5324,-17384,1569,17920,-1276,-820,-8381,219,-489
12592,-6508,20452,-8341,-18597,367,17896,-1734,-1226,-8453,-108,-312
10258,-6106,17842,-10362,-19258,-137,17926,-2484,-1176,-7827,-1084,-207
9402,-5528,14854,-12532,-19185,-943,17768,-2592,-2268,-7772,-781,-287
8862,-4396,12362,-14085,-17834,-1845,17636,-2152,-2392,-8000,-305,37
8370,-3360,10418,-16167,-16196,-2020,17002,-1544,-2390,-8123,631,87
8120,-2182,8928,-18370,-14551,-1681,16644,-1596,-2182,-7782,1148,-8
7884,-1322,8040,-20027,-12486,-1459,16308,-2106,-2592,-8287,1441,117
8036,-268,6936,-20630,-10256,-1921,16402,-2422,-2522,-8361,2083,126
7950,1050,6072,-20833,-7666,-2958,16684,-2286,-1828,-8348,2486,-236
7730,2132,5494,-20573,-5048,-3996,17108,-1958,-1530,-8607,2294,-566
7544,3162,5004,-19697,-2549,-5021,17150,-2038,-1678,-8760,2669,-598
7830,4300,4348,-19585,-372,-5571,17418,-2352,-1612,-8941,2867,-741
8076,4590,3806,-20559,1702,-5474,17504,-2222,-1316,-9039,2673,-817
8272,4294,3616,-20698,4268,-5491,16626,-2090,-1168,-8895,2517,-731
9092,4440,3530,-19495,7054,-6129,15886,-2150,-1088,-8719,2296,-977
9646,4870,3558,-18169,9416,-7194,16254,-1742,-658,-8641,2325,-1167
9934,5262,3912,-16713,11689,-8132,16828,-1294,-330,-8786,2243,-1249
10188,5738,4256,-15499,13795,-8683,17660,-1988,-368,-8560,2196,-1692
11738,6338,4020,-13957,15891,-9333,19026,-3116,-232,-8014,1878,-2076
12838,6790,4924,-11327,19139,-10870,18914,-3542,-480,-7903,1809,-1377
12838,7038,7294,-8329,22092,-12461,16862,-4160,-642,-7742,2422,-648
12892,7622,8956,-5962,22796,-12857,16278,-4492,-726,-7223,2413,-698
14446,8754,9742,-3087,21981,-13101,16766,-3924,-558,-6792,2389,-855
16410,10156,9698,1002,20874,-13045,16376,-3162,-46,-6823,3778,-576
18156,11764,10208,4435,19611,-12056,16078,-2180,888,-7412,4289,-218
19502,11738,10590,8034,18400,-8812,16580,-2084,1278,-8806,4509,-378
20668,10618,13068,9456,15952,-3743,16840,-2924,930,-10565,4875,-1142
20712,8464,15498,9194,12163,1227,16728,-4296,512,-11207,5128,-1574
19984,5056,16542,10608,8017,5201,17296,-5480,1254,-11514,4805,-1374
20060,1270,17680,9582,4094,8975,17292,-5618,1328,-11909,4102,-791
19932,-2856,18886,5357,14,11559,16584,-5318,620,-11771,3273,-425
19814,-6930,19750,2443,-3499,11038,16486,-4850,628,-11321,2458,-308
18886,-9268,20406,1182,-6697,7762,16368,-4234,364,-10806,2453,-357
17134,-9778,20192,-91,-9924,3953,16174,-4030,410,-9989,2427,-529
15770,-8736,19840,-3101,-12986,1455,16170,-3844,92,-9362,2209,-829
14066,-7890,18922,-6540,-15057,-75,16054,-3628,-150,-9469,1668,-1032
12424,-6800,18334,-8989,-16426,-1434,16322,-3560,68,-9312,1019,-984
10902,-5758,16872,-10430,-17019,-2815,16630,-4128,-486,-9014,1026,-818
9890,-4718,15170,-11528,-16858,-3504,16612,-4696,-546,-8656,577,-864
9550,-3880,13376,-13577,-16453,-3304,16958,-4926,-488,-8617,685,-1374
9616,-3372,12460,-15880,-15160,-2918,16686,-4542,-752,-8331,938,-1448
9048,-2920,11562,-16918,-13672,-3012,16142,-4592,-124,-7856,1182,-1421
8624,-2156,10520,-17405,-12399,-3383,16608,-4860,-302,-7700,901,-1610
8726,-1100,9454,-18788,-10864,-3426,17478,-4374,206,-8212,1284,-1782
8822,-218,8978,-20058,-8762,-3486,17128,-3010,854,-8352,1272,-1727
8550,442,8212,-20198,-6728,-4155,15306,-3000,1064,-8438,930,-1410
8152,1284,7582,-19614,-5064,-4852,14108,-3626,-54,-8316,41,-1416
7556,2064,6702,-19572,-3579,-5091,14836,-4276,-156,-7839,-265,-1348
7446,2780,5728,-19713,-1961,-5250,16042,-4424,-90,-7378,-300,-1156
7820,3496,5108,-18775,558,-5963,16496,-4262,546,-7039,-645,-949
7642,4382,4362,-16618,3471,-7007,16482,-3650,-366,-6810,-501,-832
7766,5036,3584,-14360,5956,-7589,16914,-2876,-484,-6551,158,-721
8980,5956,3196,-13573,8408,-7420,17698,-2244,436,-6675,482,-975
10354,6312,2896,-12919,11375,-7107,18102,-1640,724,-7018,909,-1131
11784,6776,3462,-10426,14642,-7941,17904,-1116,860,-7837,1604,-1027
12718,7808,4640,-6785,17756,-9389,17838,-1000,970,-8907,2077,-836
13486,9292,6406,-3897,19805,-9877,18026,-1186,1172,-9619,2349,-929
14784,10286,9118,-1417,20748,-9177,18206,-1652,330,-10310,2517,-1269
15320,10488,10556,2026,20027,-8303,18214,-2168,328,-10711,2544,-1493
17084,10238,11784,4126,17779,-6604,18296,-2530,214,-10586,2363,-1546
19316,9138,12698,3577,15662,-4277,17554,-2736,-102,-10107,2191,-1452
19210,7484,12926,6887,13086,-3050,16576,-2294,232,-10167,2858,-1325
19740,6446,12840,9591,10437,-1831,16210,-1604,354,-10378,2504,-1146
19614,5934,14194,8640,7689,715,16072,-1716,44,-10317,1882,-959
19054,4354,14774,7925,4598,3476,16534,-1954,636,-10151,1170,-1174
18994,2188,16158,6665,1278,6100,17470,-1974,956,-10438,821,-1111
19134,-68,18202,3665,-2129,7655,17478,-2260,244,-10235,1012,-1008
18750,-2766,18518,2036,-6047,7189,17402,-2080,226,-10018,1080,-888
18436,-4680,18354,300,-9812,5582,17454,-1754,-78,-9636,1083,-879
17394,-5632,18448,-2206,-12481,3769,17232,-1616,18,-8724,1125,-758
15360,-6150,17168,-4285,-14844,1659,16690,-1302,150,-8579,973,-724
14014,-5506,15976,-5748,-16276,-467,16968,-1044,380,-8702,1316,-598
12436,-4576,14748,-7639,-16353,-1793,17024,-1512,328,-8742,924,-476
10876,-4004,13898,-10097,-16123,-2408,17096,-1906,-416,-8563,275,-723
9922,-3614,13264,-12708,-15668,-2864,17682,-2162,-930,-8325,196,-1040
9284,-3234,12118,-14531,-14747,-3703,18176,-2646,-1154,-7934,812,-783
8754,-2848,11168,-15717,-13237,-4451,16876,-2822,30,-7978,758,-475
8526,-2224,10524,-16701,-11701,-4781,16320,-2952,-568,-8307,973,-586
8612,-1864,9456,-17675,-10499,-5298,16152,-3424,-828,-8944,1684,-404
9004,-1380,8932,-18582,-9123,-5603,15538,-3942,-484,-9319,2119,-147
9128,-1136,8532,-19346,-7638,-5785,15546,-4606,-768,-9556,2274,-15
9196,-948,7730,-19836,-6590,-6392,16160,-5338,-916,-9150,2970,207
9458,-258,6818,-20345,-5197,-7130,17032,-5844,-898,-8344,3779,233
9176,440,5662,-20319,-3066,-7782,17762,-5692,-612,-7686,3625,164
8842,1568,4588,-19716,-295,-8295,17388,-5030,-168,-6962,3752,235
9048,2558,3824,-19564,2772,-8155,15996,-4932,-84,-6955,3341,-467
9162,3398,3710,-18974,5842,-7870,15736,-4658,276,-6953,3207,-893
9158,3944,3704,-17190,8654,-8047,16006,-4438,748,-7224,3283,-921
9974,4860,4110,-15047,11515,-8124,16234,-4414,554,-7887,2907,-1059
10368,5170,4732,-13142,13993,-7465,16072,-4750,586,-8127,2801,-1056
10842,5336,5184,-11789,15615,-6496,15740,-4964,460,-8049,2968,-1065
12258,5616,6200,-9742,17282,-6402,15718,-4834,704,-8132,2647,-1140
12786,6278,7810,-6050,19203,-7458,15642,-4896,836,-8182,2227,-1153
12700,7304,8370,-938,19762,-8595,15826,-5338,1320,-8096,2223,-1213
14020,8716,8480,2695,19087,-7960,15754,-5346,1698,-7928,1806,-1423
15816,9450,9272,4320,18528,-5792,16068,-4640,1962,-8234,1450,-1464
17800,8308,10604,5469,17637,-3128,17276,-4264,2382,-9078,1329,-1525
18588,7202,12824,7404,15376,-768,17738,-3850,1824,-9057,1824,-1849
19030,6106,14850,8361,12420,1243,16762,-3684,2344,-9277,1525,-2318
18964,4330,16064,9609,9021,3669,15560,-3860,2134,-9753,745,-2492
18990,2518,16526,9049,4777,7041,15018,-4314,1720,-9989,189,-2280
19840,480,19678,6164,1709,9693,15274,-4974,1578,-9834,-681,-1834
19422,-2650,21556,3724,-2558,10939,15916,-5386,234,-8554,-1295,-1532
18710,-4892,21840,1700,-7894,9877,16654,-5056,20,-6957,-1863,-1443
17846,-6016,20278,312,-11869,7619,17356,-3858,2,-5781,-1829,-1215
16358,-6018,19142,-972,-13884,5381,17660,-2318,450,-5245,-1361,-951
14294,-5206,17526,-1900,-15491,3407,17540,-1458,12,-4818,-780,-1038
12878,-3898,16166,-3834,-16661,2008,17224,-908,560,-4892,-408,-1165
11742,-2694,15124,-6190,-17027,1397,17256,-564,638,-5307,-110,-1151
10812,-2006,14400,-8995,-17006,1012,18126,-582,114,-6098,-121,-958
10060,-1738,13460,-11261,-16665,37,18646,-1050,-422,-6472,-71,-796
9754,-1764,12184,-12140,-15835,-1202,18442,-1416,-476,-6663,-161,-708
9016,-1114,10844,-13016,-14800,-2387,17872,-1408,-1158,-7087,-110,-685
8294,-312,9316,-13519,-13427,-3059,17480,-1402,-1354,-7693,231,-745
8032,1204,7376,-13952,-12026,-2898,16946,-1652,-1222,-7979,351,-880
8462,2214,5540,-14271,-10362,-2313,16656,-1732,-944,-7847,507,-950
9094,2800,4290,-14405,-8065,-1731,16522,-1274,-892,-7957,618,-1083
10178,2592,4146,-14589,-5605,-1404,16628,-1098,-1106,-8059,1013,-1166
10926,1582,4358,-14920,-3848,-1721,16760,-1452,-984,-7866,1298,-1095
11428,772,4898,-15144,-2470,-2726,16800,-1690,-1026,-7565,1357,-1008
11472,-48,4814,-15128,-1084,-4226,16936,-1696,-988,-7309,1386,-892
12164,-26,4096,-15026,211,-6005,17062,-1652,-814,-7237,1361,-862
12116,580,3960,-15017,2109,-7796,17208,-1286,-698,-7220,1348,-719
10826,1150,3830,-14687,4210,-9323,16456,-1082,-652,-7162,1330,-710
10374,2040,3456,-14880,5908,-10300,16662,-1294,-764,-7307,1724,-888
10922,3374,2830,-14711,8162,-11403,17978,-2078,-210,-7248,1908,-923
11060,4696,3028,-13068,11285,-12839,18350,-2778,454,-7077,1708,-652
10310,6028,3400,-11268,14193,-13410,17774,-2876,-34,-7204,2218,-362
10558,7114,4138,-10321,16646,-12655,17328,-3168,-146,-6906,2341,-232
12130,8536,4858,-7929,18983,-12299,17340,-3344,762,-6744,2043,-264
13758,10238,6636,-3587,21094,-12308,16880,-2886,902,-7065,2463,-92
14476,11048,8264,321,21650,-11291,16196,-2678,1390,-7929,3180,-154
16272,10922,10024,3282,20054,-8544,16334,-3238,1468,-9189,3361,-406
18650,9966,11674,4773,16778,-4767,16668,-3778,1302,-10344,4043,-432
20544,7280,13894,5928,13491,-900,16846,-4124,1746,-11372,4218,-211
21818,3918,14500,6340,9262,2316,16962,-4940,1504,-11747,4078,-150
22516,340,14764,6125,4809,4328,16808,-5986,1480,-11608,3847,-168
23370,-3416,16296,4422,1316,5678,17210,-5594,1722,-11680,2701,94
22862,-6446,17074,1237,-2273,5543,16886,-4798,890,-11337,2368,303
21134,-8304,17692,-1186,-5622,3493,16292,-4276,216,-10919,2073,164
19094,-8658,17500,-2600,-8308,1346,15982,-4084,344,-10907,1840,-72
16950,-8226,16594,-4164,-10468,-450,15928,-4026,468,-10499,1333,-472
15112,-6592,18462,-8199,-10894,-1053,15868,-4136,-454,-10257,1236,-755
12462,-6538,19522,-12085,-11527,-1319,15820,-4836,-410,-9569,569,-1022
10272,-6780,20428,-13260,-12621,-2794,15678,-5580,-1026,-9197,-125,-1714
8820,-6072,19992,-13059,-14120,-4461,16338,-5356,-1668,-8814,-215,-1551
8120,-4900,17394,-13611,-15741,-5037,16450,-5140,-1446,-8319,102,-1077
8006,-3954,15002,-15240,-15952,-4468,15834,-4686,-1082,-8147,576,-905
7550,-3472,12778,-16939,-15412,-3782,15732,-4374,-988,-8111,770,-1127
7498,-2578,11138,-17855,-14111,-3825,15878,-4664,-1012,-8265,700,-1212
7658,-1528,9348,-18155,-12139,-4465,16508,-4924,-1320,-8516,1341,-1312
7758,-160,8146,-18216,-10128,-5284,17396,-4466,-784,-8839,1236,-1496
8020,1206,7644,-19868,-8070,-5348,17696,-4210,-470,-8273,1803,-1356
7834,1734,6508,-21176,-5835,-5318,17910,-4276,-206,-7971,1456,-1566
7816,2618,5646,-20164,-3424,-6216,16338,-4640,-412,-7657,608,-1813
8114,4164,5042,-18291,-796,-7406,15136,-4728,-780,-7272,360,-1651
7762,5460,4100,-17031,1744,-7738,15544,-4250,-920,-6789,358,-1224
8280,6388,3068,-16790,3644,-7065,16588,-3888,-84,-6943,670,-1018
9160,6840,2454,-16528,5942,-6129,17790,-3308,734,-6860,1076,-733
10148,7260,2352,-14725,9024,-6442,17526,-3064,360,-6750,1332,-529
10584,8014,2960,-11215,12577,-7972,16592,-2708,136,-6334,2004,-593
11396,9558,2954,-6369,15709,-9466,16406,-2366,1644,-6576,1862,-1034
13172,11922,2864,-2214,17437,-9814,17390,-1620,2622,-7716,1425,-1012
15496,12980,4992,-453,18832,-7920,18124,-1024,1130,-8668,1947,-743
17594,12724,8498,1296,19671,-5783,18182,-1832,1038,-8967,2046,-1022
18876,10938,10608,6025,18241,-4983,18260,-2986,742,-7726,1955,-2039
21312,9582,11234,9156,14986,-4043,17666,-3094,814,-7269,1656,-2130
23258,7570,13088,9715,11757,-564,16908,-2652,618,-7165,1742,-1316
24210,4900,15010,7946,8413,2332,16542,-2692,-276,-6564,1269,-839
22984,2058,15162,8739,4024,3599,16226,-2324,444,-7082,535,-554
22996,1026,15594,9058,194,4939,16706,-1814,832,-7399,-138,-381
21618,-550,16558,6274,-3019,6921,17476,-1416,476,-7131,144,-258
19336,-2772,16168,2591,-6778,8245,17620,-1194,420,-7615,419,-124
18194,-4644,16654,-1056,-10010,8371,17408,-1018,380,-8542,535,-273
16858,-6038,17370,-3887,-12024,7098,17332,-1200,-320,-8399,611,-472
15166,-6582,17434,-5557,-13699,4775,16936,-1162,-550,-8429,849,-527
13460,-6628,16300,-7393,-14982,2469,16786,-1040,-428,-8556,124,-658
11818,-6238,15118,-9823,-15641,1007,16600,-828,-488,-8878,-214,-1192
10696,-5952,13754,-12745,-15973,203,16582,-722,-1092,-9159,207,-1024
10230,-5598,12046,-15373,-15682,-603,16856,-1384,-1090,-9588,-13,-1121
9672,-4600,11138,-17399,-14062,-1779,17608,-2052,-1682,-9865,668,-902
9228,-3974,10800,-18683,-12279,-3021,18220,-2018,-1450,-9836,1288,-654
8870,-3168,9734,-20206,-10843,-3794,18678,-2504,-1922,-9835,1710,-335
8840,-2494,8262,-22074,-9208,-4177,17806,-3182,-1500,-9542,2406,-65
8610,-1812,7180,-23030,-6954,-4795,16190,-3458,-1074,-9966,2571,82
8650,-854,6562,-22943,-4733,-5655,15194,-3962,-1488,-10409,2855,203
8748,194,5932,-22674,-2616,-6521,15050,-4638,-1316,-10546,3784,126
8558,1078,5482,-22675,-561,-6849,16264,-5356,-1064,-10466,4527,303
8052,1454,4746,-22326,1573,-7047,16344,-5690,-1268,-9789,4189,792
8996,2374,3892,-20818,3959,-7628,16648,-6636,-1128,-8506,4764,1173
10036,3620,3600,-18905,6825,-8524,17256,-6278,-62,-7829,3986,659
10224,4882,3758,-17411,9971,-9082,17158,-5472,388,-7219,3182,303
10532,5724,3684,-14874,12359,-9281,15744,-5836,374,-6967,2747,-243
11214,6850,2956,-11914,13621,-9229,15430,-5764,388,-6787,2370,-793
12392,7438,3116,-10441,14794,-8621,15688,-5084,454,-6897,2176,-875
13292,7176,4536,-8772,16114,-7972,15346,-4820,322,-7316,2050,-954
14426,7022,4574,-5009,16225,-8337,15542,-4984,-42,-7778,2096,-1358
15898,7962,5076,-1087,16275,-9278,16362,-4922,290,-7368,2178,-1543
17076,8688,6626,2467,17028,-9849,16802,-4796,1154,-7697,1900,-1493
17818,8164,7952,5623,16550,-8777,16520,-5074,820,-8261,1856,-1472
18894,7254,8948,5668,14034,-6226,16038,-5332,-34,-7516,2426,-1810
19762,5986,9478,7917,12055,-4232,16226,-5090,244,-6435,1720,-2058
20996,4002,11568,10836,11228,-3439,16352,-5108,1576,-7049,1033,-1647
21340,3658,13746,11052,8813,-2715,16196,-5854,876,-6916,966,-1182
21722,3774,15068,10543,5262,-1132,17008,-5140,1164,-6792,921,-1096
22130,3550,16558,9079,1784,1891,17962,-3716,2426,-7301,383,-780
21726,2498,18334,6339,-1027,5323,17058,-2904,1514,-7150,72,-645
20302,304,18920,4402,-4709,7592,15868,-3010,1172,-7170,-685,-682
19040,-2016,19008,2158,-8859,9117,15300,-2644,572,-7656,-1260,-591
17820,-3578,18040,-1086,-13004,9764,15828,-2138,-484,-7732,-941,-367
16694,-4926,16116,-4752,-16235,9523,17310,-1728,270,-7260,-141,-325
15722,-5638,15668,-8348,-17265,8252,18472,-2026,-250,-7184,528,-603
13680,-5704,15726,-10084,-16734,5239,18178,-2090,-20,-7787,-302,-962
11772,-4924,15472,-10509,-16501,2387,17908,-1892,-1142,-8080,461,-1071
10606,-4016,14468,-12913,-16695,1280,17824,-2080,-968,-8188,785,-985
10134,-3480,13022,-16710,-16399,824,17608,-2724,-1016,-8001,859,-1167
9292,-3046,11492,-18171,-15081,-757,17382,-2844,-1092,-8475,1523,-1034
8532,-2050,9798,-17519,-13071,-2501,16920,-2554,-1276,-8693,1551,-708
8234,-394,8544,-18668,-11173,-2998,16808,-2762,-1318,-8336,1363,-542
7692,358,6562,-20775,-9584,-2924,16996,-3190,-1980,-7880,1161,-425
7486,1238,5162,-21799,-7612,-3727,16770,-2922,-1516,-7255,2332,82
8202,2598,4584,-21591,-4538,-5121,16854,-2506,-590,-7070,2216,-207
7872,3926,4150,-20000,-1317,-6596,16678,-2084,-260,-7441,2067,-495
6924,5260,4072,-18647,1346,-7431,16408,-1898,-166,-7873,2426,-677
7000,6714,3720,-18710,3154,-6809,16518,-2188,-506,-8044,2460,-1002
8110,7304,3040,-19447,4754,-6037,17134,-2492,-410,-7883,2842,-1135
8914,7490,3092,-18726,7568,-6389,17352,-2470,622,-8131,2716,-1118
9208,7758,3090,-16048,11131,-7535,16678,-2534,248,-8264,2687,-1156
10350,8900,2848,-12409,14259,-8332,16498,-2694,622,-8037,2510,-1392
11166,10110,3080,-10024,16640,-8366,16790,-2278,816,-7784,2032,-1427
11818,10542,4086,-8209,18579,-8242,16674,-1948,586,-7851,2143,-1141
13428,11006,5076,-4822,19940,-8286,16290,-1802,1418,-8110,1986,-1059
15760,12480,6552,-290,20916,-8412,17204,-1392,1174,-8371,1750,-1298
17576,13666,9076,3819,21488,-8395,17324,-1066,1228,-9134,2328,-1316
18346,13600,11110,7138,20223,-6838,17408,-1586,1608,-9822,2455,-1516
19684,12960,11488,8613,16483,-3739,17732,-2368,1630,-9489,2703,-2084
21386,11424,12624,10588,12703,445,18132,-2866,1576,-9377,2082,-1957
22656,7672,14230,10092,9313,5190,17254,-3400,1294,-9575,2253,-1123
22040,2700,14770,9351,5255,8757,16152,-3802,994,-9745,2519,-448
21602,-1672,16376,8262,1527,10776,16626,-3228,1410,-10212,1447,-148
21124,-4742,18302,4157,-2356,11580,16556,-2836,640,-11074,1362,310
19988,-7764,19800,427,-5918,11177,16352,-3112,432,-11547,2291,358
18260,-9228,20010,-1497,-9549,8823,16806,-4124,334,-11515,2780,184
16556,-9214,20138,-3290,-11787,5916,17124,-5286,204,-11626,2547,434
14442,-8820,19766,-6737,-13494,3815,16558,-6254,-540,-11146,2178,543
12626,-8902,17852,-9340,-15175,1982,16702,-6312,-34,-10074,1879,341
11752,-8048,15860,-10847,-15729,41,17444,-5250,10,-9285,1053,-25
10982,-7118,13476,-12543,-15383,-1317,17078,-4414,-362,-9584,1104,-270
