# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
8986,-5558,-2322,67,-10510,-4062,16138,-74,-5012,13626,-5021,-1865
8552,-5352,-3640,-1917,-10446,-5481,16144,222,-5422,13692,-4613,-2154
8340,-5002,-4700,-2181,-9774,-6926,16278,-124,-4530,13306,-4187,-2354
7740,-4410,-5010,-2244,-8229,-7926,16224,-484,-4850,13050,-4132,-2163
6518,-4050,-5636,-2704,-7555,-9005,16080,-308,-5252,12797,-3741,-1962
5946,-3356,-6274,-2384,-7114,-10924,16536,8,-5386,12457,-3474,-1789
6072,-1634,-8132,-1552,-6102,-12482,16972,46,-5160,12290,-3149,-1667
6216,-556,-9404,-1482,-4391,-12747,16608,-474,-5018,12398,-2588,-1640
5606,354,-10164,-1730,-2363,-12256,16586,-772,-5164,12549,-2261,-1777
5394,1350,-11050,-313,-288,-12234,17266,-950,-5000,12829,-2387,-2091
6088,3450,-11568,1375,1946,-11341,16990,-886,-5230,13082,-2299,-2252
6024,6190,-10618,-319,4016,-8632,16682,-934,-4958,13396,-2115,-2419
6036,5978,-10092,-3581,6535,-6325,17124,-1240,-3772,13870,-1784,-2433
7452,5290,-9404,-2488,9637,-6863,17480,-1910,-3686,13248,-1411,-2422
8034,6258,-8002,-338,13342,-9081,16558,-2454,-3820,13048,-928,-2116
8682,7280,-6942,424,15976,-10445,14744,-2534,-3064,13526,-713,-1624
10194,8624,-5612,1226,16709,-10374,15000,-2338,-3968,12967,-103,-1465
10904,9400,-3656,2571,17827,-10133,17382,-2488,-4774,12636,768,-1984
11902,11244,-3244,3933,18085,-10282,19352,-3242,-3884,13948,901,-2489
13158,12412,-3260,4528,18220,-9017,18976,-3928,-3502,15049,914,-2271
12772,12454,-1556,6468,19699,-6704,18450,-4082,-4430,15033,512,-2035
13878,13506,-316,6627,20411,-4246,18184,-3888,-4552,14767,-565,-1496
15364,13102,1000,6028,20867,-2104,17730,-3226,-3986,14136,-1662,-1043
14328,13080,3322,8690,22403,-1391,16986,-2712,-3906,13888,-2372,-631
14218,13932,4778,9866,23056,-169,16322,-3102,-3946,14724,-2407,-726
15186,13234,5588,9554,22701,2725,16220,-3466,-4382,15736,-1615,-1259
13744,12570,6768,12840,22851,2535,16788,-3156,-4160,16275,-1591,-1616
11394,14362,7634,17244,23195,445,16858,-2882,-3982,17024,-1348,-1417
10720,16012,8540,19115,24943,1896,16806,-3176,-3956,17403,-1677,-1227
9242,16270,10472,18787,27000,7013,16874,-3726,-4008,17844,-2356,-1055
7250,16222,13454,20240,27371,11045,16334,-3724,-4304,18928,-2593,-883
8372,16626,15396,23057,27684,13408,15330,-3506,-4266,18861,-2545,-604
11720,15644,17962,23443,28895,20343,15562,-3800,-4332,18475,-2723,-828
10726,13044,20566,23797,27470,26569,15860,-3472,-5266,18541,-2866,-1071
9652,12100,22730,28983,25432,25217,17280,-3222,-4460,19284,-3233,-1312
11698,14256,24784,32183,23885,25328,18474,-3572,-3696,18770,-3157,-751
11832,14076,27178,29175,20748,32561,18700,-4038,-3718,19430,-3380,-576
9876,11294,27520,28667,16025,32767,18716,-3018,-3004,20608,-3061,-226
10732,10462,26914,32696,12104,32767,18382,-2336,-3218,19821,-2525,420
11942,11084,27914,31750,9567,32767,16940,-2686,-3750,18623,-2830,953
11208,9202,28330,26878,4253,32767,17720,-3080,-3906,18293,-2374,1178
12066,6776,26666,27013,-1605,32767,18708,-2430,-3810,18493,-1868,1684
13666,5452,24698,26816,-5646,32767,18274,-1098,-3158,18757,-1671,1602
13896,3608,23130,23258,-9272,32767,17488,-436,-1978,19370,-1452,816
13764,2498,21922,21470,-13329,30443,16702,-508,-1262,18988,-1287,-74
14676,2688,20478,20565,-16587,25739,16474,-398,-2382,17353,-1632,-491
15300,2726,19352,17109,-18334,24055,16728,-312,-3768,17323,-2136,-88
15282,542,18056,11932,-19718,22974,16656,-250,-3878,17603,-3086,-74
14882,-1844,15464,9512,-21186,18568,16752,-128,-3248,17008,-3512,-258
15078,-3226,13270,8869,-21339,13488,16508,98,-3122,15735,-3939,-613
14166,-5084,11954,7300,-20642,10503,16118,224,-3664,14792,-4466,-761
13114,-6176,9766,4633,-21589,6799,16542,-296,-4978,13924,-5105,-1000
13410,-6780,6904,4942,-22185,1522,17106,-526,-5130,13539,-5288,-1358
12864,-6206,5712,6298,-20216,-612,16556,-328,-4444,13182,-5009,-1556
10958,-5436,4142,2901,-19111,-338,16188,-116,-3852,13072,-5466,-1777
11064,-5336,2386,-178,-18531,-513,15828,-12,-4508,12645,-5649,-1911
9840,-5780,2044,-809,-16417,179,15846,230,-4384,12348,-5211,-2150
8772,-6394,1364,-2098,-14523,1010,16132,670,-3982,11435,-5508,-2030
8548,-6716,-194,-3028,-13787,-1165,16018,708,-4012,10927,-5501,-2107
8426,-6200,-696,-2283,-12226,-3986,16612,518,-3782,10791,-4834,-2094
7806,-6030,-1722,-1828,-9791,-6137,17360,-134,-3296,10402,-4601,-2007
6584,-5520,-2726,-621,-7884,-8522,17474,-1194,-3790,9778,-3774,-1860
5618,-4756,-3156,217,-6958,-10595,17844,-1656,-3460,9407,-2645,-1437
4960,-3396,-4062,377,-6943,-11729,17370,-1586,-3538,9126,-2267,-1208
4578,-1564,-6134,-303,-6900,-12442,16206,-1334,-3736,9012,-2018,-1228
5646,-784,-7378,-1275,-5772,-12038,15428,-1166,-3814,8781,-1846,-1469
6366,150,-8358,-1896,-3344,-10953,15808,-1146,-3684,8865,-1979,-1662
7284,1368,-8496,-2039,-1542,-10430,17080,-1786,-3872,8571,-1554,-1646
7752,2544,-8502,-2508,260,-9657,19016,-2864,-3988,7987,-944,-1632
8372,3506,-8510,-3938,1789,-8190,20170,-3836,-4228,8171,-287,-1381
9330,4036,-9488,-4347,3041,-7899,19416,-3866,-4322,8281,-260,-1228
9818,4670,-9300,-3783,5993,-8690,17702,-2864,-4308,8539,-414,-1000
9058,4488,-8110,-2632,9720,-9660,16694,-2362,-4420,8246,-699,-736
9272,6044,-8590,-2274,11142,-11600,16600,-2598,-4220,8232,-1087,-771
9734,7316,-7444,-2227,13213,-11639,16946,-3182,-3420,7923,-1108,-638
9274,8422,-5420,-1849,16992,-8575,17048,-3588,-3902,8149,-1102,-471
8846,9310,-4682,-2310,19261,-6027,16360,-4150,-4682,9419,-947,-167
10052,9772,-3800,-3003,19578,-4987,16052,-4098,-4162,10547,-905,-164
9808,9910,-1548,-1320,22032,-4955,16060,-3656,-5402,10461,-267,37
9792,11342,-1010,255,23237,-5414,16642,-3874,-4812,10928,-705,-161
11094,12940,-462,1162,23009,-5206,16896,-4184,-3974,11865,-866,-467
10468,13992,1426,3117,25855,-5259,16982,-3566,-4616,11915,-432,-545
8664,16136,3036,6458,28363,-6343,16694,-3526,-3908,11077,-376,-670
10068,19240,3892,8540,28888,-4831,16802,-4026,-2780,11036,-1521,-1185
10962,20198,6476,8469,31187,2025,15984,-4234,-4960,11524,-1300,-728
10240,20426,9760,8942,32767,9345,15970,-3898,-5312,12236,-543,-912
10136,20384,14466,11033,32767,14352,16846,-4284,-3814,13549,-951,-1682
10724,19158,19506,13972,32767,18591,17874,-4412,-2888,12781,-964,-1390
10538,17440,21956,14089,31603,23748,17450,-4218,-3800,12871,-680,-897
9008,15356,21980,16796,26597,23725,16956,-3464,-3724,14753,-677,-592
8336,15608,23030,21225,25719,22393,17222,-2940,-3726,15429,-319,-71
7796,16016,25100,20175,22867,27707,17694,-2928,-3566,14990,-1044,21
6598,14120,24340,18963,18204,31229,18256,-1808,-3622,15825,-1168,-95
6598,13506,25236,22326,16380,31203,18504,-444,-1706,16104,-320,231
7038,13040,26868,20355,13362,32767,17684,-202,-1854,16643,501,-438
5696,9774,26804,16377,7184,32767,17668,-1016,-2782,16190,1820,-1150
7140,7256,25882,17302,949,32767,17282,-1424,-2242,16212,1856,-638
9892,6856,25158,19304,-2219,32767,16730,-1148,-2232,17424,505,244
9908,6026,24666,17557,-5935,32561,16506,-916,-2460,18566,-840,784
10710,4010,23320,17104,-9607,30868,16222,-662,-2190,18543,-1922,846
11270,2674,22414,16581,-12570,28415,16102,-44,-2384,17949,-2905,-102
12118,728,21170,14225,-15793,27471,16186,70,-2904,17428,-3444,-1074
12714,-1538,18650,12001,-18830,24678,16410,-424,-2932,16788,-4132,-1453
13506,-3082,16132,12384,-20180,18744,16608,-282,-2726,16119,-4521,-1627
13934,-2948,14114,13315,-20221,13823,16434,296,-2614,15683,-4714,-1446
13890,-3024,12582,12493,-20589,11367,16088,556,-3094,15525,-5341,-1273
13460,-3060,10794,10531,-21315,9631,16364,426,-3762,15207,-5580,-967
14034,-3250,8594,9276,-21509,8047,16934,266,-3798,14801,-5811,-763
