# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z
8506,10498,13274,1204,13480,-10990,17894,-4470,-2954,-14679,3252,102
8158,12240,13426,3869,13277,-12492,18110,-3980,-1456,-15028,3235,-651
9026,13606,14692,4430,13265,-11227,17968,-4242,-1210,-15255,3736,-1883
8584,12978,15468,4192,11654,-9648,17170,-4194,-1772,-15009,4107,-2609
7724,13164,15712,7253,10352,-9875,16208,-3888,-1674,-15123,4488,-2332
8798,15264,15476,11058,10029,-9897,15256,-3338,-534,-16663,4219,-1941
10176,18008,16280,11848,9916,-7038,15528,-2598,-1064,-18391,3411,-1963
11154,18740,18472,9620,9330,-1606,16376,-2484,-1264,-19337,2723,-2005
12082,18176,21146,10464,7950,3537,17320,-2736,-1764,-19448,1645,-1965
13238,18186,23706,11152,6396,7879,17644,-2876,-1948,-19895,992,-1443
14180,16988,27180,8818,2984,12969,17494,-3074,-2332,-20082,705,-985
13698,13914,29836,6213,-2816,16841,16974,-3330,-1992,-20367,749,-979
13356,11610,30050,6138,-9869,18334,17808,-3128,-1922,-20779,462,-1004
13788,11050,29740,3127,-16158,19625,19258,-2380,-1864,-20466,522,-866
12750,8890,28318,-2963,-21690,21629,18126,-1930,-2104,-20726,750,-315
10916,7390,25434,-6400,-26302,21796,15780,-1962,-2096,-20334,-270,-270
9106,7740,22608,-10515,-29834,21689,14576,-2534,-2230,-19834,-1498,-201
7714,7396,19182,-15576,-32194,21878,14374,-3936,-3474,-18930,-2824,401
7158,7210,16218,-19859,-32570,20320,15362,-5338,-2968,-18153,-3827,1034
6440,7602,14274,-22829,-31076,17174,17790,-4686,-4552,-17747,-3120,2575
5850,7726,12124,-25264,-29322,14498,18382,-3452,-4842,-15943,-2556,3499
5318,6912,10152,-27271,-27624,13486,17468,-2886,-4602,-15432,-2260,3342
4964,5758,7858,-29174,-26318,13623,16116,-2644,-4874,-15164,-2185,3055
5644,4082,5262,-31753,-24631,13547,15080,-2668,-4670,-14427,-2025,2501
6426,2408,2706,-32768,-21676,12211,15116,-3144,-4888,-13844,-1169,2070
7056,1282,1552,-32768,-17383,9875,16298,-3116,-5080,-14011,-302,1473
7542,1444,2098,-32768,-12628,7320,18432,-2762,-4712,-13388,1473,887
8040,2422,3060,-32768,-9536,5120,19460,-2514,-4034,-13801,2937,721
8590,2750,3316,-32768,-7437,3392,19984,-1884,-4772,-14171,2983,588
9660,3476,3656,-32768,-4454,2473,18600,-1618,-6120,-14223,2951,910
10348,3670,3104,-32768,-3494,1147,16750,-1646,-5798,-14114,3099,1263
11140,4040,2612,-32768,-3303,147,15668,-2014,-5620,-14258,3576,1252
11234,4358,2222,-32768,-2789,-1684,16082,-1984,-5442,-14565,4573,920
10610,4708,1824,-31290,-1815,-3330,17092,-2040,-5106,-14587,5757,585
10726,5518,1104,-30471,-993,-4100,17566,-1598,-4794,-14893,6730,339
10560,5926,174,-30404,-233,-4540,17584,-1242,-4724,-15245,7051,361
9914,6198,-40,-30543,1024,-5249,16898,-1156,-4724,-15154,6965,541
9820,6682,134,-30694,2670,-5471,16230,-1580,-4990,-14967,6747,651
10788,6438,104,-31392,4141,-5660,15814,-2214,-4534,-14152,6556,529
10694,6056,442,-31240,6094,-6965,16192,-1906,-4416,-13818,6584,481
10682,6528,1426,-30594,8815,-8478,16214,-1428,-4236,-13894,6432,666
10780,7562,2900,-30653,10613,-9039,16258,-1034,-3884,-14162,6216,503
10212,8348,4600,-31614,12231,-9661,16236,-988,-3462,-13629,5752,106
8976,8928,5638,-30474,13507,-10390,16768,-1358,-1382,-13271,5760,-357
9340,9836,5542,-29496,15018,-10598,19304,-2158,1218,-14565,5881,-912
9510,9406,5724,-28009,17414,-11547,22334,-3522,-336,-14310,6216,-468
9188,9844,7236,-26293,21020,-14204,20980,-4328,-2196,-11485,6576,-131
8200,10690,10056,-23654,24138,-16821,17104,-4040,6,-10898,6020,266
7526,11702,12300,-20047,24026,-17284,15038,-3394,370,-12291,5897,778
8062,11876,13258,-18210,21458,-16784,14232,-3598,-1920,-13938,5298,1404
7992,11268,12862,-15178,20904,-18773,15210,-4470,-648,-14704,4007,1477
7956,12708,12728,-9336,20970,-21109,17108,-4236,1928,-15802,2882,941
7678,14794,14142,-6408,19352,-20315,18062,-3066,1328,-17083,4529,926
7466,14660,14498,-5081,15988,-18032,17612,-2834,680,-18323,7252,826
7804,14802,14118,-2419,13672,-17404,16422,-2472,168,-18786,9018,235
9418,16152,14902,1610,14124,-17432,15664,-2402,-894,-21029,8548,-321
10270,17656,17412,4195,13399,-15370,14460,-3654,-2334,-21837,7251,-360
10852,18184,21086,5267,10167,-11162,14082,-4628,-2866,-22446,6838,-648
12298,17116,22284,6419,5594,-7456,15118,-5612,-2020,-23237,6690,-1327
13792,15884,21058,9531,2193,-4725,16602,-6730,-590,-23075,5392,-2612
15018,16246,18890,10096,2,-1698,17230,-7072,76,-22128,4098,-3167
15862,15468,19130,7377,-711,3263,17742,-7506,-726,-21128,4033,-3288
14730,13574,18934,6732,-1767,6255,18234,-6624,-1366,-19731,4586,-3255
15720,13330,19300,8200,-2644,7360,18436,-5158,-1328,-18715,4066,-3339
15656,13070,21390,6873,-4034,10290,17528,-4870,-2114,-17678,4178,-3349
14340,11574,21732,4683,-9374,12903,15642,-4910,-1142,-17859,3843,-3078
17004,9372,23614,1886,-15168,15900,14248,-5222,-536,-17767,2903,-2664
16734,6528,25812,-3131,-20081,18730,13862,-5770,-1418,-17667,2093,-2077
14786,4254,23414,-9029,-26839,19383,14226,-5880,-598,-17691,686,-1416
13472,3432,20148,-12208,-30138,17879,14812,-5828,-410,-17481,-332,-922
12744,3454,17248,-12737,-30604,16764,15608,-5744,-1484,-16823,-871,-426
11792,4442,14920,-13676,-29521,15520,16110,-5650,-1274,-16111,-1429,-4
11534,5368,13326,-16150,-27385,14476,15960,-4948,-1608,-16095,-2083,498
11342,5626,12098,-18152,-24560,14210,15640,-4400,-2662,-15776,-2723,820
