# ===========================================,,,,,,,,,,,,
# timeslice=63, slack=2, packetLoss=0,,,,,,,,,,
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z,
358,-2330,-556,-317,439,316,3444,-312,-1778,-907,-6013,-296,5
-710,-4282,-2016,-754,-453,999,2404,-1128,-1786,-1619,-2563,-173,5
-2292,-3364,-1376,-361,-922,-25,1456,-1490,-1604,-2083,293,743,5
-1450,-1654,140,-951,-126,-386,654,-692,-288,-818,1745,1087,5
1228,244,-122,-889,-114,-648,460,-388,-1236,1212,1975,604,5
3866,1546,-3204,-1832,558,-314,1822,-1418,3226,3269,-2251,-869,5
4254,-5046,-5528,-1732,359,-1389,6560,-1594,6814,3239,-10747,-2291,5
5580,-16572,-9484,488,62,-2413,24238,398,13028,-346,-18812,-1729,5
10558,-32768,-12426,6565,-4800,-5393,32767,-4588,10840,-3428,-9798,-3272,5
-20220,-32768,-32768,4560,4676,1732,32767,-9608,15528,-3930,-1199,-1073,5
-8088,-32768,-3278,2313,-1233,5165,32767,-7382,19262,-411,1372,-785,5
-10810,-32768,-8360,3972,-5216,1749,32767,-6234,19106,-1513,6314,163,5
-11194,-32768,-17180,-1475,1967,1216,32767,-5114,16960,-3336,8759,1572,5
-2680,-32768,-15818,-5578,-233,601,28674,-4480,11306,-2629,9622,3139,5
2746,-22130,-11684,569,-3293,2010,17998,-4392,5984,601,9149,3486,5
2626,-10526,-5748,1384,-4925,-1715,9014,-3254,2308,3840,7476,3334,5
3764,-2606,-3650,521,-378,-2938,728,-482,636,3665,9019,5580,5
2400,6498,144,-368,1734,-919,-5700,1396,-688,4301,6302,3142,5
2056,9020,1840,-198,895,-110,-4842,1610,-1890,2224,1351,69,5
1972,4576,1496,189,429,-1077,-2632,804,-1596,1443,-3298,-1141,5
806,308,-544,1416,193,-1262,950,42,-954,457,-4664,-874,5
258,-1970,-1722,24,78,-500,1762,-298,22,-302,-4119,-1029,5
-44,-3310,-2556,-347,-1066,-164,1542,-270,-982,-930,-1457,-961,5
176,-3148,-1992,958,-1129,-913,1092,-184,-690,-1233,711,-983,5
704,-798,-728,1156,114,-1494,828,2,-988,-1236,2342,-562,5
1562,926,56,82,731,-1216,458,-346,-886,1172,1370,-466,5
1876,1112,-3042,-1893,2716,779,2316,-1510,5806,4270,-6223,-2738,5
2964,-8460,-6702,-2308,1750,322,12502,1094,9014,4623,-13041,-2540,5
5072,-26190,-8402,1507,-2715,-3520,28424,984,13256,-1586,-17820,-1465,5
3322,-32768,-17146,16315,1368,-4451,32767,-6712,11972,-3413,-6730,-4032,5
-16480,-32768,-20576,2652,1888,4182,32767,-7824,18292,-377,-2043,-1619,5
-5922,-32768,-3418,3097,-3580,3677,32767,-5692,22016,719,1035,189,5
-8236,-32768,-9006,-138,-2141,-4,32767,-2568,22946,-2970,5794,928,5
-7044,-32768,-14812,-4128,945,-2043,32767,-2986,16714,-3438,5459,1092,5
-3452,-32476,-11628,-3669,-1532,128,26646,-2934,10400,-666,5764,1476,5
492,-21088,-6458,-3716,-3086,2088,18416,-3532,4352,1017,7483,2091,5
2298,-9580,-3494,-2171,-1895,-311,9104,-2426,1048,3408,8712,3581,5
